Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NENGREST_biomass_1,1,0,-9.94496856279287e-9,647.3428643857187,647.3428643956637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_conventional_hydroelectric_1,1,0,-9.968809073313959e-9,2.179245799005982e-6,2.1892146080792956e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0,-9.968809198582171e-9,3.0385890030706367e-6,3.048557812269219e-6,0.0,-1.0222841820521537e-12,0.0006097007871071577,0.0006097007881294418,0.0,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,0,-9.804439331547167e-9,0.0002625293698099214,0.00026253917424925294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CTAvgCF_Moderate,1,0,-9.752916543056582e-9,1422.8922588181613,1422.8922588279142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CCCCSAvgCF_Moderate,1,0,-9.865796233270405e-9,1939.47795674462,1939.4779567544858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CCS100_Moderate,1,0,-9.893035056670093e-9,5922.629224866915,5922.629224876809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_nuclear_1,1,0,-9.9671957212368e-9,6.079280741358477e-6,6.089247937079714e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0,-9.949435347527044e-9,1.0977159774322535e-6,1.1076654127797805e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,0,-9.784840378121043e-9,17387.48718468458,17387.487184694368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UtilityPV_Class1_Moderate_100_0.2,1,0,-9.646626058828543e-9,8340.271331486189,8340.271331495835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liion_Moderate,1,0,-8.821910011569016e-9,718.0517480886527,718.0517480974746,0.0,-8.004815603815326e-9,2379.4105673388285,2379.4105673468334,0.0,0.0,0.0,0.0
TEGS,1,0,-9.491649796313454e-9,3637.462995652339,3637.4629956618305,0.1,2.177654395901679e-8,232797.53172237895,232797.63172235718,0.0,-2.7512620342434883e-9,4702.982459034767,4702.982459037518
Total,n/a,0,-1.2686043131282916e-7,40015.615839651386,40015.615839778235,0.1,1.3770706071019413e-8,235176.94289941856,235177.0428994048,0.0,-2.7512620342434883e-9,4702.982459034767,4702.982459037518
