Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.00884144527392516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961232.279934085,9.073401877523515e6,1.0034634166299045e7
t1,0.0,0.0,1.750011065666656e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.017112922039755e-6,4702.982458520478,4702.982463287602
t2,0.0,0.0,1.9279679227115453e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.63571045720786,4702.982458599639,4764.618170984815
t3,0.0,0.0,2.2319511109688522e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.051745333235,4702.982458720736,5421.034206285922
t4,0.0,0.0,1.7464870772820469e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.228446256858566e-6,4702.982458524627,4702.98246549956
t5,0.0,0.0,1.7453562951199128e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2331709425235812e-5,4702.9824585259985,4702.982472603064
t6,0.0,0.0,6.32264666076295e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.951277046632767e-6,4702.982453873619,4702.982456457161
t7,0.0,0.0,5.61070214244449e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6233334864853875e-6,3763.3010150297023,3763.301017214106
t8,0.0,0.0,5.588144179593075e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6437400381856006e-6,3247.0332570748305,3247.033259277385
t9,0.0,0.0,5.565660233895053e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6523524380663745e-6,2111.4556471932715,2111.45564940219
t10,0.0,0.0,5.543249610800767e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6558255084148118e-6,2481.860302367185,2481.8603045773352
t11,0.0,0.0,5.520911615114133e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6562278126873965e-6,3155.560649263658,3155.560651471977
t12,0.0,0.0,5.49864555456976e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6545234144422222e-6,3049.6745502948347,3049.6745524992225
t13,0.0,0.0,5.476450742024313e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6512575922740648e-6,2472.8205848320777,2472.8205870309803
t14,0.0,0.0,5.454326493701254e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6467762598987937e-6,2086.354910769495,2086.3549129617036
t15,0.0,0.0,5.432272126701729e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6413160624605607e-6,1220.4763431050508,1220.476345289594
t16,0.0,0.0,5.410286963676526e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6350476139819592e-6,909.8627326691003,909.8627348451766
t17,0.0,0.0,5.388370326597668e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6280985667087644e-6,504.25572296705354,504.25572513398913
t18,0.0,0.0,1.1795640928219247e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2989760516820953e-7,2.2915280914256992e-7,4.770068235929719e-7
t19,0.0,0.0,1.1763675570549818e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2958100874129452e-7,2.2885442866153407e-7,4.760721931083268e-7
t20,0.0,0.0,5.276052787923579e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5550718801624537e-6,6.484896344776052e-5,6.693164060671534e-5
t21,0.0,0.0,5.300290114297326e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5806770502397655e-6,814.5150877204063,814.5150898311124
t22,0.0,0.0,5.278310391452785e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5677786665079254e-6,1722.7512043535396,1722.7512064491493
t23,0.0,0.0,5.256399461389928e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0774749249194436e-6,3095.2436257448207,3095.2436273479357
t24,0.0,0.0,1.0948585399077698e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5890637679360475e-6,4702.982458177692,4702.982461861614
t25,0.0,0.0,1.721059151838592e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.9242780805763,4702.982458552329,5241.906738353965
t26,0.0,0.0,1.7197409839111556e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.4191540087788,4702.982458553593,5008.401614282112
t27,0.0,0.0,1.7184411706608703e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.7129541030048,4702.982458554851,5283.695414376297
t28,0.0,0.0,1.7171597355802226e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.6122005525294,4702.982458556105,5285.594660825794
t29,0.0,0.0,1.7158967278482936e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.6472534087632,4702.982458557353,5281.629713682013
