Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,647.3428613549238,0.0,0.0,1.546406698348906e-6,9.61065817412643e-7,879.6733721442064,5922.629217152168,5.48878575918728e-6,0.0,0.0,0.0,0.0,0.0
t2,647.3428614516532,0.0,0.0,1.5456572480666139e-6,9.646829244589127e-7,879.6733723674788,5922.629217262058,5.478731435959002e-6,0.0,0.0,0.0,0.0,0.0
t3,647.3428616679212,0.0,0.0,1.555978832248012e-6,9.704113370914465e-7,879.6733729174839,5922.629217568988,5.4706527661349145e-6,0.0,0.0,0.0,0.0,0.0
t4,647.3428621287004,0.0,0.0,1.5907808348708896e-6,9.934968298317274e-7,879.673375287267,5922.629218276757,5.4649492037611004e-6,0.0,0.0,0.0,0.0,0.0
t5,647.3428625458006,0.0,0.0,1.6354756648651547e-6,1.0203979722962744e-6,1142.8180396165885,5922.629219378001,5.460935692572553e-6,0.0,0.0,0.0,0.0,0.0
t6,647.3428629386906,0.0,0.0,1.694740313822808e-6,1.0579874785542486e-6,1939.4779483361892,5922.629221756704,5.45855666588666e-6,0.0,0.0,0.0,0.0,0.0
t7,647.3428631275591,0.0,0.0,1.743405343195051e-6,1.084341197917689e-6,1939.4779515640541,5922.6292223818955,5.456608229055252e-6,0.0,0.0,0.0,0.0,0.0
t8,647.3428632361642,0.0,0.0,1.7821127024176092e-6,1.1017965309097546e-6,1939.4779524951414,5922.62922269919,5.45489315117806e-6,0.0,0.0,0.0,0.0,0.0
t9,647.3428633040031,0.0,0.0,1.8136793511807607e-6,1.1138235239525753e-6,1939.4779530270357,5922.629222900142,5.453405669548831e-6,0.0,0.0,0.0,0.0,0.0
t10,647.342863347624,0.0,0.0,1.8402971849999185e-6,1.1226839117993853e-6,1939.477953392785,5922.629223040688,5.452146466819354e-6,0.0,0.0,0.0,0.0,0.0
t11,647.3428633778806,0.0,0.0,1.8640191907804797e-6,1.129986790083403e-6,1939.4779536706096,5922.6292231466405,5.451109754250127e-6,0.0,0.0,0.0,0.0,0.0
t12,647.342863402658,0.0,0.0,1.8868664460839606e-6,1.1370265140634573e-6,1939.4779538986252,5922.629223233369,5.450280120152792e-6,0.0,0.0,0.0,0.0,0.0
t13,647.342863430173,0.0,0.0,1.9110604374541924e-6,1.1450367142667311e-6,1939.477954101401,5922.629223312574,5.4496384561690145e-6,0.0,0.0,0.0,0.0,0.0
t14,647.3428634622613,0.0,0.0,1.938453974136607e-6,1.1554237498735422e-6,1939.4779542921137,5922.6292233898475,5.449160507581622e-6,0.0,0.0,0.0,0.0,0.0
t15,647.3428634988229,0.0,0.0,1.9703520524540418e-6,1.1700291784476342e-6,1939.477954480024,5922.629223468594,5.448815163526012e-6,0.0,0.0,0.0,0.0,0.0
t16,647.3428635410758,0.0,0.0,2.008418223664653e-6,1.1914795418622327e-6,1939.4779546745149,5922.629223552593,5.448570116523492e-6,0.0,0.0,0.0,0.0,0.0
t17,647.3428635917053,0.0,0.0,2.0547890203939993e-6,1.2237351315256078e-6,1939.477954887988,5922.629223646906,5.448404418044693e-6,0.0,0.0,0.0,0.0,0.0
t18,647.3428636563561,0.0,0.0,2.112508757289703e-6,1.2734467389931172e-6,1939.4779551428896,5922.62922376003,5.4482396054074095e-6,0.0,0.0,0.0,0.0,0.0
t19,647.3428636483469,0.0,0.0,2.1028055644856517e-6,1.270647111712753e-6,1939.4779551117354,5922.6292237378375,5.443495259486795e-6,0.0,0.0,0.0,0.0,0.0
t20,647.3428635508294,0.0,0.0,2.022511316659466e-6,1.2141008796435569e-6,1939.477954558335,5922.629223513612,5.4336818965764116e-6,0.0,0.0,0.0,0.0,0.0
t21,647.3428634552499,0.0,0.0,1.9518599836350046e-6,1.173175826445075e-6,1939.4779539866013,5922.629223282413,5.423489295352962e-6,0.0,0.0,0.0,0.0,0.0
t22,647.3428633490374,0.0,0.0,1.8852956896118169e-6,1.1395532640747298e-6,1939.4779532539426,5922.629223007777,5.4129076967828925e-6,0.0,0.0,0.0,0.0,0.0
t23,647.3428632180336,0.0,0.0,1.817950973196405e-6,1.1066469292264782e-6,1939.4779519510282,5922.629222624056,5.4018674479291884e-6,0.0,0.0,0.0,0.0,0.0
t24,647.3428630380457,0.0,0.0,1.7449252378799524e-6,1.0677347085297125e-6,1939.4779202699167,5922.62922190257,5.39036426538204e-6,0.0,0.0,0.0,0.0,0.0
