Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016313175899335037,887970.2374052518,306235.4093536719,0.0,0.0,1.1942056483902412e6
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1449156259268718e-7,4.662742867367342e-7,-1.0384065798175704e-10,0.0,0.0,5.806620086714397e-7
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77970729617682e-8,5.55197402718477e-7,-8.733195231188627e-11,0.0,0.0,6.429071437279333e-7
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.815516635989147e-8,1.0460516932653263e-6,-4.6229212544429046e-11,0.0,0.0,1.1141606304126734e-6
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.827512998531811e-8,4.6627246774733067e-7,-1.038406583912056e-10,0.0,0.0,5.144437570742576e-7
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4383376304386026e-8,4.6627246774733067e-7,-1.0384065853867594e-10,0.0,0.0,5.005520033931781e-7
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.341341698067393e-8,2.511742422939278e-7,-1.9022259047571193e-10,0.0,0.0,2.74397436684126e-7
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0080583042394772e-8,2.3831216822145507e-7,-2.00124794349728e-10,0.0,0.0,2.5819262646950015e-7
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.588271527637256e-8,2.380015757807996e-7,2.3800069470780727e-7,0.0,0.0,4.918849857649794e-7
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3051178544805784e-8,2.3769030121911783e-7,2.3768996015860466e-7,0.0,0.0,4.884314399225282e-7
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8035876421363167e-8,2.373803908994887e-7,2.3737993615213782e-7,0.0,0.0,4.927962034729896e-7
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.970587059227851e-8,2.3707025320618413e-7,2.3706979845883325e-7,0.0,0.0,5.038459222572959e-7
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.030363093820062e-8,2.3676057026023045e-7,2.3676011551287957e-7,0.0,0.0,5.138243167113107e-7
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81291698012053e-8,2.3645202418265399e-7,2.3645134206162766e-7,0.0,0.0,5.21032536045487e-7
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.816820065590377e-8,2.3614347810507752e-7,2.361427959840512e-7,0.0,0.0,5.304544747450325e-7
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.391699744660566e-8,2.358351594011765e-7,2.3583447728015017e-7,0.0,0.0,5.355866341279323e-7
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.108360030699769e-8,2.3552684069727547e-7,2.3552675543214718e-7,0.0,0.0,5.521371964364204e-7
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.867398580187802e-8,2.3521943148807622e-7,2.3521925118785703e-7,0.0,0.0,5.491126684778112e-7
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70220067150034e-8,1.1099973562522791e-7,-4.113183173250191e-10,0.0,0.0,1.776104240229063e-7
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.546245306435081e-8,1.1084875950473361e-7,-4.1183273446478436e-10,0.0,0.0,1.8589937983461964e-7
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4549832896457232e-7,2.3338316168519668e-7,-2.041969877723011e-10,0.0,0.0,3.786772936619967e-7
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5620052152029747e-7,2.339938873774372e-7,-2.0368350256886336e-10,0.0,0.0,3.899907253951658e-7
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6457009562538446e-7,2.3368784241029061e-7,-2.039400825163842e-10,0.0,0.0,3.980539979531587e-7
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6783334738584167e-7,2.333827069378458e-7,-2.0419698284455234e-10,0.0,0.0,4.010118573408429e-7
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1348971473649823e-7,3.273526090197265e-7,-1.4703991178131918e-10,0.0,0.0,5.406952838444435e-7
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.613366171140228e-7,4.662715582526289e-7,-1.0384065896242077e-10,0.0,0.0,7.275043347076893e-7
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7014006341379817e-7,4.6627246774733067e-7,-1.0384065918750583e-10,0.0,0.0,7.363086905019414e-7
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7717573554464423e-7,4.662715582526289e-7,-1.03840658535027e-10,0.0,0.0,7.433434531387381e-7
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.773565857811063e-7,4.6627246774733067e-7,-1.0384065849820224e-10,0.0,0.0,7.435252128699388e-7
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.730419334310281e-7,4.662715582526289e-7,-1.0384065855828146e-10,0.0,0.0,7.392096510250988e-7
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2085955830378415e-7,3.273526090197265e-7,-1.4703990740371333e-10,0.0,0.0,5.48065127416107e-7
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2275553898301464e-7,3.273535185144283e-7,-1.4703991187088483e-10,0.0,0.0,5.499620175855721e-7
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.244966941851792e-7,3.273526090197265e-7,3.273523958569058e-7,0.0,0.0,8.792016990618115e-7
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2488163553751307e-7,3.273535185144283e-7,3.2735238164605107e-7,0.0,0.0,8.795875356979924e-7
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2483483327003706e-7,3.273535185144283e-7,3.2735215427237563e-7,0.0,0.0,8.79540506056841e-7
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.772209753563041e-7,4.662715582526289e-7,4.66271103505278e-7,0.0,0.0,1.209763637114211e-6
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7700969331074385e-7,4.6627246774733067e-7,4.66271103505278e-7,0.0,0.0,1.2095532645633524e-6
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.769341363558559e-7,4.6627246774733067e-7,4.66271103505278e-7,0.0,0.0,1.2094777076084646e-6
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.771153857239943e-7,4.662706487579271e-7,4.66271103505278e-7,0.0,0.0,1.2096571379871994e-6
