Segment,1,2,3,4,Total
Zone,1,1,1,1,0
AnnualSum,3.876514985114767e-7,4610.74576806098,23998.4337319725,7326.383201161558,35935.56270158269
t1,-2.4075977730494874e-10,8.683449653462746e-10,8.046630374375821e-9,4.3152801754807605e-8,5.182701731722475e-8
t2,-2.721219025032337e-10,8.294635812770558e-10,7.939680033587878e-9,4.223560159550414e-8,5.073262330786584e-8
t3,-3.493267714536065e-10,7.338692355398399e-10,7.67886179748697e-9,4.008412962526504e-8,4.8147533886838244e-8
t4,-2.4075977654547265e-10,8.683449662482435e-10,8.046630376786239e-9,4.315280176410817e-8,5.1827017330597185e-8
t5,-2.4075977629082676e-10,8.683449665628207e-10,8.04663037765122e-9,4.3152801771252545e-8,5.182701733917576e-8
t6,-7.32358726663541e-11,1.076515691794897e-9,8.627949002014554e-9,4.8532750923598606e-8,5.81639797447417e-8
t7,-5.365458301526922e-11,1.100901180049487e-9,8.697021876331226e-9,4.9220197321743705e-8,5.896446579510915e-8
t8,-5.315495142684819e-11,1.1015235402707594e-9,8.698787454264672e-9,4.92379135271232e-8,5.898506957023178e-8
t9,-5.26546442196791e-11,1.1021467493473218e-9,8.700555576088229e-9,4.925566253102388e-8,5.900571021223975e-8
t10,-5.2153660479393185e-11,1.1027708084397996e-9,8.702326245650175e-9,4.927344440522849e-8,5.902638779883907e-8
t11,-5.16519991805638e-11,1.1033957188506209e-9,8.704099467209682e-9,4.929125922695243e-8,5.9047102413832166e-8
t12,-5.114965929307729e-11,1.1040214818939353e-9,8.705875245072624e-9,4.9309107076047464e-8,5.906785414372095e-8
t13,-5.0646639847986486e-11,1.1046480988105028e-9,8.70765358334396e-9,4.932698803144139e-8,5.908864307374787e-8
t14,-5.014293988692985e-11,1.105275570821642e-9,8.709434486062943e-9,4.9344902169356646e-8,5.91094692863543e-8
t15,-4.96385583843608e-11,1.1059038992386827e-9,8.711217957538537e-9,4.936284957104337e-8,5.913033286943623e-8
t16,-4.913349439341416e-11,1.106533085276275e-9,8.713004001809768e-9,4.938083031562766e-8,5.915123390832029e-8
t17,-4.862774684935236e-11,1.107163130310687e-9,8.714792623405402e-9,4.9398844492431426e-8,5.9172172499298166e-8
t18,3.8398814089884694e-10,1.6488411099576858e-9,1.0305753253389132e-8,6.905885985097339e-8,8.139744235521906e-8
t19,3.851035794724123e-10,1.6502448555873955e-9,1.0310019049337658e-8,6.912356323867696e-8,8.146893072307442e-8
t20,-4.5578844043401486e-11,1.1109615188923748e-9,8.725578733945712e-9,4.950763607880347e-8,5.929859748759816e-8
t21,-4.65979023398801e-11,1.1096919241019585e-9,8.721972961321585e-9,4.947123693358647e-8,5.925630391667013e-8
t22,-4.608872259190663e-11,1.110326282401484e-9,8.72377452993205e-9,4.948941938210878e-8,5.927743147185041e-8
t23,-4.557885335881507e-11,1.1109615072406836e-9,8.72557870076078e-9,4.950763572766722e-8,5.929859708230987e-8
t24,-1.5771062171947434e-10,9.714429670031986e-10,8.332682529452871e-9,4.571319893160983e-8,5.485961380634643e-8
t25,-2.407597754767737e-10,8.683449675787552e-10,8.046630380464478e-9,4.315280179749981e-8,5.182701737006627e-8
t26,-2.407597750472252e-10,8.683449680930186e-10,8.046630381847039e-9,4.315280180412603e-8,5.182701737901887e-8
t27,-2.407597762911899e-10,8.683449665406539e-10,8.046630377548522e-9,4.315280176404946e-8,5.1827017331847445e-8
t28,-2.4075977636220396e-10,8.683449664502991e-10,8.046630377295026e-9,4.315280176118702e-8,5.182701732857014e-8
