Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,5.1064414167772615e6,0.0035738979288183507,0.0066306949317322394,0.08630191620577139,313939.93613697577,3.1806012257504724e6,2.6942193825339343e7,0.03985940223093521,0.0029139873657636427,5.6475571747842245e7,1.0198738517229479e7,813587.0017362096,3.9976447935055783e6,1.0702871860359746e8
t1,647.3428608226949,4.7485081143191456e-7,2.683469838052778e-7,8.157289409627405e-7,4.986496736040387e-7,401.1310588443414,2797.9830774366033,4.929507815363963e-6,1.5854796165752872e-7,9921.300187120332,1.0384065798175704e-10,169.22527170914876,1.5691692705054256e-7,13936.982463235774
t2,647.342860801104,4.827706543773015e-7,2.355701350557818e-7,8.124480685492311e-7,4.989509096775543e-7,401.13105862641606,2700.7189260886116,4.930345637212069e-6,1.0825970510025293e-7,9747.425315184464,8.733195231188627e-11,3.0171130244737067e-6,1.4794100889611474e-7,13496.618170934082
t3,647.3428602318287,4.9264615051402e-7,1.7831830035550372e-7,8.103938062834886e-7,4.982139016349754e-7,401.1310585360758,2700.718924068971,4.803829851733121e-6,7.440137226486628e-8,10030.841355804128,4.6229212544429046e-11,6.093349865587434e-7,1.295870233867783e-7,13780.034206237773
t4,647.3428615964716,5.212265030257796e-7,2.691311454909477e-7,8.368193810235624e-7,5.136552994524352e-7,401.1310602775771,3173.4949075277273,4.995405187740132e-6,5.639925152237116e-8,8652.013622637645,1.038406583912056e-10,6.059494766298703e-6,1.5607378151541923e-7,12873.982465447729
t5,647.3428620135718,5.530234892505965e-7,2.6938286956953106e-7,8.584461504463306e-7,5.263331845372932e-7,610.0515856592509,4848.197981725516,5.044796424306213e-6,3.894407402163544e-8,6739.390032321265,1.0384065853867594e-10,3.3848105102867926e-6,1.5579392481364043e-7,12844.982472551237
t6,647.3428626688507,5.936064491552869e-7,6.52112331049475e-7,9.068050632578224e-7,5.526443944921256e-7,1851.3174713925255,5922.629221188413,5.203562779096088e-6,2.831455779614182e-8,4567.692883168036,1.9022259047571193e-10,9.822055579996323e-6,2.2188246594364396e-7,12988.982456399
t7,647.3428628724332,6.211721001286973e-7,7.411548670026996e-7,9.331814594435354e-7,5.662033767297543e-7,1939.4779506332648,5922.629221873102,5.222606345895826e-6,2.422603346879645e-8,3847.8509137345513,2.00124794349728e-10,5.970058629148925e-5,2.3245965702035164e-7,12357.301017155141
t8,647.3428629813928,6.373281606114316e-7,7.447605308993227e-7,9.516095406030268e-7,5.742892708355184e-7,1939.4779515688008,5922.629222191753,5.22234548070737e-6,1.889797868491255e-8,3550.5248828765884,60.05829362010081,3.759837717526905e-5,2.3215715804857763e-7,12120.033259218402
t9,647.3428630495857,6.460625678591654e-7,7.483995507561874e-7,9.66576916766438e-7,5.798421607681941e-7,1939.4779521051073,5922.629222394055,5.221225019156701e-6,1.5415822563634576e-8,2023.903508060734,924.1020632920485,3.2032275771996636e-5,2.3185503576768817e-7,11457.455649343185
t10,647.34286309356,6.503301223373051e-7,7.520723359786927e-7,9.792043250365325e-7,5.839404818420321e-7,1939.4779524752328,5922.629222535947,5.2202708110923155e-6,2.1618545356152976e-8,1703.9737438626678,2077.43648436826,2.9743653550288767e-5,2.3155328967255115e-7,12290.860304518308
t11,647.3428631241696,6.522265008094908e-7,7.557792997765458e-7,9.9046364482817e-7,5.873239562245525e-7,1939.4779527573983,5922.629222643239,5.219533645110137e-6,3.730788688089821e-8,1349.2690052952128,3385.841570310974,2.880805007709064e-5,2.3125191932328374e-7,13244.56065141293
t12,647.3428631492997,6.533238405386233e-7,7.595208585584741e-7,1.001308133825872e-6,5.905865441110833e-7,1939.4779529897196,5922.6292227313015,5.2190015008326455e-6,5.3183329900412854e-8,1425.7739489081775,3306.4505275067745,2.8647006698300882e-5,2.3095092428176557e-7,13241.674552440154
t13,647.3428631771666,6.550529724952281e-7,7.632974315043901e-7,1.0127859088794152e-6,5.942941345484509e-7,1939.4779531967665,5922.6292228118355,5.2186555945557216e-6,6.607113425639008e-8,1856.9836310889066,2348.3868791154937,2.9040914723914615e-5,2.306503040733368e-7,12714.82058697189
t14,647.3428632096064,6.590982492204837e-7,7.671094407235867e-7,1.025769620400308e-6,5.99091631872726e-7,1939.477953391716,5922.629222890432,5.218472673422768e-6,8.427757142757601e-8,2342.0945235421877,1384.810311374094,2.991039032409645e-5,2.3035005821719798e-7,12236.354912902596
t15,647.342863246519,6.678205477180164e-7,7.709573115483428e-7,1.0408720265179242e-6,6.058235749492217e-7,1939.477953583829,5922.629222970498,5.218437737648747e-6,9.569758853496073e-8,2225.598359405044,534.4279061437555,3.1251158384295814e-5,2.300501862712344e-7,11269.47634523046
t16,647.3428632891222,6.846499004829827e-7,7.748414716746885e-7,1.0589200543609572e-6,6.157124054561213e-7,1939.4779537824897,5922.62922305581,5.218807616174255e-6,1.3480038864378154e-7,2373.3920004752545,135.0206523500593,3.311580264726416e-5,2.297506877470075e-7,11017.862734786022
t17,647.3428633401018,7.141525959504593e-7,7.787623520548005e-7,1.0832174975134806e-6,6.313900996810632e-7,1939.4779540000993,5922.629223151432,5.224874855738201e-6,1.2890251255305285e-7,3082.801477611092,5.004162563678249,3.561766030738003e-5,2.2945156222365744e-7,11597.255725074814
t18,647.3428635414984,7.61108590549836e-7,2.530065962935396e-6,1.23359951023051e-6,6.923122137189779e-7,1939.4779549642199,5922.629223607821,5.336464830616793e-6,2.019191555079273e-7,2272.5445749285545,4.113183173250191e-10,718.0517475526553,526.9536250449787,12027.00000039561
t19,647.3428635336503,7.606386083740695e-7,2.5316034233053976e-6,1.2292643153161968e-6,6.911361634372257e-7,1939.477954933433,5922.6292235859,5.331886851541012e-6,2.818704090984064e-7,2641.159303244226,4.1183273446478436e-10,718.0517475540291,87.33889671655264,11956.0000003946
