BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.0221748680172496e8,4.8112318018724825e6,-1.0034634166299047e7,0.0,0.0,35935.562701195035,3.876514985114767e-7,0.0,0.0,-9.703002e7
t1,13767.75719110136,169.22527213441268,-4702.982463287602,0.0,0.0,5.20677770945297e-8,-2.4075977730494874e-10,0.0,0.0,-9234.0
t2,13496.61816753346,3.4006241684256032e-6,-4764.618170984815,0.0,0.0,5.100474521036908e-8,-2.721219025032337e-10,0.0,0.0,-8732.0
t3,13780.034205320533,9.172403103010253e-7,-5421.034206285922,0.0,0.0,4.849686065829185e-8,-3.493267714536065e-10,0.0,0.0,-8359.0
t4,12873.982458963032,6.4846996933050695e-6,-4702.98246549956,0.0,0.0,5.206777710714265e-8,-2.4075977654547265e-10,0.0,0.0,-8171.0
t5,12844.98246874125,3.809987304669964e-6,-4702.982472603064,0.0,0.0,5.2067777115466584e-8,-2.4075977629082676e-10,0.0,0.0,-8142.0
t6,12988.98244570295,1.069605037698944e-5,-4702.982456457161,0.0,0.0,5.823721561740806e-8,-7.32358726663541e-11,0.0,0.0,-8286.0
t7,12357.30095648094,6.06742008155123e-5,-3763.301017214106,0.0,0.0,5.901812037812442e-8,-5.365458301526922e-11,0.0,0.0,-8594.0
t8,12120.033220643107,3.8575294864216955e-5,-3247.033259277385,0.0,0.0,5.903822452165863e-8,-5.315495142684819e-11,0.0,0.0,-8873.0
t9,11457.455616330653,3.301253035852052e-5,-2111.45564940219,0.0,0.0,5.905836485645943e-8,-5.26546442196791e-11,0.0,0.0,-9346.0
t10,12290.86027379103,3.0727279175940014e-5,-2481.8603045773352,0.0,0.0,5.9078541459318464e-8,-5.2153660479393185e-11,0.0,0.0,-9809.0
t11,13244.56062161785,2.979508129619047e-5,-3155.560651471977,0.0,0.0,5.909875441301273e-8,-5.16519991805638e-11,0.0,0.0,-10089.0
t12,13241.674522802676,2.963747848114112e-5,-3049.6745524992225,0.0,0.0,5.911900380301402e-8,-5.114965929307729e-11,0.0,0.0,-10192.0
t13,12714.820556937026,3.003486245949234e-5,-2472.8205870309803,0.0,0.0,5.913928971359585e-8,-5.0646639847986486e-11,0.0,0.0,-10242.0
t14,12236.354881994748,3.090784982303723e-5,-2086.3549129617036,0.0,0.0,5.9159612226241233e-8,-5.014293988692985e-11,0.0,0.0,-10150.0
t15,11269.476312978295,3.225216588211539e-5,-1220.476345289594,0.0,0.0,5.917997142782059e-8,-4.96385583843608e-11,0.0,0.0,-10049.0
t16,11017.862700665626,3.412039480668586e-5,-909.8627348451766,0.0,0.0,5.9200367402713704e-8,-4.913349439341416e-11,0.0,0.0,-10108.0
