Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,26045.141919214024,0.0,0.0,0.003803496895659328,10361.526921395558,53072.12196720153,315048.5188861114,0.00018712270270533897,0.0,0.0,0.0,0.0,0.0,404527.31368454214
t1,1.8104989140419848e-7,0.0,0.0,1.2026371589356658e-7,1.171461827567079e-7,2.958668696527812e-7,2.378615374562082e-7,1.5976942796020464e-8,0.0,0.0,0.0,0.0,0.0,9.681651399594829e-7
t2,1.7080892232675668e-7,0.0,0.0,1.160874789385995e-7,1.193664970048221e-7,2.463340089234365e-7,2.0035627793699592e-7,1.4825151350779355e-8,0.0,0.0,0.0,0.0,0.0,8.677783364813901e-7
t3,1.486406101761686e-7,0.0,0.0,1.104884203789655e-7,1.184710336510854e-7,2.0093136461508765e-7,1.6493573489604132e-7,1.3700296064347239e-8,0.0,0.0,0.0,0.0,0.0,7.571674597816958e-7
t4,1.1480385303452248e-7,0.0,0.0,1.0061776062038482e-7,1.1109040920443362e-7,1.565838044078002e-7,1.301293387044121e-7,1.2409693183264128e-8,0.0,0.0,0.0,0.0,0.0,6.256348591548174e-7
t5,1.0383410148322445e-7,0.0,0.0,9.782045242802053e-8,1.1015586966717899e-7,1.3735909206308166e-7,1.1308049243639455e-7,1.166935221325098e-8,0.0,0.0,0.0,0.0,0.0,5.739193602911511e-7
t6,9.206441585914698e-8,0.0,0.0,9.432118658303568e-8,1.0681210568450039e-7,1.2127936266075563e-7,9.83808983075542e-8,1.1035433733157459e-8,0.0,0.0,0.0,0.0,0.0,5.238934028281503e-7
t7,9.635502933338023e-8,0.0,0.0,9.885726588385971e-8,1.118657326084817e-7,1.274002118511691e-7,1.0323077459063354e-7,1.1118712539818264e-8,0.0,0.0,0.0,0.0,0.0,5.488277268073426e-7
t8,1.005135263269904e-7,0.0,0.0,1.0361268104210084e-7,1.1608416319446896e-7,1.338346616480477e-7,1.0890347689733249e-7,1.1316898684569459e-8,0.0,0.0,0.0,0.0,0.0,5.742654077935098e-7
t9,1.0275471558138485e-7,0.0,0.0,1.076944088883479e-7,1.1881811119100935e-7,1.387277328786065e-7,1.1295818004976373e-7,1.1523813912234224e-8,0.0,0.0,0.0,0.0,0.0,5.924769625013466e-7
t10,1.0321217964469754e-7,0.0,0.0,1.1112598102817005e-7,1.2049692034957902e-7,1.4170834908320909e-7,1.1512987138050273e-7,1.1735324793240829e-8,0.0,0.0,0.0,0.0,0.0,6.034086262793993e-7
t11,1.0177202842115119e-7,0.0,0.0,1.1375214189404609e-7,1.2139452272117565e-7,1.4225461900167227e-7,1.1511065414306124e-7,1.195106035635914e-8,0.0,0.0,0.0,0.0,0.0,6.062350265374656e-7
t12,9.784287550705742e-8,0.0,0.0,1.1550308576686605e-7,1.2166360606129437e-7,1.3960308316715962e-7,1.1245358894190439e-7,1.217076165214815e-8,0.0,0.0,0.0,0.0,0.0,5.9923700109643e-7
t13,8.997268314882592e-8,0.0,0.0,1.1623376616857035e-7,1.2135463413390785e-7,1.3230710987307865e-7,1.06335298226564e-7,1.239259355383675e-8,0.0,0.0,0.0,0.0,0.0,5.785960851047835e-7
t14,8.314037581639468e-8,0.0,0.0,1.1602932672755739e-7,1.2042610279564724e-7,1.2495457826057187e-7,1.0035235332833805e-7,1.2614271861470008e-8,0.0,0.0,0.0,0.0,0.0,5.575170087899792e-7
t15,7.858302483217957e-8,0.0,0.0,1.1493585781040544e-7,1.1874849021866852e-7,1.1859125680216904e-7,9.552929164760057e-8,1.2833014739702484e-8,0.0,0.0,0.0,0.0,0.0,5.392209360507256e-7
t16,7.494029439992812e-8,0.0,0.0,1.1296389649501288e-7,1.1610825148173758e-7,1.1277397690003359e-7,9.130628845635187e-8,1.3045484421164631e-8,0.0,0.0,0.0,0.0,0.0,5.211381921542287e-7
