Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,26045.14191921397,0.0,0.0,0.0038034968670912156,10361.52692139555,53072.12196720147,315048.5188861114,0.0001871220508989966,0.0,0.0,0.0,0.0,0.0,404527.31368454127
t1,1.7622579102780506e-7,0.0,0.0,1.1287284138619888e-7,1.2507666640342502e-7,2.4447732153839346e-7,1.8612420094274038e-7,4.013475701079553e-9,0.0,0.0,0.0,0.0,0.0,8.487902969996424e-7
t2,2.6753833754905944e-7,0.0,0.0,1.1533802958232002e-7,1.2298360410328898e-7,4.6960646561171605e-7,3.1024584037901507e-7,4.770653794758907e-9,0.0,0.0,0.0,0.0,0.0,1.2904829310201585e-6
t3,3.6490855596092733e-7,0.0,0.0,1.2081000561129722e-7,1.2419944633627114e-7,7.509364385577504e-7,4.718655430929148e-7,5.6214623233618326e-9,0.0,0.0,0.0,0.0,0.0,1.8383414518825225e-6
t4,5.755831830031101e-7,0.0,0.0,1.354197643914783e-7,1.3417590199845362e-7,2.526366913020766e-6,8.378981639193836e-7,6.705976826462743e-9,0.0,0.0,0.0,0.0,0.0,4.216149903159654e-6
t5,5.209342712448068e-7,0.0,0.0,1.4251528362976886e-7,1.3705701218694374e-7,263.1446644666805,1.214325043545716e-6,7.65569649622419e-9,0.0,0.0,0.0,0.0,0.0,263.1446664891678
t6,4.849544268904161e-7,0.0,0.0,1.5358583677608194e-7,1.4440161200418005e-7,796.6599088408802,2.4770841058781155e-6,8.656271477820904e-9,0.0,0.0,0.0,0.0,0.0,796.6599121095625
t7,2.8522349249582754e-7,0.0,0.0,1.475222964689893e-7,1.3821945202842388e-7,3.3552649901383532e-6,7.284215798528118e-7,9.170148579121501e-9,0.0,0.0,0.0,0.0,0.0,4.6638219595635275e-6
t8,2.0911867658965857e-7,0.0,0.0,1.4232004142658478e-7,1.3353949623340391e-7,1.0649220780100265e-6,4.261978936384713e-7,9.601701591179768e-9,0.0,0.0,0.0,0.0,0.0,1.985699887489325e-6
t9,1.7059361100046395e-7,0.0,0.0,1.3926105875218402e-7,1.3084510427514426e-7,6.70622001393621e-7,3.139109465056388e-7,1.0036220475647234e-8,0.0,0.0,0.0,0.0,0.0,1.4352689424026994e-6
t10,1.468330163792858e-7,0.0,0.0,1.3774381588338451e-7,1.2935730823454582e-7,5.074574925927966e-7,2.5567572687144447e-7,1.0476017163061333e-8,0.0,0.0,0.0,0.0,0.0,1.1875433771245185e-6
t11,1.3202860526732595e-7,0.0,0.0,1.3747414865124188e-7,1.2869740104163943e-7,4.2007941200438125e-7,2.2106327587501464e-7,1.091424925871384e-8,0.0,0.0,0.0,0.0,0.0,1.050257092098317e-6
t12,1.2262036858734073e-7,0.0,0.0,1.3835034199624191e-7,1.2870333007704584e-7,3.6761868261343544e-7,1.9918190254524906e-7,1.1341034830644653e-8,0.0,0.0,0.0,0.0,0.0,9.678156606499577e-7
t13,1.1748763982576048e-7,0.0,0.0,1.4042775842610102e-7,1.2936483437289117e-7,3.350829659595299e-7,1.8554010816782068e-7,1.1750842086341494e-8,0.0,0.0,0.0,0.0,0.0,9.196541488384447e-7
t14,1.1522874012351268e-7,0.0,0.0,1.4342286426687389e-7,1.3081313843895287e-7,3.156671817736811e-7,1.7762562626971255e-7,1.2136240469829536e-8,0.0,0.0,0.0,0.0,0.0,8.948937913425626e-7
t15,1.151445753822876e-7,0.0,0.0,1.4683393695853412e-7,1.333539188310228e-7,3.0650141531242815e-7,1.742763367670051e-7,1.2487592000672539e-8,0.0,0.0,0.0,0.0,0.0,8.885977752519503e-7
