Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,1.5679766324071895e-6,0.0003377157511249885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1662.0981053741405,52369.7529681888
t2,0.0,1.585522999211949e-6,0.0003391133504049394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718.8029557153009,56960.243410696334
t3,0.0,1.6071864873349715e-6,0.0003408403097895469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105607595566,61544.99574030731
t4,0.0,1.6249329565035217e-6,0.00034204199260373484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.41055898332,66124.01712925917
t5,0.0,1.6386682174087583e-6,0.0003432424054861143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105666493506,70697.31474147674
t6,0.0,1.6401872987045155e-6,0.0003430369301384346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410557768378,75264.89572694103
t7,0.0,1.6350819616449626e-6,0.0003426669799151526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4104943699035,78896.48261169683
t8,0.0,1.6283821783512278e-6,0.0003422909125881111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410455014343,82012.42493247199
t9,0.0,1.622812417146713e-6,0.0003419086960499204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410421716816,84000.25049156402
t10,0.0,1.6196509177167996e-6,0.0003415202976602885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4103909101173,86352.29187732998
t11,0.0,1.6199249190268321e-6,0.0003411256842415717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410361120749,89368.35655479183
t12,0.0,1.6239099757389294e-6,0.0003407248220753348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4103315048596,92275.82391342834
t13,0.0,1.6319438546908556e-6,0.0003403176768995946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410301457805,94608.57151205902
t14,0.0,1.6433802437879467e-6,0.0003399042139057284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4102704615457,96555.80215887004
t15,0.0,1.6555257276120437e-6,0.00033948439773482894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4102380029058,97643.37898538537
t16,0.0,1.6623803828658438e-6,0.0003390581924754551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4102035117116,98422.08886653655
t17,0.0,1.6514447844800367e-6,0.0003386255616598132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410166294714,98798.27442073186
t18,0.0,1.6012093938363333e-6,0.000335806157680584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.9191364656815,97620.86932784284
t19,0.0,1.546510660254262e-6,0.00033298470152296204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.4281066348644,97324.16544797651
t20,0.0,1.5239815441704543e-6,0.0003325188969756045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.16934902941217,97202.51030490814
t21,0.0,1.5157548930730347e-6,0.00033205983979354417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.16924481211382,97887.37710341369
t22,0.0,1.5125066419242379e-6,0.0003315940266246609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.16903503285951,99470.54157388852
t23,0.0,1.5122916937540359e-6,0.00033112141655254254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.258941602110121e-6,102410.49458595319
t24,0.0,1.5203317312935135e-6,0.0003315941703199408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705002456974954e-6,106938.43410096371
t25,0.0,1.534964972254518e-6,0.0003327672915162214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.81033905428035,111460.71369200369
t26,0.0,1.5500887346460964e-6,0.0003339389288216938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.7959579682826,115977.34043355663
t27,0.0,1.5634709615720888e-6,0.0003351091026975455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1311.051872968973,120488.32139168443
t28,0.0,1.5745942986972604e-6,0.0003362778336394001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1847.055094703226,124993.66362361635
t29,0.0,1.5820030839647323e-6,0.00033744514220517203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410565065214,129493.37417776011
t30,0.0,1.5812914907750526e-6,0.000337906283028483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2353.3623890049516,133987.4600933078
t31,0.0,1.5765508853581864e-6,0.00033836557471634323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1759.7867318200267,138475.92840146547
t32,0.0,1.569901555935103e-6,0.00033882302893792804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.738365478472,142958.7861242423
t33,0.0,1.562792203826651e-6,0.00033927865724939053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0659495097041,147436.04027486988
t34,0.0,1.5577822258235233e-6,0.00033973247116771257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.098110090372368e-6,151907.6978578132
t35,0.0,1.5595289843292427e-6,0.0003408914750044934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.2181451836223,156373.76586917267
t36,0.0,1.5642876262312428e-6,0.00034204913313131996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.986495851725,160834.2512955103
t37,0.0,1.5708233699120984e-6,0.00034320546639325064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.4075316684498,165289.16111501583
t38,0.0,1.578640015953224e-6,0.000344360495701603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.1491814076562,169738.5022969712
t39,0.0,1.587046111070585e-6,0.00034551424203038217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.9033011658478,174182.28180094133
t40,0.0,1.5946754967066455e-6,0.0003466667264118918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410565387656,178620.50657233945
t41,0.0,1.5970948998417171e-6,0.00034710853622159555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105537091796,183053.18351801447
t42,0.0,1.5985063606970438e-6,0.0003475487312158909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105495890913,187480.3193776082
t43,0.0,1.6012120648094771e-6,0.00034798732259203047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410547922506,191901.92002337228
t44,0.0,1.606427892645781e-6,0.0003484243215090823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105479478467,196317.98670331028
t45,0.0,1.6151302774556055e-6,0.0003488597390817937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105496739035,200728.49588966795
t46,0.0,1.6271771508437852e-6,0.00034929358639661484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105539003604,205133.29143288085
t47,0.0,1.640280806450759e-6,0.0003497258745036658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105661848284,209531.50880193137
t48,0.0,1.6485918785957544e-6,0.0003490808063556692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410559084566,213872.08406937268
t49,0.0,1.6596654961351369e-6,0.0003484287506551889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410556793106,216881.0595071025
t50,0.0,1.6777934594767181e-6,0.0003477696593778087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105561789765,219388.56666863663
t51,0.0,1.70444938716379e-6,0.0003471034840510671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105568858577,220811.39752659193
t52,0.0,1.7356918099738929e-6,0.00034643017577984104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105593121385,221462.39498688275
t53,0.0,1.7582309971375379e-6,0.00034574968525102244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410567076654,221476.6400616052
t54,0.0,1.7462269270421884e-6,0.00034286252424070926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410561361369,219517.99850502456
t55,0.0,1.7205670373837689e-6,0.0003399736399694618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410559022326,214355.35519424317
t56,0.0,1.694913241504639e-6,0.00033708302659704803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105576150723,207563.6177851227
t57,0.0,1.6771627754120137e-6,0.0003341906784358289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410556729366,200833.77238039015
t58,0.0,1.6712482827559271e-6,0.0003312965899419882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105562187374,194881.09594541724
t59,0.0,1.6789939687748531e-6,0.00032840075570772124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105560205358,189138.22248767805
t60,0.0,1.7014286682854032e-6,0.00032550317045482516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.410556112832,184760.88576076648
t61,0.0,1.7373911295012519e-6,0.0003226038290270573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.4105565031564,182951.97258465632
