Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NENGREST_biomass_1,1,0,-9.944968562435934e-9,19.7698991822342,19.76989919217917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_conventional_hydroelectric_1,1,0,-9.968809073902981e-9,2.1812788643057215e-6,2.1912476733796244e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0,-9.96880919537368e-9,3.006626546398165e-6,3.0165953555935387e-6,0.0,8.287499835382506e-14,0.0006033081810858194,0.0006033081810029444,0.0,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,0,-9.804439295813999e-9,0.0002513264266206887,0.0002513362310599845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CTAvgCF_Moderate,1,0,-9.752916485741202e-9,1093.139945370002,1093.1399453797549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CCCCSAvgCF_Moderate,1,0,-9.865796224376895e-9,2259.853178981042,2259.853178990908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CCS100_Moderate,1,0,-9.893035052544682e-9,5847.159394809353,5847.159394819247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_nuclear_1,1,0,-9.96719572112865e-9,6.070092909130875e-6,6.080060104852004e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0,-9.949435392301407e-9,1.1197515762852408e-6,1.1297010116775422e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,0,-9.784840339401203e-9,18568.14367731489,18568.143677324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UtilityPV_Class1_Moderate_100_0.2,1,0,-9.646625910671376e-9,9196.898161064073,9196.89816107372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liion_Moderate,1,0,-8.821906971835411e-9,1339.2390277275417,1339.2390277363636,0.0,-8.004803395633954e-9,5072.45491693341,5072.454916941414,0.0,0.0,0.0,0.0
TEGS,1,0,-9.544958423051251e-9,2908.762765071845,2908.76276508139,0.1,2.177654396169959e-8,325781.32968913746,325781.42968911567,0.0,-2.669179654909759e-9,6581.443024019871,6581.44302402254
Total,n/a,0,-1.2691373664857868e-7,41232.96631322515,41232.96631335207,0.1,1.377182344106399e-8,330853.78520937904,330853.8852093653,0.0,-2.669179654909759e-9,6581.443024019871,6581.44302402254
