Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,157462.3058842967,19.76989919217917,0.9092180439979526
NENGREST_conventional_hydroelectric_1,1,0.0035716451036907045,2.1912476733796244e-6,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.00653861272217407,3.0165953555935387e-6,0.0
NaturalGas_CCAvgCF_Moderate,1,0.08872432675783697,0.0002513362310599845,0.0
NaturalGas_CTAvgCF_Moderate,1,266379.8371540862,1093.1399453797549,0.02781771660426027
NaturalGas_CCCCSAvgCF_Moderate,1,3.849744678874234e6,2259.853178990908,0.1944677533626231
NaturalGas_CCS100_Moderate,1,2.7001642157975923e7,5847.159394819247,0.5271584086640688
NENGREST_nuclear_1,1,0.039850918064943903,6.080060104852004e-6,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0029862248853298524,1.1297010116775422e-6,0.0
LandbasedWind_Class3_Moderate_130,1,6.029744786213543e7,18568.143677324675,0.3707032013276887
UtilityPV_Class1_Moderate_100_0.2,1,1.126051856043255e7,9196.89816107372,0.13976965948051964
Liion_Moderate,1,1.425789575208077e6,1339.2390277363636,0.0
TEGS,1,4.327155327267946e6,2908.76276508139,0.0
