Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.008718661791057264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6845339971740039e6,9.908475104221014e6,1.159300911011368e7
t1,0.0,0.0,1.5032676717999034e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.5408076175506,6566.734658606093,7012.275467726911
t2,0.0,0.0,1.5023327090570514e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.2433390307929,6564.267223350294,7069.51056388342
t3,0.0,0.0,1.5014161166711658e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.1210142532187,6561.390928066845,7232.51194382148
t4,0.0,0.0,1.5005179289657362e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.9101286905027,6558.039101402864,7170.949231593884
t5,0.0,0.0,9.892931988059685e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.362245029874511e-6,5952.434873647823,5952.434876999361
t6,0.0,0.0,9.861223347901664e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4338963506283606e-6,3489.273705862916,3489.2737092829348
t7,0.0,0.0,9.829633698074572e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.476530321366004e-6,2412.552552336997,2412.5525557964907
t8,0.0,0.0,9.7981625347624e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.506754728094799e-6,1882.2641565439842,1882.264160030555
t9,0.0,0.0,9.766809349166857e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.529539869190121e-6,731.770593229546,731.7705967357667
t10,0.0,0.0,9.735573646086213e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5471590436650794e-6,1198.9098113701089,1198.9098148908254
t11,0.0,0.0,9.704454897357597e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.560883346078292e-6,1982.910670072321,1982.9106736036497
t12,0.0,0.0,9.67345257776777e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5715139191300548e-6,1874.0652289594054,1874.0652324982645
t13,0.0,0.0,9.642566157911117e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57959783064357e-6,1228.089107145166,1228.0891106890206
t14,0.0,0.0,9.611795101900554e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5855308000076114e-6,775.5950812722331,775.5950848189434
t15,0.0,0.0,9.141752165086494e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1937704514743238e-6,1.4462837894548427e-5,1.75707835625314e-5
t16,0.0,0.0,9.134609530306184e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.193770475479182e-6,1.5248295807119685e-5,1.8355527235629487e-5
t17,0.0,0.0,9.127513473847612e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1937704982822674e-6,1.612506170614662e-5,1.9231583551813648e-5
