Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,19.7698972608468,0.0,0.0,1.6943471117862502e-6,1.0591988507346857e-6,2259.8531414049403,5847.159389579473,5.365704223775927e-6,0.0,0.0,0.0,0.0,0.0
t2,19.76989726247872,0.0,0.0,1.6858654863916689e-6,1.0578448215337757e-6,2259.853141272471,5847.1593895591295,5.3540044174961565e-6,0.0,0.0,0.0,0.0,0.0
t3,19.769897301475627,0.0,0.0,1.6852476077406032e-6,1.0601105243680533e-6,2259.8531412539755,5847.159389627506,5.34387676929391e-6,0.0,0.0,0.0,0.0,0.0
t4,19.76989737009842,0.0,0.0,1.6920037522348256e-6,1.0665037396972392e-6,2259.8531413463725,5847.159389786692,5.335265911119411e-6,0.0,0.0,0.0,0.0,0.0
t5,19.769897468396564,0.0,0.0,1.7064492309147638e-6,1.0785142358261873e-6,2259.8531415634134,5847.159390057815,5.3281067813117825e-6,0.0,0.0,0.0,0.0,0.0
t6,19.76989753968296,0.0,0.0,1.7180392479908929e-6,1.0862769609033426e-6,2259.8531418154466,5847.15939029024,5.3217036077000925e-6,0.0,0.0,0.0,0.0,0.0
t7,19.769897591501643,0.0,0.0,1.727519166682524e-6,1.0914295992223046e-6,2259.8531421045695,5847.159390491541,5.316002827092711e-6,0.0,0.0,0.0,0.0,0.0
t8,19.76989762903184,0.0,0.0,1.7354709186305899e-6,1.0949873334832511e-6,2259.853142433381,5847.159390668298,5.310987670196232e-6,0.0,0.0,0.0,0.0,0.0
t9,19.769897656278193,0.0,0.0,1.7424135849811364e-6,1.097625953178418e-6,2259.8531428050705,5847.159390826298,5.306648103828733e-6,0.0,0.0,0.0,0.0,0.0
t10,19.76989767689319,0.0,0.0,1.7488569284698944e-6,1.0998282242827306e-6,2259.8531432235445,5847.159390970809,5.302973684801009e-6,0.0,0.0,0.0,0.0,0.0
t11,19.769897694679674,0.0,0.0,1.7553461253747588e-6,1.1019853322093426e-6,2259.8531436936023,5847.159391106794,5.299951907748726e-6,0.0,0.0,0.0,0.0,0.0
t12,19.769897714465277,0.0,0.0,1.762523053152764e-6,1.1044779775665516e-6,2259.853144221181,5847.159391239185,5.297566702762419e-6,0.0,0.0,0.0,0.0,0.0
t13,19.769897741472132,0.0,0.0,1.7710939081534396e-6,1.107754513579265e-6,2259.8531448136923,5847.159391372828,5.295801425004038e-6,0.0,0.0,0.0,0.0,0.0
t14,19.769897774261043,0.0,0.0,1.781491093932316e-6,1.1124223530629354e-6,2259.853145480458,5847.159391510601,5.294638743592917e-6,0.0,0.0,0.0,0.0,0.0
t15,19.769897813127574,0.0,0.0,1.79432478995925e-6,1.1193765118942706e-6,2259.853146233518,5847.159391655806,5.294056818405192e-6,0.0,0.0,0.0,0.0,0.0
t16,19.769897856122906,0.0,0.0,1.809213213061773e-6,1.1287188624170472e-6,2259.8531470524226,5847.1593918030685,5.293958960678533e-6,0.0,0.0,0.0,0.0,0.0
t17,19.76989790636729,0.0,0.0,1.82721332053885e-6,1.1423466804520968e-6,2259.853147947743,5847.159391957644,5.294331702089655e-6,0.0,0.0,0.0,0.0,0.0
t18,19.769897969280112,0.0,0.0,1.8498381565448815e-6,1.1632731136179551e-6,2259.8531489332745,5847.15939212615,5.295088351280721e-6,0.0,0.0,0.0,0.0,0.0
t19,19.769897908612165,0.0,0.0,1.8282180491574154e-6,1.1426559480642309e-6,2259.8531487005184,5847.15939199617,5.2927246972313055e-6,0.0,0.0,0.0,0.0,0.0
t20,19.769897860875876,0.0,0.0,1.811287755601009e-6,1.129393365176375e-6,2259.8531484899945,5847.15939188167,5.290674311019804e-6,0.0,0.0,0.0,0.0,0.0
t21,19.769897820803532,0.0,0.0,1.7976336467215165e-6,1.120547402467034e-6,2259.853148300698,5847.159391778245,5.288983255505785e-6,0.0,0.0,0.0,0.0,0.0
t22,19.76989778541923,0.0,0.0,1.7863096653310793e-6,1.1143247339881451e-6,2259.853148131771,5847.159391682752,5.287630805902032e-6,0.0,0.0,0.0,0.0,0.0
t23,19.76989775521025,0.0,0.0,1.7773333363839252e-6,1.1102613846037614e-6,2259.8531479882613,5847.159391597892,5.28665132866095e-6,0.0,0.0,0.0,0.0,0.0
t24,19.7698977307731,0.0,0.0,1.7701525221202259e-6,1.107463978774848e-6,2259.8531478687655,5847.1593915219255,5.286033580850293e-6,0.0,0.0,0.0,0.0,0.0
