Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001649503149138342,961230.7558954034,323418.16626292345,0.0,0.0,1.28464892380783e6
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1640212002405264e-7,4.662706487579271e-7,-1.0497061670796433e-10,0.0,0.0,5.825677981652718e-7
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.744555281146512e-8,4.6627246774733067e-7,-1.0497061668723616e-10,0.0,0.0,5.536130499421086e-7
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.557018439676813e-8,4.6627246774733067e-7,-1.0497061664401702e-10,0.0,0.0,5.317376815274547e-7
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9179934459084816e-8,4.662706487579271e-7,-1.0497061671608304e-10,0.0,0.0,5.153456126002959e-7
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.426367463459629e-8,3.4730419429251924e-7,-1.3990959089000908e-10,0.0,0.0,3.814279593362255e-7
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4529065540713817e-8,3.468558134045452e-7,-1.4008511908144677e-10,0.0,0.0,3.7124479382617757e-7
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106740624425504e-8,3.464083420112729e-7,-1.4026086663345516e-10,0.0,0.0,3.6737482176906495e-7
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6657343689285652e-8,3.459617801127024e-7,3.4596172326928354e-7,0.0,0.0,7.085808470712716e-7
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3672315714246043e-8,3.455152182141319e-7,3.4551544558780733e-7,0.0,0.0,7.047029795161853e-7
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8937816705912485e-8,3.4507002055761404e-7,3.4507002055761404e-7,0.0,0.0,7.090778578211406e-7
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1432836497485394e-8,3.4462505027477164e-7,3.446243681537453e-7,0.0,0.0,7.206822549260024e-7
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3008446144063536e-8,3.441803073656047e-7,3.4417962524457835e-7,0.0,0.0,7.313683787542466e-7
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1714795036648185e-8,3.4373670132481493e-7,3.4373624657746404e-7,0.0,0.0,7.391877429389272e-7
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310323260869896e-8,3.4329332265770063e-7,3.432930952840252e-7,0.0,0.0,7.496896505504248e-7
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94760684237521e-8,3.34452124661766e-7,3.3445235203544144e-7,0.0,0.0,7.383805451209595e-7
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.975564247773878e-8,3.344525794091169e-7,3.344522951920226e-7,0.0,0.0,7.586605170788782e-7
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.689188367175396e-8,3.344525794091169e-7,3.3445230229744993e-7,0.0,0.0,7.557967653783208e-7
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.315669188888384e-8,1.635266926314216e-7,-2.8790165225651383e-10,0.0,0.0,2.463954828680489e-7
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3221621803202766e-7,3.3445303415646777e-7,-1.451273980544744e-10,0.0,0.0,4.6652412479044093e-7
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7722399947924557e-7,3.34452124661766e-7,-1.4512739790924457e-10,0.0,0.0,5.115309967431024e-7
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9349348628209068e-7,3.34452124661766e-7,-1.4512739598781208e-10,0.0,0.0,5.278004835478689e-7
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.090732913712118e-7,3.397658474568743e-7,-1.429235974869072e-10,0.0,0.0,5.486962152305992e-7
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146851872400414e-7,3.3932792575797066e-7,-1.4310289314626043e-10,0.0,0.0,5.538700101048658e-7
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197822523264109e-7,3.388904588064179e-7,-1.4328241300862642e-10,0.0,0.0,5.585294287198202e-7
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2132029100119582e-7,3.3845208236016333e-7,-1.4346215728372077e-10,0.0,0.0,5.596289112040754e-7
