Segment,1,2,3,4,Total
Zone,1,1,1,1,0
AnnualSum,1200.475207969499,12657.347611646805,15446.181800166743,7584.6588896364665,36888.66350941951
t1,-2.407597763440048e-10,8.683449665380452e-10,8.046630377661748e-9,4.3152801783312394e-8,5.182701735116819e-8
t2,-2.407597763846861e-10,8.683449664699409e-10,8.046630377440181e-9,4.315280177626007e-8,5.182701734378551e-8
t3,-2.407597764680127e-10,8.683449663521087e-10,8.046630377087557e-9,4.3152801768990206e-8,5.182701733596186e-8
t4,-2.407597763312217e-10,8.683449665139587e-10,8.04663037751887e-9,4.3152801770463606e-8,5.182701733816521e-8
t5,-1.7371854107025087e-10,9.515550591242098e-10,8.277221776839499e-9,4.520412693290179e-8,5.425918522779525e-8
t6,-1.7337936466878485e-10,9.519763679273226e-10,8.278395269818201e-9,4.5214833731677894e-8,5.4271826004754636e-8
t7,-1.7303974043134308e-10,9.52398236354626e-10,8.279570382078287e-9,4.5225558090737785e-8,5.4284486968739354e-8
t8,-1.7269966762273334e-10,9.528206653243857e-10,8.280747116407561e-9,4.5236300045599375e-8,5.429716815970859e-8
t9,-1.7235914553846656e-10,9.532436557328005e-10,8.28192547556425e-9,4.524705963651595e-8,5.430986962227453e-8
t10,-1.7201817377610453e-10,9.536672080853443e-10,8.283105461188774e-9,4.52578368887678e-8,5.4322591384265815e-8
t11,-1.716767515512854e-10,9.540913233651927e-10,8.28428707625944e-9,4.52686318409043e-8,5.433533348897765e-8
t12,-1.713348782177155e-10,9.545160023897185e-10,8.285470323304431e-9,4.527944452916109e-8,5.434809597663752e-8
t13,-1.709925531606176e-10,9.549412459398092e-10,8.286655204756177e-9,4.529027498976171e-8,5.436087888729708e-8
t14,-1.706497757606529e-10,9.553670547958688e-10,8.287841723034635e-9,4.530112325695251e-8,5.437368225902236e-8
t15,-1.6362585563985789e-10,9.640931382852482e-10,8.312170596217872e-9,4.5524190552306654e-8,5.463682843116992e-8
t16,-1.6362585495651548e-10,9.640931391359392e-10,8.312170598594169e-9,4.552419057467557e-8,5.463682845744916e-8
t17,-1.636258547397808e-10,9.640931394305594e-10,8.312170599465124e-9,4.5524190590581817e-8,5.463682847473772e-8
t18,1.2106544845766832e-10,1.318982544450691e-9,9.324104463896221e-9,5.600434524416226e-8,6.676849770096684e-8
t19,-1.63625851058635e-10,9.640931440229353e-10,8.31217061231215e-9,4.552419071454301e-8,5.463682861981946e-8
t20,-1.6362585134035998e-10,9.640931436653135e-10,8.312170611299823e-9,4.552419070286779e-8,5.463682860649257e-8
t21,-1.6362585506150558e-10,9.640931390324434e-10,8.312170598357673e-9,4.5524190580901474e-8,5.463682846323008e-8
t22,-1.678911971785296e-10,9.587939716799187e-10,8.297393090410683e-9,4.5388554747048914e-8,5.4476850611960986e-8
t23,-1.675443206387897e-10,9.592249037701821e-10,8.298594450417406e-9,4.539956487472268e-8,5.448983990827148e-8
t24,-1.671969852849012e-10,9.596564093398082e-10,8.299797472567293e-9,4.5410593171128457e-8,5.450285006775066e-8
t25,-1.6684919061329276e-10,9.600884890347657e-10,8.301002158931904e-9,4.542163967063503e-8,5.451588112798841e-8
t26,-1.6650093593791249e-10,9.605211437296995e-10,8.302208512224976e-9,4.54327044141555e-8,5.452893313417226e-8
t27,-1.6615222087200127e-10,9.609543739197445e-10,8.30341653408789e-9,4.5443787430415955e-8,5.4542006117551585e-8
t28,-2.0733472648249303e-10,9.098151495247644e-10,8.161260101493588e-9,4.415963379941113e-8,5.3023374323946994e-8
t29,-1.6538147901621148e-10,9.619119264878769e-10,8.306086806872378e-9,4.546829643644986e-8,5.4570913690793903e-8
t30,-1.6503128292748557e-10,9.62347008033511e-10,8.307300197518522e-9,4.5479438302633636e-8,5.4584054225258187e-8
t31,-1.6468062364101454e-10,9.627826686181712e-10,8.308515267711286e-9,4.5490598598539247e-8,5.459721591122769e-8
t32,-1.643295004528445e-10,9.63218909117356e-10,8.309732020130152e-9,4.5501777358350025e-8,5.4610398787144686e-8
t33,-1.6397791269950184e-10,9.63655730378164e-10,8.31095045741861e-9,4.551297462277283e-8,5.4623602897870103e-8
t34,-1.6362585826724337e-10,9.640931350376166e-10,8.312170587190858e-9,4.552419047453174e-8,5.4636828338492974e-8
t35,-1.6362585469498863e-10,9.640931394876109e-10,8.31217059962698e-9,4.552419059250594e-8,5.463682847692554e-8
t36,-2.0733472734752426e-10,9.098151485744582e-10,8.161260099097526e-9,4.415963381504408e-8,5.302337433536854e-8
t37,-2.0733473071125244e-10,9.098151443990831e-10,8.161260087526242e-9,4.4159633712018276e-8,5.302337421323235e-8
t38,-2.0733473238997891e-10,9.098151423138341e-10,8.161260081744555e-9,4.415963366010414e-8,5.302337415177255e-8
t39,-2.407597760069331e-10,8.683449670104929e-10,8.046630379068557e-9,4.315280181133142e-8,5.182701738140353e-8
t40,-1.6362585487849647e-10,9.640931392650623e-10,8.312170599016724e-9,4.552419058859388e-8,5.463682847199717e-8
t41,-1.599667777572554e-10,9.686395162098361e-10,8.324856472319993e-9,4.5640983644738116e-8,5.477451285551069e-8
t42,-1.596094164858752e-10,9.69083555816754e-10,8.326095865635683e-9,4.565241183923154e-8,5.4787981844198105e-8
t43,-1.5925158201908568e-10,9.695281870792894e-10,8.327336977765025e-9,4.56638590315762e-8,5.480147261440143e-8
t44,-1.5889327365726086e-10,9.699734108984846e-10,8.328579811531104e-9,4.567532526754953e-8,5.4814985216321855e-8
t45,-1.585344904773031e-10,9.704192284356353e-10,8.32982437045057e-9,4.5686810593917615e-8,5.4828519702326517e-8
t46,-1.581752320958051e-10,9.708656401789686e-10,8.331070656157247e-9,4.569831503934862e-8,5.4842076103589026e-8
t47,-1.5781549777682954e-10,9.713126470573966e-10,8.332318671521085e-9,4.570983864478023e-8,5.4855654465581884e-8
t48,-1.5745528684440055e-10,9.717602499311703e-10,8.333568419232509e-9,4.5721381451370545e-8,5.4869254833689824e-8
t49,-1.5709459858748262e-10,9.722084497067781e-10,8.334819902117101e-9,4.573294350240625e-8,5.488287725564265e-8
t50,-1.567334324496769e-10,9.726572470937208e-10,8.33607312244186e-9,4.574452483454646e-8,5.4896521771632365e-8
t51,-1.56371787689962e-10,9.731066430244518e-10,8.33732808308462e-9,4.575612548810928e-8,5.491018842652839e-8
t52,-1.56009663620479e-10,9.735566383696246e-10,8.3385847867598e-9,4.5767745503281994e-8,5.492387726479094e-8
t53,1.5028874133253043e-10,1.3555453832031337e-9,9.430915754912519e-9,5.7267339232293344e-8,6.820408911174152e-8
t54,1.5106857855166898e-10,1.356521422124797e-9,9.433773768150957e-9,5.73016036740029e-8,6.824296744283032e-8
t55,1.5184951041184626e-10,1.3574988489498286e-9,9.436636195614621e-9,5.733594593286185e-8,6.828193048783814e-8
t56,2.7318208658400663e-10,1.5095778879453857e-9,9.886315280198841e-9,6.305928743215804e-8,7.472836268688628e-8
t57,2.731820866239059e-10,1.5095778879985792e-9,9.886315280364098e-9,6.30592874359135e-8,7.472836269090007e-8
t58,2.7318208617435086e-10,1.5095778874360188e-9,9.886315278688235e-9,6.305928741413379e-8,7.472836266643239e-8
t59,2.731820855272242e-10,1.5095778866259838e-9,9.886315276274651e-9,6.305928738264984e-8,7.47283626310777e-8
t60,1.5655820968380686e-10,1.3633927106467149e-9,9.453903999155328e-9,5.754364795605227e-8,6.851750287553812e-8
t61,1.5655820469857098e-10,1.3633927044053923e-9,9.4539039808608e-9,5.754364773509888e-8,6.851750262506365e-8
t62,1.5734685554469516e-10,1.3643799192753572e-9,9.456797564611309e-9,5.75785417750626e-8,6.855706611449396e-8
t63,1.5813661618492933e-10,1.365368541615328e-9,9.459695632509418e-9,5.761351562820614e-8,6.859671641851582e-8
t64,1.5892748870383228e-10,1.3663585741171563e-9,9.462598194057615e-9,5.764856955952287e-8,6.863645381640147e-8
t65,1.1943756009634295e-9,2.6784635573985604e-9,1.3654313409956472e-8,1.6614115794392718e-7,1.8366831051224565e-7
t66,2.9616381199410047e-9,4.993834884626819e-9,2.3227276745945774e-8,45.150000297714584,45.150000328897335
t67,1.194375601435947e-9,2.6784635580254537e-9,1.365431341218884e-8,1.661411581164598e-7,1.8366831068811005e-7
t68,1.1943756011617818e-9,2.6784635576693918e-9,1.3654313410938842e-8,1.6614115803686681e-7,1.8366831060663683e-7
t69,1.1943756018249848e-9,2.678463558511352e-9,1.3654313413848461e-8,1.6614115817769546e-7,1.8366831075188027e-7
t70,1.1943755979397915e-9,2.6784635535108624e-9,1.3654313396401668e-8,1.6614115717073184e-7,1.8366830971858417e-7
t71,1.6770094103041744e-10,1.3773426135848186e-9,9.494825207310302e-9,5.803951822739365e-8,6.907938698931919e-8
t72,1.6529469061933932e-10,1.3743298521608759e-9,9.485981390905355e-9,5.793191304147861e-8,6.895751897516418e-8
t73,1.6609564408787064e-10,1.3753326722838593e-9,9.488924750153472e-9,5.796769873508491e-8,6.899805180161011e-8
t74,1.66897727360437e-10,1.3763369258012155e-9,9.49187268751542e-9,5.800356705370436e-8,6.903867439438143e-8
t75,1.6770094104367438e-10,1.3773426135502815e-9,9.49482520710464e-9,5.803951820266317e-8,6.907938696436176e-8
t76,1.685052874821128e-10,1.3783497385481334e-9,9.497782319446365e-9,5.807555246764888e-8,6.912018981312549e-8
t77,1.6931076825170125e-10,1.3793583028507965e-9,9.50074403225292e-9,5.811167010138697e-8,6.916108320474239e-8
t78,1.7011738844035743e-10,1.3803683129170793e-9,9.503710366184154e-9,5.8147871517652805e-8,6.92020675851944e-8
t79,1.1943756973426484e-9,2.678463681007269e-9,1.3654313840175282e-8,1.661411817542442e-7,1.836683349727694e-7
t80,2.9616380589991923e-9,4.993834803047761e-9,2.3227276345215496e-8,41.70600026327458,41.70600029445733
t81,1.1943757020004598e-9,2.6784636870007105e-9,1.3654313861082985e-8,1.6614118295755873e-7,1.8366833620764288e-7
t82,1.19437569600212e-9,2.678463679305752e-9,1.3654313834296078e-8,1.6614118147049337e-7,1.836683346800973e-7
t83,9.825740327232145e-10,2.40746019784716e-9,1.272812546859813e-8,1.2513465444308823e-7,1.4125281414225674e-7
t84,9.076619747771189e-10,2.311933433636018e-9,1.2409622071880889e-8,1.1460491048999281e-7,1.3023412797028684e-7
t85,9.076619723609768e-10,2.3119334305538463e-9,1.2409622061660879e-8,1.1460491016920667e-7,1.3023412763378236e-7
t86,1.7231545496259608e-10,1.383120720286361e-9,9.511795915692594e-9,5.824668791317152e-8,6.931392000411307e-8
t87,1.7312631075135806e-10,1.3841361053843985e-9,9.514779444639355e-9,5.8283202367442096e-8,6.935524422821721e-8
t88,9.0766197453669e-10,2.3119334333241693e-9,1.2409622070835038e-8,1.146049104507773e-7,1.302341279294732e-7
t89,1.5332791057578055e-9,3.1149353312735393e-9,1.522028439041295e-8,3.176217257236275e-7,3.374902245510718e-7
t90,1.5332791071589544e-9,3.1149353330998334e-9,1.5220284397203816e-8,3.1762172697949627e-7,3.374902258169589e-7
t91,1.5332791075531804e-9,3.1149353336074795e-9,1.5220284399075637e-8,3.1762172727926075e-7,3.3749022611949704e-7
t92,1.5332791077052091e-9,3.1149353337975085e-9,1.522028439976154e-8,3.176217273452922e-7,3.374902261865565e-7
t93,1.5332791067110317e-9,3.114935332500749e-9,1.5220284394937332e-8,3.176217264462178e-7,3.3749022528036696e-7
t94,-1.5139350603229042e-10,9.792932634334554e-10,8.354611545233313e-9,4.5916221306591086e-8,5.5098732609225565e-8
t95,-1.5102573301292793e-10,9.797503315283602e-10,8.355888968029236e-9,4.592807848914013e-8,5.51126920556848e-8
t96,-1.636258546199268e-10,9.640931395749421e-10,8.312170599859103e-9,4.552419059279135e-8,5.463682847760547e-8
t97,-1.636258550267038e-10,9.640931390514166e-10,8.312170598363587e-9,4.552419057339264e-8,5.463682845578094e-8
t98,-1.6362585491350808e-10,9.640931391813289e-10,8.312170598705204e-9,4.5524190573189934e-8,5.463682845616296e-8
t99,-1.6362585519205704e-10,9.64093138829495e-10,8.312170597712602e-9,4.55241905622715e-8,5.463682844362154e-8
t100,-1.6362585526981282e-10,9.640931387317994e-10,8.312170597437964e-9,4.5524190559406815e-8,5.4636828440306764e-8
t101,-1.6362585498152208e-10,9.64093139097512e-10,8.312170598472717e-9,4.552419057126603e-8,5.463682845385474e-8
t102,-1.6362585508174442e-10,9.640931389951797e-10,8.31217059823024e-9,4.552419057595206e-8,5.463682845809574e-8
t103,-1.4806592453649434e-10,9.834289226553117e-10,8.366172568447021e-9,4.602365528255442e-8,5.5225190849120256e-8
t104,-1.1147945237640627e-10,1.0289213069787084e-9,8.493731515812855e-9,4.722770803116169e-8,5.663888140157685e-8
t105,-1.1147945276488014e-10,1.0289213064970703e-9,8.49373151446173e-9,4.722770801874896e-8,5.6638881386942875e-8
t106,-1.1147945368504547e-10,1.0289213053533988e-9,8.49373151124785e-9,4.722770798829118e-8,5.663888135120739e-8
t107,-1.6362585258309928e-10,9.640931421515082e-10,8.31217060713554e-9,4.5524190674003054e-8,5.4636828570707e-8
t108,-2.1919983826156307e-10,8.950905067210283e-10,8.120492748654822e-9,4.3798686442343415e-8,5.2595069859457704e-8
t109,-2.1919983976754693e-10,8.950905048496112e-10,8.120492743472893e-9,4.3798686395853436e-8,5.25950698044084e-8
t110,-2.4075977628108376e-10,8.683449667013321e-10,8.0466303782752e-9,4.3152801813414516e-8,5.182701738210996e-8
t111,-2.1919984072172159e-10,8.950905036627723e-10,8.120492740184392e-9,4.379868636601689e-8,5.259506976914233e-8
t112,-2.1919983997200504e-10,8.950905045944893e-10,8.12049274276445e-9,4.379868638918666e-8,5.2595069796573594e-8
t113,-1.7776640213710767e-10,9.465272557951562e-10,8.26322223881195e-9,4.5076610920023896e-8,5.4108594012493896e-8
t114,1.1268531167049178e-11,1.1818327424834068e-9,8.927759460515046e-9,5.159861146474038e-8,6.171947219890588e-8
t115,-2.4075977546319936e-10,8.683449677407137e-10,8.046630381188898e-9,4.3152801845967534e-8,5.182701741943395e-8
