Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,157462.3058842967,0.0035716451036907045,0.00653861272217407,0.08872432675783697,266379.8371540862,3.849744678874234e6,2.7001642157975923e7,0.039850918064943903,0.0029862248853298524,6.029744786213543e7,1.126051856043255e7,1.425789575208077e6,4.327155327267946e6,1.0858614044660428e8
t1,19.769896728617972,5.252355571959512e-7,3.198265599269002e-7,8.926769591039903e-7,5.483682395018941e-7,1030.4930337151836,4601.029745212422,4.93074738111736e-6,1.6206917935446154e-7,10594.982781815188,1.0497061670796433e-10,2.5521483650667416e-6,2.724938547105902e-7,16246.275467675083
t2,19.769896730249894,5.255383368847227e-7,3.2006396817596666e-7,8.886862985794455e-7,5.477475100622427e-7,1030.4930336547777,4341.946278266327,4.919610480851079e-6,1.1251152625545984e-7,10409.30134504194,1.0497061668723616e-10,2.5521483619970273e-6,2.7188632277922603e-7,15801.510563831593
t3,19.7698967692468,5.293853519855712e-7,3.202968861630878e-7,8.883999202387691e-7,5.4878881843447e-7,1030.4930336463435,3829.286916269995,4.91151447521352e-6,7.982233580613156e-8,10711.962086982332,1.0497061664401702e-10,2.552148352834593e-6,2.7127278324325225e-7,15591.511943769652
t4,19.76989683786959,5.374260000885028e-7,3.2052529590224134e-7,8.917541908176881e-7,5.518178253748433e-7,1030.4930336884765,5052.177997548342,4.914874556070052e-6,5.757681114444292e-8,9239.508293370487,1.0497061671608304e-10,2.5521483550417404e-6,2.7065197234572186e-7,15341.949231542054
t5,19.769897085212147,5.51075883540748e-7,4.5576524845422404e-7,9.069799727370731e-7,5.611728701023037e-7,1030.4930421196514,5847.159388637396,4.9872437124558185e-6,4.0522532338457e-8,7197.01248898374,1.3990959089000908e-10,5.227790966099643e-5,3.3829573616197133e-7,14094.434876945104
t6,19.76989715704083,5.598432054297223e-7,4.570064833540029e-7,9.126889758816691e-7,5.648626826491705e-7,1030.4930425679497,5847.159388876972,4.989619949667031e-6,2.82279717046274e-8,4877.851343686336,1.4008511908144677e-10,2.909011403819257e-5,3.3786155334667354e-7,11775.273709228662
t7,19.769897209400973,5.653436960487464e-7,4.5825077123383965e-7,9.172086874303346e-7,5.672508041709037e-7,1030.493043057671,5847.159389085363,4.985250212666099e-6,2.408129984267619e-8,4109.130195445542,1.4026086663345516e-10,2.3089273862413353e-5,3.3742791014477605e-7,11006.552555742206
t8,19.769897247471818,5.687563873127231e-7,4.5949815254901216e-7,9.210034329670719e-7,5.689044133823331e-7,1030.4930435928063,5847.159389269147,4.980793705617547e-6,1.8815268077389168e-8,3791.614938563737,66.22686331193013,2.013640011340536e-5,3.3699480604042043e-7,10755.26415997626
t9,19.769897275258003,5.709164775836107e-7,4.6074866824865264e-7,9.243223813366004e-7,5.701363537752457e-7,1030.4930441780614,5847.159389434113,4.9769242370673665e-6,1.536100028586679e-8,2161.331923695077,1019.0163159014526,1.8342520519826082e-5,3.365622404711535e-7,10077.770596681454
t10,19.76989729641202,5.724263518178046e-7,4.6200235908215363e-7,9.274058694058118e-7,5.71168165201711e-7,1030.4930448190062,5847.159389585531,4.973701368622903e-6,2.1505479512143523e-8,1819.6780800327483,2290.8093781059774,1.7132488548543236e-5,3.361302125073546e-7,11007.909814836505
t11,19.76989731473671,5.737655104315742e-7,4.6325926736612525e-7,9.305107254080426e-7,5.721792860818802e-7,1030.49304552227,5847.159389728364,4.971120421456054e-6,3.6914074709005904e-8,1440.88794901577,3733.600367819346,1.626537909885763e-5,3.3569872168431277e-7,12071.910673549313
t12,19.76989733505971,5.753878884677684e-7,4.645194356505921e-7,9.339394690301208e-7,5.733443363483625e-7,1030.4930462958023,5847.159389867544,4.9691717317773745e-6,5.2338319241521023e-8,1522.587781196443,3646.05509422453,1.5620567366337647e-5,3.352677673626236e-7,12066.065232443916
t13,19.76989736260315,5.778254148201454e-7,4.6578290699781385e-7,9.380257802579494e-7,5.748692051473333e-7,1030.493047149213,5847.159390007918,4.96789065484059e-6,6.475737926730642e-8,1983.0777443945387,2589.589008666113,1.5130284809269933e-5,3.3483734886324904e-7,11470.089110634659
t14,19.769897395927842,5.817965140726165e-7,4.670497250830984e-7,9.42991563179332e-7,5.770424934314009e-7,1030.4930480942162,5847.1593901523665,4.967768435021722e-6,8.217631749303295e-8,2501.12895299234,1527.0437734232262,1.4753262157142487e-5,3.344074655124129e-7,10925.59508476457
t15,19.7698974454492,5.883315371377427e-7,4.864227983367208e-7,9.500024096972957e-7,5.806600231128529e-7,1148.836315215155,5847.159390421275,4.973808109735043e-6,9.331384735898173e-8,2376.722390363106,589.3188400308294,67.19317602544078,3.423525320706066e-7,10049.000017516148
