BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.0283319553758965e8,5.752944909014634e6,-1.1593009110113682e7,0.0,0.0,35688.18830145001,1200.475207969499,0.0,0.0,-9.703002e7
t1,16246.275464530616,3.144468779704232e-6,-7012.275467726911,0.0,0.0,5.2067777127512186e-8,-2.407597763440048e-10,0.0,0.0,-9234.0
t2,15801.510560687495,3.14409865295222e-6,-7069.51056388342,0.0,0.0,5.206777712017019e-8,-2.407597763846861e-10,0.0,0.0,-8732.0
t3,15591.511940625933,3.143718022240933e-6,-7232.51194382148,0.0,0.0,5.206777711242987e-8,-2.407597764680127e-10,0.0,0.0,-8359.0
t4,15341.949228398731,3.1433256232897034e-6,-7170.949231593884,0.0,0.0,5.206777711449643e-8,-2.407597763312217e-10,0.0,0.0,-8171.0
t5,14094.434823873135,5.3071970645612626e-5,-5952.434876999361,0.0,0.0,5.44329037688655e-8,-1.7371854107025087e-10,0.0,0.0,-8142.0
t6,11775.273679343682,2.9884982074893247e-5,-3489.2737092829348,0.0,0.0,5.444520536942342e-8,-1.7337936466878485e-10,0.0,0.0,-8286.0
t7,11006.552531857253,2.3884952543791972e-5,-2412.5525557964907,0.0,0.0,5.4457526709170697e-8,-1.7303974043134308e-10,0.0,0.0,-8594.0
t8,10755.264139043366,2.0932893071994794e-5,-1882.264160030555,0.0,0.0,5.446986782733132e-8,-1.7269966762273334e-10,0.0,0.0,-8873.0
t9,10077.770577541622,1.913983142854589e-5,-731.7705967357667,0.0,0.0,5.4482228767813e-8,-1.7235914553846656e-10,0.0,0.0,-9346.0
t10,11007.909796905882,1.7930621120132743e-5,-1198.9098148908254,0.0,0.0,5.449460955804191e-8,-1.7201817377610453e-10,0.0,0.0,-9809.0
t11,12071.910656484977,1.7064337087908067e-5,-1982.9106736036497,0.0,0.0,5.450701024052893e-8,-1.716767515512854e-10,0.0,0.0,-10089.0
t12,12066.06521602356,1.642035456935086e-5,-1874.0652324982645,0.0,0.0,5.451943085485524e-8,-1.713348782177155e-10,0.0,0.0,-10192.0
t13,11470.089094703753,1.5930905065130996e-5,-1228.0891106890206,0.0,0.0,5.45318714404577e-8,-1.709925531606176e-10,0.0,0.0,-10242.0
