Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,533.7922367873743,0.0,0.0,0.0038155804351207787,11042.342904070969,63732.263971975124,310511.1853967463,0.0001863612124626039,0.0,0.0,0.0,0.0,0.0,385819.5885115214
t1,2.0407830539182283e-7,0.0,0.0,1.3171011832295125e-7,1.2892451616596138e-7,5.262169925453362e-7,3.144502922536984e-7,2.009230645027314e-8,0.0,0.0,0.0,0.0,0.0,1.3254725311300431e-6
t2,1.9049481890307327e-7,0.0,0.0,1.258968569993553e-7,1.2683864189025252e-7,4.273530284817144e-7,2.6797312370671875e-7,1.9167313188353376e-8,0.0,0.0,0.0,0.0,0.0,1.1577237831694675e-6
t3,1.777513860126655e-7,0.0,0.0,1.2134136201509433e-7,1.2504546591977575e-7,3.592655765504795e-7,2.3255187378577803e-7,1.833399778887017e-8,0.0,0.0,0.0,0.0,0.0,1.0342896620726633e-6
t4,1.653049659636805e-7,0.0,0.0,1.1751312394841699e-7,1.2314766594178162e-7,3.0950188854446513e-7,2.0439511445780872e-7,1.7577299537786593e-8,0.0,0.0,0.0,0.0,0.0,9.374400583939396e-7
t5,1.527220377411985e-7,0.0,0.0,1.1396246972520391e-7,1.2073776587384443e-7,2.7152978893442935e-7,1.8126188789747224e-7,1.6901632467729247e-8,0.0,0.0,0.0,0.0,0.0,8.571155826398777e-7
t6,1.570624251633653e-7,0.0,0.0,1.153851675166689e-7,1.229374480945186e-7,2.635298473953746e-7,1.851256153061969e-7,1.67000236088278e-8,0.0,0.0,0.0,0.0,0.0,8.60740527084952e-7
t7,1.5966152645399075e-7,0.0,0.0,1.1658385113403519e-7,1.2432783836421733e-7,2.560418709800863e-7,1.8804875796790594e-7,1.6537557166814483e-8,0.0,0.0,0.0,0.0,0.0,8.6120140206705e-7
t8,1.608472827931189e-7,0.0,0.0,1.1759487287074295e-7,1.2519786207824799e-7,2.4901227959441933e-7,1.8991817192155573e-7,1.6390389497574104e-8,0.0,0.0,0.0,0.0,0.0,8.58960858755659e-7
