Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,533.7922367873743,0.0,0.0,0.003815580435119229,11042.342904070967,63732.263971975124,310511.1853967463,0.0001863612124307911,0.0,0.0,0.0,0.0,0.0,385819.5885115214
t1,1.567824688105834e-7,0.0,0.0,1.1406969116320061e-7,1.2364828246447506e-7,2.2541268578877498e-7,1.8965989543631772e-7,6.745875327385388e-9,0.0,0.0,0.0,0.0,0.0,8.163188989907371e-7
t2,1.9212674045206796e-7,0.0,0.0,1.1741523160467412e-7,1.2548461268927312e-7,2.948834347105188e-7,2.4762907033304855e-7,7.467506908932404e-9,0.0,0.0,0.0,0.0,0.0,9.850065966985151e-7
t3,2.1674829117037904e-7,0.0,0.0,1.207234833639244e-7,1.2731116875398264e-7,3.4077000109393956e-7,3.009290965942733e-7,8.206349586937564e-9,0.0,0.0,0.0,0.0,0.0,1.1146883905634365e-6
t4,2.3392775766116967e-7,0.0,0.0,1.2426926844253065e-7,1.2954088127089474e-7,4.0189881794379626e-7,3.6358122496285996e-7,8.966441363567693e-9,0.0,0.0,0.0,0.0,0.0,1.2621843916448188e-6
t5,2.5102018088244194e-7,0.0,0.0,1.2840794840502857e-7,1.3274826200271624e-7,4.885707454266438e-7,4.5238398340986874e-7,9.742502660348538e-9,0.0,0.0,0.0,0.0,0.0,1.4628736227870476e-6
t6,2.2834882519130096e-7,0.0,0.0,1.2697518459269105e-7,1.3070017317160344e-7,5.15563064330666e-7,4.175505051375999e-7,1.0296849997377425e-8,0.0,0.0,0.0,0.0,0.0,1.4294346024212388e-6
t7,2.1148020623455252e-7,0.0,0.0,1.260637698255649e-7,1.2948047668311235e-7,5.451648337799344e-7,3.893502027951916e-7,1.0836776559666597e-8,0.0,0.0,0.0,0.0,0.0,1.4123762658780223e-6
t8,1.9837747966692716e-7,0.0,0.0,1.2554662481871184e-7,1.2875559633912969e-7,5.77823813612262e-7,3.6667516102707506e-7,1.137523260132222e-8,0.0,0.0,0.0,0.0,0.0,1.4085539080654278e-6
t9,1.8802086182748995e-7,0.0,0.0,1.253630449450288e-7,1.283547588799233e-7,6.140826156270078e-7,3.4861389181134605e-7,1.1914470135918878e-8,0.0,0.0,0.0,0.0,0.0,1.4163496432267148e-6
t10,1.7996086198235838e-7,0.0,0.0,1.2548828112345892e-7,1.281864088328782e-7,6.546153914761297e-7,3.345117230704619e-7,1.2451860703914444e-8,0.0,0.0,0.0,0.0,0.0,1.4352145271892017e-6
t11,1.7416023187129232e-7,0.0,0.0,1.2592145303948384e-7,1.2821157120355791e-7,7.002763065847311e-7,3.2396183635627814e-7,1.298347461247156e-8,0.0,0.0,0.0,0.0,0.0,1.465514873667815e-6
t12,1.710190029310758e-7,0.0,0.0,1.2669662523233103e-7,1.2843324606515403e-7,7.52168552531118e-7,3.1680102084702006e-7,1.3504003933031258e-8,0.0,0.0,0.0,0.0,0.0,1.50862245153973e-6
t13,1.6964670074752604e-7,0.0,0.0,1.2788915122785597e-7,1.2889643418714773e-7,8.117334349643203e-7,3.127324264687965e-7,1.4011162340991935e-8,0.0,0.0,0.0,0.0,0.0,1.5649093099366383e-6
t14,1.6969967179486e-7,0.0,0.0,1.2920769501655955e-7,1.2969832554892152e-7,8.809140459365984e-7,3.117325406698544e-7,1.4501616855745336e-8,0.0,0.0,0.0,0.0,0.0,1.635753895822539e-6
t15,1.711950178687096e-7,0.0,0.0,1.3079100125585348e-7,1.3101444587082606e-7,9.624009006382575e-7,3.140698700977485e-7,1.496957524883995e-8,0.0,0.0,0.0,0.0,0.0,1.7244408109802352e-6
t16,1.722551054046359e-7,0.0,0.0,1.3212540446361592e-7,1.324519024485868e-7,1.025141694708902e-6,3.130507728405396e-7,1.5375780330411893e-8,0.0,0.0,0.0,0.0,0.0,1.790400660196692e-6
t17,1.7584451180238282e-7,0.0,0.0,1.3402979358792743e-7,1.3501090292807873e-7,1.0985013381186146e-6,3.168048025379383e-7,1.5761858238441886e-8,0.0,0.0,0.0,0.0,0.0,1.8759532072133838e-6
t18,1.836435341406184e-7,0.0,0.0,1.368087510720545e-7,1.3945088123039872e-7,1.1856967338528292e-6,3.2659604651814215e-7,1.6086872077562945e-8,0.0,0.0,0.0,0.0,0.0,1.9882828188916057e-6
t19,1.2131264772215132e-7,0.0,0.0,1.146322114583024e-7,1.1865958975797689e-7,2.6563238717753885e-7,1.66236434620636e-7,1.4681614345787894e-8,0.0,0.0,0.0,0.0,0.0,8.011548850823933e-7
t20,1.260976083776771e-7,0.0,0.0,1.165772582682765e-7,1.2155852327362396e-7,2.7087851119470455e-7,1.7053039649653284e-7,1.4903434537071293e-8,0.0,0.0,0.0,0.0,0.0,8.205457321478862e-7
t21,1.2974395299660447e-7,0.0,0.0,1.1792369228078852e-7,1.2336123693102807e-7,2.7631517150352327e-7,1.745305934845533e-7,1.511345092916975e-8,0.0,0.0,0.0,0.0,0.0,8.369880981256674e-7
t22,1.3291593831927293e-7,0.0,0.0,1.1883091810779244e-7,1.2444183400489098e-7,2.819561669739763e-7,1.783722441909018e-7,1.5284993178818014e-8,0.0,0.0,0.0,0.0,0.0,8.518020947756525e-7
t23,1.3713905287829992e-7,0.0,0.0,1.1970633182747483e-7,1.2537106982497248e-7,2.896108020699495e-7,1.838132449895238e-7,1.544748743992492e-8,0.0,0.0,0.0,0.0,0.0,8.710879890301455e-7
t24,1.4239938724778536e-7,0.0,0.0,1.2028833159256403e-7,1.2591412334473348e-7,2.975186854566555e-7,1.894064822002839e-7,1.5581530022605558e-8,0.0,0.0,0.0,0.0,0.0,8.911085398646278e-7
t25,1.503319533202091e-7,0.0,0.0,1.2062146768262155e-7,1.2617074843010833e-7,3.0569163717099784e-7,1.9536257508423409e-7,1.5691740975667658e-8,0.0,0.0,0.0,0.0,0.0,9.138701226638385e-7
t26,1.546408488325988e-7,0.0,0.0,1.2073668839338006e-7,1.261874702044785e-7,3.14103048928421e-7,1.9968658825875784e-7,1.578306063861265e-8,0.0,0.0,0.0,0.0,0.0,9.311377052562487e-7
t27,1.5662419168161868e-7,0.0,0.0,1.2064580696439774e-7,1.259647356107544e-7,3.227619458606816e-7,2.0256091365948687e-7,1.586086696815134e-8,0.0,0.0,0.0,0.0,0.0,9.444184607450907e-7
