Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,1.5685973141600906e-6,0.00035863423266430686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3426.3223985424174,67126.98805061959
t2,0.0,1.5764631465419152e-6,0.0003595656639125489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.1462676766723,73541.70386612933
t3,0.0,1.5838601786986528e-6,0.0003604960324333701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4508.5775980155595,79945.5537545403
t4,0.0,1.589625265565234e-6,0.0003614253593710528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454913636748,86338.08052219466
t5,0.0,1.5905550115616451e-6,0.0003617557994654518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454858986198,92123.06844577668
t6,0.0,1.589671202349957e-6,0.00036208206029496206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454829605694,95462.29557834803
t7,0.0,1.5882630113075577e-6,0.0003624041486387652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454806787065,97731.39473501388
t8,0.0,1.5872311886901763e-6,0.0003627220711856971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.4547872058865,99472.67200589966
t9,0.0,1.586918922964288e-6,0.00036303583453324643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454769595542,100072.7840525164
t10,0.0,1.5873306205340642e-6,0.00036334544518896273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454753316657,101134.61378503492
t11,0.0,1.5888202958960115e-6,0.000363650909565792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.45473799291,102971.27708050383
t12,0.0,1.59130519866054e-6,0.000363952233982063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454723379826,104697.88756015248
t13,0.0,1.5949823879645521e-6,0.00036424942466053235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454709307094,105782.82341610633
t14,0.0,1.599502305364515e-6,0.00036454248772711546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454695649628,106418.43401662688
t15,0.0,1.6034689125119093e-6,0.0003647724743210361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4999.418636770678,106285.41098773961
t16,0.0,1.605234168519104e-6,0.0003650013975353604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4950.099988685775,106152.55423841784
t17,0.0,1.6001512729068991e-6,0.00036522926343358355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4911.289724345995,106019.86356090248
t18,0.0,1.5786323696509954e-6,0.00036303945945459205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3455.595130025687,105619.09443706309
t19,0.0,1.5709624555985384e-6,0.00036326515917688677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2332.2832531060667,105487.07058638147
t20,0.0,1.5697256822036347e-6,0.00036348975491250527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.8347356634497,105355.21176677366
t21,0.0,1.5708541564394576e-6,0.00036371325261101055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.3436368734933,105223.51777214152
t22,0.0,1.5728472412122327e-6,0.00036397319887846705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.343614475286,105455.59556886583
t23,0.0,1.5746563183099127e-6,0.00036422899381893857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.3435898749146,106982.48661676736
t24,0.0,1.5757480352921839e-6,0.00036448064249322847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.3435626449427,110818.14849701355
t25,0.0,1.5763672314825124e-6,0.0003647281498512945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.3435322185287,115838.48403988258
t26,0.0,1.5768540038018291e-6,0.00036497152072946553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.3434978214705,120541.67217331934
t27,0.0,1.5777382762508248e-6,0.0003652107598519069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.3434583571043,126422.56481440426
t28,0.0,1.5806167029045937e-6,0.00036582156559752124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511.0090985735922,132709.02372907344
t29,0.0,1.58120033597284e-6,0.00036605193236540325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511.0090407946218,138351.97542542045
t30,0.0,1.5803005420386366e-6,0.00036627819052193606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511.0089680719038,142613.07366908676
t31,0.0,1.5785830731725234e-6,0.000366500344305917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511.008870454829,145687.58996433552
t32,0.0,1.5762659793243833e-6,0.00036671839783561215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511.0087230665636,148538.766715481
t33,0.0,1.5733585288943433e-6,0.0003669323551080133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511.008426399937,151553.22466370082
t34,0.0,1.5705286050617505e-6,0.00036714221998502015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.0674863120908,155670.41578833127
t35,0.0,1.5689545200630168e-6,0.0003673510836791349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.6861745010735,161847.3389467454
t36,0.0,1.57103507170984e-6,0.00036795378170333923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.7517739290665,167993.37001864132
t37,0.0,1.5751860178879889e-6,0.0003685555017301707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2647.639811919825,174104.96662135614
t38,0.0,1.5807700152685596e-6,0.0003691562597744166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840.355007431341,180178.08075641867
t39,0.0,1.5873969632835334e-6,0.0003700523234656371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454906115832,186208.09997729847
t40,0.0,1.5893391399170088e-6,0.00037025637762120884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454897776076,192189.78645246717
t41,0.0,1.589011443500346e-6,0.0003704275676087795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454891223469,197711.4518952496
t42,0.0,1.5882157262735042e-6,0.0003705947368897401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454887151581,202834.78688450172
t43,0.0,1.5878241099552918e-6,0.00037075788787499096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454884520777,207937.1739787066
t44,0.0,1.5882177656743662e-6,0.00037091702284096866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454882937754,213241.81007131853
t45,0.0,1.5901486453606838e-6,0.00037107214392667176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.45488222618,218077.37714839767
t46,0.0,1.5943360085517934e-6,0.0003712232531373235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454882316038,222707.66662177822
t47,0.0,1.60158311036874e-6,0.000371370352340286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454883210983,227217.9538224824
t48,0.0,1.613375821071353e-6,0.0003715134432645606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454884990263,231554.63841649343
t49,0.0,1.6310525800661354e-6,0.00037165252749946044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454887847525,234427.99866202197
t50,0.0,1.655008134704002e-6,0.0003717876064949211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454892221206,236745.35797593062
t51,0.0,1.6834403443723488e-6,0.0003719186815588696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454899332471,237894.82278739705
t52,0.0,1.7083896670752478e-6,0.00037204575385665835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454916563346,238221.71716152804
t53,0.0,1.7114015419597667e-6,0.00036970874121280484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454913077408,237855.48782494015
t54,0.0,1.7043563517509763e-6,0.00036736821581769485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454912714108,235191.79445141775
t55,0.0,1.6917652504601335e-6,0.00036502415962350916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.4549143100585,229329.70326649904
t56,0.0,1.6708296150848398e-6,0.0003623460207857929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4327.796696868905,223225.5156091877
t57,0.0,1.6525670889277096e-6,0.0003596675665955877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3631.0653328993126,217128.95818645973
t58,0.0,1.6453249762193973e-6,0.00035698877738144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3396.0124538041737,211040.02146052194
t59,0.0,1.6572593752682663e-6,0.0003543096336017334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3291.324008059866,204958.69590550355
t60,0.0,1.6987651756913552e-6,0.00035194470797895387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3876.478658427575,198884.97226769789
t61,0.0,1.7637098393574142e-6,0.000349579058151512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454527006768,194239.54275685525
t62,0.0,1.8420090725104398e-6,0.00034720974988419577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454700099465,190530.36288731114
t63,0.0,1.9110439731575915e-6,0.0003448367697172608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454804905735,188375.2230864598
t64,0.0,1.9285523170889115e-6,0.00034246010465296283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.454916815421,184014.79017571782
t65,0.0,1.8451764380906702e-6,0.00033922493342181256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4551.367696257924,177967.24615810646
