Resource,Zone,AnnualSum,Capacity,CapacityFactor
ERC_REST_biomass_1,1,2.138733102891256e8,25135.621809765023,0.9713211645731137
ERC_REST_conventional_hydroelectric_1,1,1.8059430170632518e-5,9.047096627787037e-8,0.0
NaturalGas_CCAvgCF_Moderate,1,0.021622592007112907,3.063688387123081e-5,0.0
NaturalGas_CTAvgCF_Moderate,1,659671.1808906371,2631.3239377720183,0.028618646394855136
NaturalGas_CCCCSAvgCF_Moderate,1,3.264169200428671e7,14365.219952904788,0.25939182001046057
NaturalGas_CCS100_Moderate,1,4.365526858735975e7,8648.100082816314,0.5762512114243566
ERC_nuclear_1,1,0.04030450364323704,6.0920103188260534e-6,0.0
LandbasedWind_Class3_Moderate_130,1,4.335991668059219e7,18735.55255202503,0.2641908833169054
UtilityPV_Class1_Moderate_100_0.2,1,2.49583093227753e8,130810.23875459148,0.21780573875070317
Liion_Moderate,1,3.1815551894143816e7,23674.33122621007,0.0
TEGS,1,3.992064516757355e7,12287.95731092129,0.0
