Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.758926263485799e7,8.26277312479524e7,1.2021699388281038e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7820517980853723e-6,7.21979586984126e-7,3.5040313850694983e-6
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782051774039008e-6,7.225127299764581e-7,3.5045645040154663e-6
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7820517559338953e-6,7.232025995004501e-7,3.5052543554343456e-6
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782051750698593e-6,7.24095726577922e-7,3.506147477276515e-6
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782051739592044e-6,7.249922057710718e-7,3.5070439453631155e-6
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3103383096656397e-6,6.838646270050038e-7,2.9942029366706435e-6
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3103381490791513e-6,6.790268541892909e-7,2.9893650032684424e-6
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310338147886392e-6,6.728759489856422e-7,2.9832140968720344e-6
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1557353332606909e-6,6.650903264096762e-7,1.820825659670367e-6
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6207584952099653e-5,8323.764967708405,8323.76498391599
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.418225780750707e-6,40671.03870365015,40671.03870606837
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11670.582280473815,44683.47804992757,56354.060330401386
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19462.3573981777,44683.45850961243,64145.81590779013
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21639.418192916506,44683.31539840175,66322.73359131825
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20565.67929096921,44682.26989330951,65247.94918427872
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18274.14145100366,44674.65192484147,62948.793375845125
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9190.605023956901,44619.33711433599,53809.94213829289
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2129.0913821850536,44221.557400973805,46350.64878315886
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.053800271384184e-5,17446.067953405025,17446.067963943027
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625411903877244e-6,7.685830479593205e-7,3.331124238347045e-6
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.562541191455274e-6,7.69470327290513e-7,3.3320115187457868e-6
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625411894159985e-6,7.703489351581428e-7,3.332890124574141e-6
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.562541189095683e-6,7.712138862851518e-7,3.3337550753808344e-6
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625411893170214e-6,7.720583371239773e-7,3.334599526440999e-6
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625411904398445e-6,7.728730642202528e-7,3.335414254660097e-6
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625411926112668e-6,7.73645922755923e-7,3.33618711536719e-6
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7720683969563555e-6,7.930229434062699e-7,3.5650913403626253e-6
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625411965599506e-6,7.752300081957192e-7,3.3377712047556696e-6
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625411962470757e-6,7.757885617900316e-7,3.3383297580371073e-6
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625411924308695e-6,7.762316035270453e-7,3.338772795957915e-6
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625411931806627e-6,7.765373919715581e-7,3.3390785851522208e-6
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625411943996316e-6,7.766866276729688e-7,3.3392278220726005e-6
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.526713660470886e-6,7.766632534590479e-7,3.3033769139299338e-6
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3160989283881722e-6,7.898118056133992e-7,2.1059107340015715e-6
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9534732851636965e-6,28359.879018624295,28359.87902157777
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3671.9975922749263,44683.46495852066,48355.462550795586
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18950.94929685358,44683.362597954,63634.311894807586
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22389.023866320673,44682.61448035023,67071.63834667091
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22502.28024814949,44677.160868237945,67179.44111638743
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22210.189154476215,44637.53212850851,66847.72128298473
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13207.434841021013,44351.761111621876,57559.19595264289
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08693436789485e-6,39186.31711634934,39186.317123436274
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.788079673991041e-5,7710.553730980876,7710.553748861673
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0184688527401936e-6,5.118559158475402e-7,2.530324768587734e-6
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0184688532829715e-6,5.121697869365938e-7,2.5306386402195653e-6
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0184688530778294e-6,5.12423744449246e-7,2.5308925975270755e-6
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0184688534270505e-6,5.125851066333987e-7,2.5310539600604494e-6
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018468854187094e-6,5.126040782187787e-7,2.5310729324058726e-6
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018468856211876e-6,5.124052065981382e-7,2.530874062810014e-6
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.076885821131717e-5,6.859116694413894e-7,6.145476988075856e-5
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0768891526609296e-5,6.860625192263414e-7,6.145495404583564e-5
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0184688765680495e-6,5.109515312402412e-7,2.529420407808291e-6
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018468859809834e-6,5.081354934086666e-7,2.5266043532185003e-6
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0184688579742753e-6,5.03772139610698e-7,2.5222409975849734e-6
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0184688581141433e-6,4.972574851641884e-7,2.5157263432783315e-6
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018468858858745e-6,4.878767925708641e-7,2.506345651429609e-6
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.314950082770164e-6,4.748808767898953e-7,1.7898309595600592e-6
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9773148769114213e-6,8.706701100185163e-7,2.8479849869299376e-6
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9635535034054632e-5,21327.579138540852,21327.579158176388
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85181403217972e-6,44450.26195301986,44450.26195787167
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16515.22470634546,44683.380472367404,61198.60517871287
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23674.331221269513,44682.74502938652,68357.07625065603
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23674.331221269513,44678.11175505256,68352.44297632207
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23674.331221269513,44644.43296422853,68318.76418549805
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15393.656525608607,44401.30088900466,59794.957414613265
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11369279367845e-6,40164.460115107926,40164.460123221616
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0065089608408443e-5,7920.901567247097,7920.901587312186
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.628853974497681e-6,7.604299104379602e-7,3.3892838849356414e-6
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6288540153057273e-6,7.612109927779754e-7,3.3900650080837026e-6
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62885401787137e-6,7.61965630511126e-7,3.390819648382496e-6
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.628854018936928e-6,7.626788660987897e-7,3.3915328850357175e-6
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6288540220844185e-6,7.633282561875495e-7,3.392182278271968e-6
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.628854027938662e-6,7.638802915849599e-7,3.392734319523622e-6
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.957261473160487e-6,8.491923356846708e-7,4.806453808845158e-6
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9126745888455095e-6,8.481255766565101e-7,4.760800165502019e-6
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.869024763843758e-6,8.470601318047495e-7,4.7160848956485075e-6
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.826282806882361e-6,8.459959999653391e-7,4.6722788068477e-6
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.628854044893566e-6,7.66836449993799e-7,3.3956904948873652e-6
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6288540344858342e-6,7.657646165192051e-7,3.3946186510050395e-6
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.628854034542329e-6,7.638299038250033e-7,3.3926839383673325e-6
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3799701461214963e-6,7.60713979515947e-7,3.1406841256374433e-6
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6058949674509207e-6,8.532141800257841e-7,2.4591091474767048e-6
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7690.66453120066,20583.296777608928,28273.961308809587
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.325738224326,44683.43813511993,47062.76387334426
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15725.529899580886,44683.171185186904,60408.70108476779
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22106.048545807345,44681.220064994865,66787.26861080222
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21803.53569496183,44667.015661037716,66470.55135599955
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18353.41907543532,44564.05863037135,62917.47770580667
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14873.351090678781,43829.51880197589,58702.86989265468
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001340212408802419,38377.89750559503,38377.89763961627
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002274567788042483,8099.465152567991,8099.46538002477
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.309009006644387e-6,6.066034624500999e-7,2.9156124690944873e-6
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3090090066919972e-6,6.070690892985027e-7,2.9160780959904998e-6
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.309009005982285e-6,6.074937714719315e-7,2.9165027774542165e-6
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.309009007555526e-6,6.078547337242111e-7,2.9168637412797373e-6
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3090090099387626e-6,6.081171999006169e-7,2.9171262098393792e-6
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3090090169736092e-6,6.082282760621772e-7,2.9172372930357866e-6
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.3118878200996,8.339569171246245e-7,725.3118886540566
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.5812245227102,8.349691185225602e-7,970.5812253576793
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.30239431753061,8.35997558288008e-7,127.30239515352817
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.309009034735068e-6,6.081647944468968e-7,2.917173829181965e-6
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3090090364740636e-6,6.053488045051808e-7,2.9143578409792446e-6
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3090090404742758e-6,6.009327970724321e-7,2.909941837546708e-6
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3090090443656248e-6,5.942924554718266e-7,2.9033014998374516e-6
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3090090477137673e-6,5.846833220424849e-7,2.8936923697562523e-6
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1196611861302193e-6,5.713085048212792e-7,1.6909696909514985e-6
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16293.242462374019,0.00019073269532932758,16293.242653106714
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23674.330715437954,13968.897523635027,37643.22823907298
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23674.330461728998,19263.964804846302,42938.2952665753
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23674.32970063619,28694.261756368596,52368.59145700479
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12582.844360997968,37676.94159711143,50259.785958109394
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.7960304977255,44682.770797342535,47715.56682784026
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005578327911033455,37915.989973450654,37915.990531283445
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006453524560334128,21830.236274250197,21830.236919602652
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.393402987550424e-6,9.117183387223127e-7,5.305121326272737e-6
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5845214957120148e-6,6.990938412164926e-7,3.2836153369285073e-6
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5845214991587735e-6,6.987986175121112e-7,3.283320116670885e-6
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58452150066396e-6,6.98006467667995e-7,3.282527968331955e-6
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5845214949671916e-6,6.964734203234223e-7,3.280994915290614e-6
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.584521486336807e-6,6.9385210165741e-7,3.2783735879942175e-6
