Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,25135.62180818156,0.0,2.2631839090912243e-6,1.4436619003775062e-6,5276.292505849662,8648.100077321813,5.136705047872784e-6,0.0,0.0,0.0,0.0
t2,25135.621808171454,0.0,2.2551100352316088e-6,1.4409905178971081e-6,5276.292502271897,8648.100077107125,5.127441074465809e-6,0.0,0.0,0.0,0.0
t3,25135.62180815702,0.0,2.2447780197736508e-6,1.4377904638991706e-6,5276.2924986941325,8648.100076847557,5.117468604133798e-6,0.0,0.0,0.0,0.0
t4,25135.62180813386,0.0,2.2312877160937784e-6,1.4335774894795e-6,5276.292495116368,8648.100076529396,5.106729119606258e-6,0.0,0.0,0.0,0.0
t5,25135.62180809416,0.0,2.2133978956688383e-6,1.427712010070072e-6,5276.292491536252,8648.100076130719,5.095151732766873e-6,0.0,0.0,0.0,0.0
t6,25135.621808027176,0.0,2.1897511485345943e-6,1.4193059696896405e-6,5276.292487953464,8648.100075615586,5.082646936068963e-6,0.0,0.0,0.0,0.0
t7,25135.621807905445,0.0,2.157102353013714e-6,1.4054098024024077e-6,5276.292482936102,8648.100074852862,5.0689807225349736e-6,0.0,0.0,0.0,0.0
t8,25135.621807683747,0.0,2.113383985332415e-6,1.38383551539687e-6,5276.29247474142,8648.10007353859,5.0540255605637764e-6,0.0,0.0,0.0,0.0
t9,25135.621807228163,0.0,2.0556853178136684e-6,1.3510191915309216e-6,5276.292453456779,8648.100069659633,5.037667279518797e-6,0.0,0.0,0.0,0.0
t10,25135.62180539085,0.0,1.979398982089527e-6,1.300881284149592e-6,1.7045766950910763e-5,6.942801613181108e-5,5.0200133642707575e-6,0.0,0.0,0.0,0.0
t11,25135.621802679078,0.0,1.915893660282976e-6,1.2616536011982892e-6,1.4753389625596116e-5,5.1448001724014146e-5,5.003964321039652e-6,0.0,0.0,0.0,0.0
t12,19379.751936795354,0.0,1.85918030374591e-6,1.2251090081239669e-6,1.348490924472518e-5,4.8907762177424694e-5,4.989704274240185e-6,0.0,0.0,0.0,0.0
t13,17807.749140548356,0.0,1.82293865021245e-6,1.2038848022398147e-6,1.2953913246065794e-5,4.819532128893549e-5,4.978406536728152e-6,0.0,0.0,0.0,0.0
t14,17807.74913872634,0.0,1.8030779763786717e-6,1.1931001814779034e-6,1.2695321868931718e-5,4.789386667761994e-5,4.970029216744045e-6,0.0,0.0,0.0,0.0
t15,17807.749138526324,0.0,1.7975998614015976e-6,1.1903720830001494e-6,1.2602725089560067e-5,4.781815307294222e-5,4.9645032071751825e-6,0.0,0.0,0.0,0.0
t16,17807.749139173706,0.0,1.8059074743969566e-6,1.1951016397439917e-6,1.2648198153649872e-5,4.794132336571312e-5,4.961790881263344e-6,0.0,0.0,0.0,0.0
t17,17807.749141282813,0.0,1.8286698100698719e-6,1.208327788700635e-6,1.2844782607596711e-5,4.831429301875129e-5,4.961892355048414e-6,0.0,0.0,0.0,0.0
t18,22102.90439881611,0.0,1.8681216396906294e-6,1.232982652880459e-6,1.3262472855491365e-5,4.923572421666605e-5,4.964832123764413e-6,0.0,0.0,0.0,0.0
t19,25135.621803688,0.0,1.9286893935500223e-6,1.2747888035531678e-6,1.4163039790058426e-5,5.5256455995881314e-5,4.970586563972323e-6,0.0,0.0,0.0,0.0
t20,25135.62180675204,0.0,1.9962029075297138e-6,1.321390150330485e-6,1.5474229389257248e-5,2236.282325604824,4.977855361259351e-6,0.0,0.0,0.0,0.0
t21,25135.621807357642,0.0,2.047264171492853e-6,1.3518844765806666e-6,1.6280927350743823e-5,2236.282329525673,4.984438692063138e-6,0.0,0.0,0.0,0.0
t22,25135.62180764524,0.0,2.0858337087419398e-6,1.372042590210894e-6,1.6838138945129776e-5,2236.28233092371,4.990134565275371e-6,0.0,0.0,0.0,0.0
t23,25135.62180780469,0.0,2.114431666245949e-6,1.3853120673470357e-6,1.7238910415611135e-5,2236.282331695333,4.9949478413825764e-6,0.0,0.0,0.0,0.0
t24,25135.621807895775,0.0,2.1348094303748227e-6,1.3938744853713568e-6,1.752748660410083e-5,2236.282332170781,4.99890783507229e-6,0.0,0.0,0.0,0.0
t25,25135.621807945714,0.0,2.1482584668192047e-6,1.3991093657371627e-6,1.7727741429069288e-5,2236.282332463185,5.002037631784916e-6,0.0,0.0,0.0,0.0
t26,25135.62180796965,0.0,2.155817872406433e-6,1.4018509842853427e-6,1.785338238307544e-5,2236.282332621267,5.0043502729842725e-6,0.0,0.0,0.0,0.0
t27,25135.62180797594,0.0,2.1582210419006285e-6,1.4025307547039747e-6,1.7912194983534785e-5,2236.2823326681214,5.005850570868864e-6,0.0,0.0,0.0,0.0
t28,25135.62180796955,0.0,2.1563381670229216e-6,1.401918541006604e-6,1.7911269406237894e-5,2236.2823326178022,5.006581433641401e-6,0.0,0.0,0.0,0.0
t29,25135.62180794549,0.0,2.1493491533267843e-6,1.3992551692753353e-6,1.784673613768209e-5,2236.28233245583,5.006478142908425e-6,0.0,0.0,0.0,0.0
