Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4012.4461018589473,4189.661466223116,0.0,0.0,8202.107568082063
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.628665581345558e-7,-1.3407264990446123e-10,0.0,0.0,3.627324854846514e-7
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6286564863985404e-7,-1.3407264997393094e-10,0.0,0.0,3.627315759898801e-7
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6286564863985404e-7,-1.3407265000531487e-10,0.0,0.0,3.6273157598984875e-7
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6286564863985404e-7,-1.340726499541979e-10,0.0,0.0,3.6273157598989984e-7
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6286564863985404e-7,-1.340726499407167e-10,0.0,0.0,3.6273157598991334e-7
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.530099093040917e-7,-1.377112376138658e-10,0.0,0.0,3.5287219806647783e-7
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.530103640514426e-7,-1.3771123904352666e-10,0.0,0.0,3.528726528123991e-7
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.530099093040917e-7,-1.3771123900862448e-10,0.0,0.0,3.528721980650831e-7
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.530094545567408e-7,-1.3771123898950195e-10,0.0,0.0,3.528717433177513e-7
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.533561413059942e-7,8.533606887795031e-7,0.0,0.0,1.7067168300854973e-6
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.522702046320774e-7,8.522765710949898e-7,0.0,0.0,1.7045467757270671e-6
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90536843042355e-6,3.9053556974977255e-6,0.0,0.0,7.810724127921276e-6
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90536843042355e-6,3.9053556974977255e-6,0.0,0.0,7.810724127921276e-6
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905366611434147e-6,3.905370249412954e-6,0.0,0.0,7.8107368608471e-6
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905366611434147e-6,3.905370249412954e-6,0.0,0.0,7.8107368608471e-6
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905366611434147e-6,3.905370249412954e-6,0.0,0.0,7.8107368608471e-6
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905366611434147e-6,3.905370249412954e-6,0.0,0.0,7.8107368608471e-6
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905366611434147e-6,3.905370249412954e-6,0.0,0.0,7.8107368608471e-6
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.276501830550842e-7,8.276474545709789e-7,0.0,0.0,1.655297637626063e-6
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9327915146714076e-7,-1.2396473535239032e-10,0.0,0.0,3.9315518673178836e-7
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9327915146714076e-7,-1.2396473536231046e-10,0.0,0.0,3.9315518673177846e-7
