Segment,1,2,3,4,Total
Zone,1,1,1,1,0
AnnualSum,3.694502479952023e-7,18143.433587820873,109432.39722904905,33839.95832229566,161415.78913953505
t1,-1.8498377127400242e-10,9.375638183241853e-10,8.238285535398957e-9,4.485044617280162e-8,5.384131175525076e-8
t2,-1.849837711401957e-10,9.375638184886536e-10,8.238285535852993e-9,4.485044617639056e-8,5.384131175959201e-8
t3,-1.8498377107979843e-10,9.375638185621476e-10,8.238285536054428e-9,4.4850446177751516e-8,5.3841311761288294e-8
t4,-1.8498377117842692e-10,9.37563818438348e-10,8.238285535707652e-9,4.4850446174211607e-8,5.384131175717918e-8
t5,-1.8498377120445054e-10,9.375638184054775e-10,8.23828553561519e-9,4.485044617320635e-8,5.384131175602257e-8
t6,-1.7796443597076883e-10,9.462812924737617e-10,8.262537593350134e-9,4.507038491503827e-8,5.4101239364891394e-8
t7,-1.7796443321066912e-10,9.462812959029541e-10,8.262537602897332e-9,4.507038500218475e-8,5.4101239467774365e-8
t8,-1.7796443327790636e-10,9.462812958215933e-10,8.262537602675022e-9,4.507038500082492e-8,5.4101239466043625e-8
t9,-1.7796443331472689e-10,9.462812957773341e-10,8.262537602554674e-9,4.507038500018335e-8,5.410123946520063e-8
t10,-3.29602440926273e-10,7.582753865577891e-10,7.745165027165464e-9,4.061995376351102e-8,4.8793791736308e-8
t11,-3.2946595374023027e-10,7.584443097306232e-10,7.745624614902997e-9,4.062369377314934e-8,4.879829674404273e-8
t12,-4.1330474221771623e-10,6.547822892041155e-10,7.465343373644882e-9,3.840757627830533e-8,4.611439719893661e-8
t13,-4.1330474220078457e-10,6.547822892249539e-10,7.46534337370074e-9,3.8407576278715635e-8,4.611439719944055e-8
t14,-4.133047422776579e-10,6.547822891296728e-10,7.465343373444112e-9,3.8407576276662804e-8,4.611439719695893e-8
t15,-4.1330474227143556e-10,6.547822891365572e-10,7.465343373461114e-9,3.840757627659218e-8,4.611439719691842e-8
t16,-4.1330474224418865e-10,6.547822891691956e-10,7.465343373546917e-9,3.8407576276996244e-8,4.6114397197468165e-8
t17,-4.1330474222971433e-10,6.547822891865941e-10,7.465343373592761e-9,3.840757627722699e-8,4.611439719777663e-8
t18,-4.1330474218245306e-10,6.547822892453775e-10,7.465343373751473e-9,3.840757627854835e-8,4.611439719936275e-8
t19,-3.26277184605064e-10,7.623910379787226e-10,7.756365110896367e-9,4.0711199544388486e-8,4.8903678508658514e-8
t20,-2.044297271920301e-10,9.134208839090839e-10,8.171254262583078e-9,4.424861131517916e-8,5.3128856734479294e-8
t21,-2.044297271729366e-10,9.134208839335249e-10,8.171254262652262e-9,4.424861131601821e-8,5.312885673543106e-8
t22,-2.0442972712511155e-10,9.134208839927977e-10,8.171254262816419e-9,4.4248611317454654e-8,5.312885673713876e-8
t23,-2.0442972711096986e-10,9.134208840098848e-10,8.171254262862888e-9,4.424861131772813e-8,5.3128856737489934e-8
t24,-2.0442972711752103e-10,9.134208840001419e-10,8.171254262832772e-9,4.4248611316976054e-8,5.312885673669145e-8
t25,-2.0442972714616006e-10,9.134208839623505e-10,8.171254262723686e-9,4.424861131533065e-8,5.312885673487053e-8
t26,-2.044297272047977e-10,9.134208838876415e-10,8.171254262512859e-9,4.4248611312873496e-8,5.3128856732069195e-8
t27,-2.0723803823034306e-10,9.09935157000796e-10,8.1615926610562e-9,4.416259152940585e-8,5.3026881309232506e-8
t28,-2.044297273381752e-10,9.134208837214937e-10,8.171254262051098e-9,4.424861130858042e-8,5.312885672701484e-8
t29,-2.0442972739495376e-10,9.134208836517456e-10,8.17125426185914e-9,4.4248611307088546e-8,5.3128856725204476e-8
t30,-2.0442972740746877e-10,9.134208836380047e-10,8.171254261824494e-9,4.424861130731787e-8,5.31288567253729e-8
t31,-2.0442972749094714e-10,9.134208835376263e-10,8.171254261552454e-9,4.424861130586663e-8,5.312885672346576e-8
t32,-2.0442972757408321e-10,9.134208834382546e-10,8.171254261284325e-9,4.4248611304625076e-8,5.3128856721773575e-8
