Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,2.138733102891256e8,1.8059430170632518e-5,0.021622592007112907,659671.1808906371,3.264169200428671e7,4.365526858735975e7,0.04030450364323704,4.335991668059219e7,2.49583093227753e8,3.1815551894143816e7,3.992064516757355e7,6.555091490936704e8
t1,25135.62180777945,-5.41927692230627e-11,1.2096769733702149e-6,7.531176402606362e-7,2929.2430414316104,8648.10007561446,4.795251823123629e-6,8384.159766668336,1.3407264990446123e-10,1.372397613524144e-5,24.875291474232952,45122.00000345019
t2,25135.62180776934,-5.7037309740024386e-11,1.2058263574305906e-6,7.5187180234633e-7,3406.875713548663,8648.10007539977,4.785368958867274e-6,6742.925363110942,1.3407264997393094e-10,1.3723976775072332e-5,18.47702315487891,43952.0000034507
t3,25135.62180775491,-5.938495484678405e-11,1.2009514925194108e-6,7.50402228745207e-7,4002.9831200252015,8648.100075140204,4.775486561081865e-6,5159.771172464827,1.3407265000531487e-10,1.3723977271148072e-5,13.523807615378859,42960.00000345141
t4,25135.62180773175,-6.152659805536772e-11,1.1945882374312397e-6,7.484685945432609e-7,3357.5417214413906,8648.100074822043,4.765007215582962e-6,4978.036312710185,1.340726499541979e-10,1.372397745582451e-5,8.700066314827357,42128.00000345231
t5,25135.621807692052,-6.316048496486441e-11,1.1861905071020494e-6,7.457956190337712e-7,3486.2625277645234,8648.100074423364,4.7543985612255335e-6,4519.015275185571,1.340726499407167e-10,1.372397778256221e-5,0.00029797724586086584,41789.00000345319
t6,25135.62180763707,-6.284091131391091e-11,1.1767525073817316e-6,7.42670013690512e-7,5276.29247422948,8648.100074099111,4.748838130280691e-6,2538.667370446382,1.377112376138658e-10,32.161992197690616,6.156277662026276,41637.0000029401
t7,25135.62180751534,-6.521054815550511e-11,1.1613761080906778e-6,7.363075775975423e-7,5276.292469212122,8648.100073336385,4.7357217655378425e-6,2053.416559348933,1.3771123904352666e-10,1181.582718153156,3.9863687358413884,42299.00000293527
t8,25135.62180729364,-7.055285385909959e-11,1.1406921896260483e-6,7.263845464182108e-7,5276.2924610174405,8648.100072022113,4.7173210569258755e-6,2422.5069446238263,1.3771123900862448e-10,2196.1720360167274,2.3066753708834966,43681.0000029291
t9,25135.62180683806,-8.691026297768108e-11,1.1124836578458031e-6,7.108681802027985e-7,3376.8271648703317,5534.7840781210925,4.668033009057641e-6,5545.723555046399,1.3771123898950195e-10,5086.036930297262,1.0064601021406974,44680.00000176672
t10,25135.621804293267,-1.5046903203098601e-10,1.0460505106759777e-6,6.739671620059726e-7,8.454808146209196e-6,3.511905555646871e-5,4.392945948685224e-6,5815.515511295213,23349.62761684122,1.315643436121422e-6,4.3516800939737357e-7,54300.76498386719
t11,25135.621801583286,-1.74020164646735e-10,1.0152605839365627e-6,6.554850085241923e-7,7.371546878438685e-6,2.451912214851026e-5,4.232596014079305e-6,6051.583473451815,56640.83337988584,1.248078662368541e-5,8.240258542965944e-7,87828.03870601958
t12,15640.147607579602,-2.1293451940223698e-10,9.760046826686636e-7,6.324193590003038e-7,6.553444154182136e-6,2.2835984365233115e-5,3.937379956829635e-6,10594.954964264787,77648.95772082015,2.2909438017874907e-6,4.647699601271589e-7,103884.06033035526
t13,10238.992751176698,-2.2352765418300637e-10,9.587209191701228e-7,6.225431920435289e-7,6.310331047702952e-6,2.2510889536013794e-5,3.8198152879933e-6,11822.133656422426,89552.68944748797,1.7970753867051818e-5,4.6410421568839863e-7,111613.81590774402
t14,9031.891892209858,-2.2757260105316984e-10,9.493716776564324e-7,6.175955340270761e-7,6.192407870860732e-6,2.237344290957825e-5,3.7748911339398893e-6,8202.424903371191,96289.41674334941,1.797075354474198e-5,4.634368708318896e-7,113523.73359127215
t15,9509.074590233266,-2.3004644067084408e-10,9.467938849341098e-7,6.163446941058213e-7,6.150178942810281e-6,2.2338920660803625e-5,3.7621528852842175e-6,5506.37889113479,96786.49565061687,1.797075366484991e-5,4.627513379388285e-7,111801.9491842326
t16,10564.436162142421,-2.31769969733998e-10,9.507034485497215e-7,6.185131224004621e-7,6.1709173649161775e-6,2.2395080764721806e-5,3.7723445153006616e-6,5856.733723857657,92286.62343745893,1.7970753848709665e-5,4.619269685156826e-7,108707.79337579901
t17,13776.746524363407,-2.3154231364702374e-10,9.614179248656446e-7,6.245800373755651e-7,6.2605715105424975e-6,2.256513066856303e-5,3.818136563788615e-6,5210.357160812795,80212.83840041012,1.797075393341442e-5,4.6008993240833754e-7,99199.94213824678
t18,21085.324728974992,-2.2324109526543072e-10,9.802274515301061e-7,6.360378345129303e-7,6.452307730906059e-6,2.2985829924672335e-5,3.946668327642888e-6,7535.4392325191,63429.88476819604,1.7970753914198173e-5,4.5100849445675193e-7,92050.64878311275
t19,25135.621802632373,-1.7969142962026786e-10,1.0223320676109192e-6,6.620466159461495e-7,7.142494700069724e-6,2.708826582773165e-5,4.275470592104434e-6,7376.187038904604,33461.259072596855,8.76933759870422e-6,8.00518295994346e-7,65973.06796389411
t20,25135.621806312454,-1.2611972382152187e-10,1.0780178821209423e-6,6.944957676234548e-7,1.0030815560393747e-5,1431.2207127783224,4.563074079499099e-6,5624.412875724635,1.2396473535239032e-10,8386.638584584847,12278.106007511333,52856.00000327799
t21,25135.621806918058,-1.1552742366080469e-10,1.1028562888061965e-6,7.088492755205824e-7,1.0784362626127131e-5,2236.2823269043165,4.612525897978192e-6,4816.910560732356,1.2396473536231046e-10,9142.506410976705,12258.67888053885,53590.00000327888
t22,25135.621807205654,-1.1482654939589378e-10,1.1210948075353848e-6,7.181176532567838e-7,1.1136553711349842e-5,2236.2823283023536,4.623838085731889e-6,6510.604511435418,1.239647353872226e-10,7389.686140625618,12228.8051981111,53501.00000327976
t23,25135.621807365103,-1.1637097604284307e-10,1.1345984790017222e-6,7.242112880643465e-7,1.136629037379086e-5,2236.282329073976,4.6293047986593784e-6,6548.075616539468,1.2396473539460623e-10,6933.002095707193,12183.018136740477,53036.00000328063
t24,25135.62180745619,-1.1845881797679776e-10,1.1442174116948765e-6,7.281426950979301e-7,1.1527944253110706e-5,2236.282329549424,4.633276042658046e-6,6531.213619242646,1.2396473539124886e-10,5480.710131500857,12113.172097498771,51497.000003281464
t25,25135.621807506126,-1.2071204223739315e-10,1.150563764217581e-6,7.305458917823547e-7,1.163734312641368e-5,2236.282329841828,4.636308391958204e-6,6143.387681415728,1.2396473537641058e-10,3975.3493510017875,12007.358815362044,49498.000003282286
t26,25135.62180753006,-1.23112730888864e-10,1.1541147050147758e-6,7.317971771764907e-7,1.168708774041656e-5,2236.2823299999104,4.638224711845741e-6,7308.739050151684,1.239647353459367e-10,1371.6829808484763,11848.673816541701,47901.00000328306
