BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,5.837729520319536e8,7.173619706171736e7,-1.2021699388281038e8,0.0,0.0,161415.78913916548,3.694502479952023e-7,0.0,0.0,-5.35453571e8
t1,45097.12469825198,24.875305198209087,-3.5040313850694983e-6,0.0,0.0,5.402629552652477e-8,-1.8498377127400242e-10,0.0,0.0,-45122.0
t2,43933.52296657185,18.477036878855685,-3.5045645040154663e-6,0.0,0.0,5.4026295530732205e-8,-1.849837711401957e-10,0.0,0.0,-43952.0
t3,42946.476182112056,13.52382133935613,-3.5052543554343456e-6,0.0,0.0,5.402629553236809e-8,-1.8498377107979843e-10,0.0,0.0,-42960.0
t4,42119.299923413506,8.700080038804813,-3.506147477276515e-6,0.0,0.0,5.402629552835761e-8,-1.8498377117842692e-10,0.0,0.0,-42128.0
t5,41788.99969175197,0.00031170122364342805,-3.5070439453631155e-6,0.0,0.0,5.402629552722702e-8,-1.8498377120445054e-10,0.0,0.0,-41789.0
t6,41598.68173308038,38.31826985971689,-2.9942029366706435e-6,0.0,0.0,5.427920380086216e-8,-1.7796443597076883e-10,0.0,0.0,-41637.0
t7,41113.430916046265,1185.5690868889974,-2.9893650032684424e-6,0.0,0.0,5.4279203900985036e-8,-1.7796443321066912e-10,0.0,0.0,-42299.0
t8,41482.52129154149,2198.478711387611,-2.9832140968720344e-6,0.0,0.0,5.4279203899321536e-8,-1.7796443327790636e-10,0.0,0.0,-43681.0
t9,39592.95661136731,5087.043390399403,-1.820825659670367e-6,0.0,0.0,5.427920389851536e-8,-1.7796443331472689e-10,0.0,0.0,-44680.0
t10,54300.76498211638,1.7508114455187955e-6,-8323.76498391599,0.0,0.0,4.9123394177234275e-8,-3.29602440926273e-10,0.0,0.0,-45977.0
t11,87828.03869271476,1.3304812477982005e-5,-40671.03870606837,0.0,0.0,4.912776269778296e-8,-3.2946595374023027e-10,0.0,0.0,-47157.0
t12,103884.06032759955,2.7557137619146495e-6,-56354.060330401386,0.0,0.0,4.652770194115433e-8,-4.1330474221771623e-10,0.0,0.0,-47530.0
t13,111613.81588930916,1.8434858082740215e-5,-64145.81590779013,0.0,0.0,4.652770194164133e-8,-4.1330474220078457e-10,0.0,0.0,-47468.0
t14,113523.73357283795,1.8434190415573873e-5,-66322.73359131825,0.0,0.0,4.652770193923659e-8,-4.133047422776579e-10,0.0,0.0,-47201.0
t15,111801.94916579909,1.843350500278874e-5,-65247.94918427872,0.0,0.0,4.652770193918985e-8,-4.1330474227143556e-10,0.0,0.0,-46554.0
t16,108707.79335736633,1.843268081722535e-5,-62948.793375845125,0.0,0.0,4.652770193971236e-8,-4.1330474224418865e-10,0.0,0.0,-45759.0
t17,99199.94211981594,1.8430843865822758e-5,-53809.94213829289,0.0,0.0,4.6527701940006346e-8,-4.1330474222971433e-10,0.0,0.0,-45390.0
t18,92050.64876469098,1.8421762408654925e-5,-46350.64878315886,0.0,0.0,4.6527701941545207e-8,-4.1330474218245306e-10,0.0,0.0,-45700.0
t19,65973.06795432426,9.569855894698566e-6,-17446.067963943027,0.0,0.0,4.922995569326357e-8,-3.26277184605064e-10,0.0,0.0,-48527.0
t20,32191.255411181814,20664.74459209618,-3.331124238347045e-6,0.0,0.0,5.333328646167132e-8,-2.044297271920301e-10,0.0,0.0,-52856.0
t21,32188.814711763327,21401.185291515554,-3.3320115187457868e-6,0.0,0.0,5.3333286462604e-8,-2.044297271729366e-10,0.0,0.0,-53590.0
t22,33882.50866454304,19618.49133873672,-3.332890124574141e-6,0.0,0.0,5.333328646426387e-8,-2.0442972712511155e-10,0.0,0.0,-53501.0
t23,33919.979770832964,19116.02023244767,-3.3337550753808344e-6,0.0,0.0,5.3333286464600904e-8,-2.0442972711096986e-10,0.0,0.0,-53036.0
t24,33903.11777428184,17593.882228999628,-3.334599526440999e-6,0.0,0.0,5.333328646380897e-8,-2.0442972711752103e-10,0.0,0.0,-51497.0
t25,33515.291836918455,15982.708166363831,-3.335414254660097e-6,0.0,0.0,5.3333286462016686e-8,-2.0442972714616006e-10,0.0,0.0,-49498.0
t26,34680.643205892884,13220.356797390177,-3.33618711536719e-6,0.0,0.0,5.333328645927399e-8,-2.044297272047977e-10,0.0,0.0,-47901.0
t27,36183.23452023792,11150.765483274137,-3.5650913403626253e-6,0.0,0.0,5.323411934746285e-8,-2.0723803823034306e-10,0.0,0.0,-47334.0
t28,35340.134655755144,12090.865347529505,-3.3377712047556696e-6,0.0,0.0,5.3333286454353016e-8,-2.044297273381752e-10,0.0,0.0,-47431.0
t29,36398.693374738556,11613.306628546645,-3.3383297580371073e-6,0.0,0.0,5.333328645259943e-8,-2.0442972739495376e-10,0.0,0.0,-48012.0
t30,34862.37806504563,14639.621938240016,-3.338772795957915e-6,0.0,0.0,5.3333286452780374e-8,-2.0442972740746877e-10,0.0,0.0,-49502.0
t31,35017.88315052436,17428.11685276158,-3.3390785851522208e-6,0.0,0.0,5.333328645095671e-8,-2.0442972749094714e-10,0.0,0.0,-52446.0
t32,34764.953189936015,21638.04681335009,-3.3392278220726005e-6,0.0,0.0,5.3333286449347654e-8,-2.0442972757408321e-10,0.0,0.0,-56403.0
t33,34139.18573266851,24438.814270581737,-3.3033769139299338e-6,0.0,0.0,5.333328644755434e-8,-2.0442972764332586e-10,0.0,0.0,-58578.0
t34,56646.7203271989,2325.279674853948,-2.1059107340015715e-6,0.0,0.0,5.326762326369663e-8,-2.0628851737343556e-10,0.0,0.0,-58972.0
t35,87267.8790188175,2.71127913484975e-6,-28359.87902157777,0.0,0.0,4.928318599353863e-8,-3.2461931415735004e-10,0.0,0.0,-58908.0
t36,106800.4625484435,2.305973751064302e-6,-48355.462550795586,0.0,0.0,4.652770194812661e-8,-4.133047420895056e-10,0.0,0.0,-58445.0
t37,120631.31187634908,1.8412392815624086e-5,-63634.311894807586,0.0,0.0,4.6527701946480894e-8,-4.133047421327853e-10,0.0,0.0,-56997.0
t38,122421.63832821304,1.8411747464098737e-5,-67071.63834667091,0.0,0.0,4.652770194303896e-8,-4.13304742233528e-10,0.0,0.0,-55350.0
t39,120739.4410979303,1.8411007310851377e-5,-67179.44111638743,0.0,0.0,4.6527701942251625e-8,-4.133047422437787e-10,0.0,0.0,-53560.0
t40,118940.72126452904,1.840957051669988e-5,-66847.72128298473,0.0,0.0,4.6527701941877356e-8,-4.1330474224234316e-10,0.0,0.0,-52093.0
t41,108953.19593419362,1.8403127699517552e-5,-57559.19595264289,0.0,0.0,4.652770194359752e-8,-4.1330474217820285e-10,0.0,0.0,-51394.0
t42,91048.31710784501,1.5542206115081194e-5,-39186.317123436274,0.0,0.0,4.9366220805466166e-8,-3.2203739824037467e-10,0.0,0.0,-51862.0
