Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,623126.3273473377,0.0,0.0016455696273618074,32396.32295444069,319454.52755298355,327900.95309457806,0.00017924907933924603,0.0,0.0,0.0,0.0,1.3028781327741588e6
t1,1.788994811968841e-7,0.0,1.4749901237979754e-7,1.4617853388205948e-7,3.7630714748150906e-6,3.9219284836368204e-7,2.4781555900219437e-8,0.0,0.0,0.0,0.0,4.652622906537733e-6
t2,1.808900323356251e-7,0.0,1.48042466323803e-7,1.4619639167728824e-7,3.7630714779267877e-6,4.219707746192707e-7,2.5281155529032023e-8,0.0,0.0,0.0,0.0,4.685452298411807e-6
t3,1.8547821207462889e-7,0.0,1.4880094389821403e-7,1.4641831538061988e-7,3.7630714869744705e-6,4.6085784744886683e-7,2.581648647386046e-8,0.0,0.0,0.0,0.0,4.73044329225066e-6
t4,1.9440061015397366e-7,0.0,1.4986048009540803e-7,1.4687669974377258e-7,3.763071501929383e-6,5.131741282911812e-7,2.6399558721634586e-8,0.0,0.0,0.0,0.0,4.793782978935353e-6
t5,2.1078251267097852e-7,0.0,1.5134606936084397e-7,1.476474185093203e-7,3.7630715081615093e-6,5.865443273492663e-7,2.704099540720078e-8,0.0,0.0,0.0,0.0,4.886432831459119e-6
t6,2.3715599336967894e-7,0.0,1.5343639657568976e-7,1.4885835216860993e-7,3.7630715124513818e-6,6.95453326730746e-7,2.7756384886311477e-8,0.0,0.0,0.0,0.0,5.025731966182418e-6
t7,2.873968980314789e-7,0.0,1.5737312805506847e-7,1.5161336370738227e-7,5.192264708254756e-6,9.329045884456004e-7,2.865095407837467e-8,0.0,0.0,0.0,0.0,6.75020364057266e-6
t8,3.8081243638376313e-7,0.0,1.6277370196478397e-7,1.555855543996872e-7,8.364377352593969e-6,1.474583168538823e-6,2.9657905780663574e-8,0.0,0.0,0.0,0.0,1.056779011966169e-5
t9,6.054681372080838e-7,0.0,1.7048401494547054e-7,1.6169992694380595e-7,2.144934173393628e-5,4.029620028418293e-6,3.07727161984603e-8,0.0,0.0,0.0,0.0,2.644738655765039e-5
t10,1.9748926725757275e-6,0.0,1.8211516700401293e-7,1.71840939201365e-7,5276.292436570743,8648.100000371205,3.182610704337184e-8,0.0,0.0,0.0,0.0,13924.392439302623
t11,2.8685330897453803e-6,0.0,1.7153187470491855e-7,1.6402857533816627e-7,2.4617296807956716e-6,1.813224740729215e-5,3.0749355658887385e-8,0.0,0.0,0.0,0.0,2.3828819983535173e-5
t12,5755.869866058509,0.0,1.6558567803647656e-7,1.6160165767230307e-7,1.4464367529214742e-6,2.7062613478197143e-6,2.9566485865053537e-8,0.0,0.0,0.0,0.0,5755.869870567961
t13,1572.0027964769235,0.0,1.5118128649168072e-7,1.5191376643111128e-7,7.347059920778672e-7,9.105630263048181e-7,2.764840264326654e-8,0.0,0.0,0.0,0.0,1572.002798452936
t14,2.1445436342605034e-6,0.0,1.4072637193653993e-7,1.4579857929817836e-7,4.953830256957267e-7,5.44828947478113e-7,2.587115354312152e-8,0.0,0.0,0.0,0.0,3.497151712212183e-6
t15,7.108195740472943e-7,0.0,1.3256343548228014e-7,1.414406540164207e-7,3.7404270775911443e-7,3.8721166255216556e-7,2.4258122940154893e-8,0.0,0.0,0.0,0.0,1.7703361567974302e-6
t16,4.128583255749517e-7,0.0,1.2573998289902547e-7,1.377588380391862e-7,3.001656679555963e-7,2.99365848313942e-7,2.2788057420978565e-8,0.0,0.0,0.0,0.0,1.2986767202036803e-6
t17,2.8472565506058355e-7,0.0,1.1964524263498763e-7,1.339605382791667e-7,2.501449245298729e-7,2.4333058837268196e-7,2.143813054764189e-8,0.0,0.0,0.0,0.0,1.0532450794249345e-6
t18,2.1293640546663904e-7,0.0,1.1373452165286616e-7,1.2936136190305502e-7,2.13788872055625e-7,2.0445203724102522e-7,2.019403912625244e-8,0.0,0.0,0.0,0.0,8.944672374454628e-7
t19,1.6659320427081744e-7,0.0,1.0760703749232794e-7,1.232906081649343e-7,1.8591476250640232e-7,1.758547455204495e-7,1.906475563728467e-8,0.0,0.0,0.0,0.0,7.783251135922162e-7
t20,1.5183132408220864e-7,0.0,1.0670437985193617e-7,1.2242406113365782e-7,1.774222342356339e-7,1.6595168041585403e-7,1.855192082568837e-8,0.0,0.0,0.0,0.0,7.42885600544979e-7
t21,1.6546739467577232e-7,0.0,1.1308011999816367e-7,1.2926095528450524e-7,1.908766535721934e-7,1.8064597470149167e-7,1.8908442627279816e-8,0.0,0.0,0.0,0.0,7.982395408594061e-7
t22,1.755878513626244e-7,0.0,1.1878408927449661e-7,1.3405683048146537e-7,2.050342226906495e-7,1.9644888156408893e-7,1.9333176491355764e-8,0.0,0.0,0.0,0.0,8.492450518646806e-7
t23,1.8266702471795186e-7,0.0,1.23919176068145e-7,1.3742866258734257e-7,2.205763968417918e-7,2.1510316909967645e-7,1.975698758611491e-8,0.0,0.0,0.0,0.0,8.994514169010225e-7
t24,1.8758963672238255e-7,0.0,1.285176959752512e-7,1.3980721806236973e-7,2.3789977766285259e-7,2.3745231791110116e-7,2.0170204507831004e-8,0.0,0.0,0.0,0.0,9.514368508417883e-7
t25,1.913762539627071e-7,0.0,1.325636180145905e-7,1.4151584657437326e-7,2.5741060451753e-7,2.646989089994702e-7,2.0575449282581188e-8,0.0,0.0,0.0,0.0,1.0081406813512523e-6
t26,1.9510608170666212e-7,0.0,1.359704198753339e-7,1.4279858050410106e-7,2.794693948770662e-7,2.9847051854133015e-7,2.0977375437343423e-8,0.0,0.0,0.0,0.0,1.0727923709418369e-6
t27,2.000111402274633e-7,0.0,1.387780036760466e-7,1.4384724416555695e-7,3.045842522584754e-7,3.3943423687964316e-7,2.138031225978315e-8,0.0,0.0,0.0,0.0,1.1480351894669685e-6
t28,2.0636218456711798e-7,0.0,1.409329506753587e-7,1.444936690976635e-7,3.320522340090978e-7,3.8824570608944974e-7,2.17654481165233e-8,0.0,0.0,0.0,0.0,1.233852192555211e-6
t29,2.191419931167534e-7,0.0,1.4328032186695484e-7,1.455022109878803e-7,3.667457306084187e-7,4.5926753732078215e-7,2.218509556196994e-8,0.0,0.0,0.0,0.0,1.3561228894627592e-6
t30,2.414400477921225e-7,0.0,1.4573638222972326e-7,1.4670170039125893e-7,4.0925815468324354e-7,5.611190290225396e-7,2.2623682537223453e-8,0.0,0.0,0.0,0.0,1.5268789966561113e-6
t31,2.7886489246227613e-7,0.0,1.4856130736456627e-7,1.4830080630814393e-7,4.6298209410729965e-7,7.194390744126586e-7,2.3087452566725507e-8,0.0,0.0,0.0,0.0,1.7812356272216702e-6
t32,3.424638929699157e-7,0.0,1.5208219084347464e-7,1.5059615921502e-7,5.335961922640048e-7,9.991995185576764e-7,2.3583905677823552e-8,0.0,0.0,0.0,0.0,2.201521859527915e-6
t33,4.640145165374785e-7,0.0,1.5675251486831223e-7,1.5405767993456553e-7,6.314752406185475e-7,1.627057027212714e-6,2.4118990298963186e-8,0.0,0.0,0.0,0.0,3.057475969470581e-6
t34,7.745069807893666e-7,0.0,1.6326608929775363e-7,1.5950374702085202e-7,7.779815659549769e-7,4.322376481479584e-6,2.4680747116363212e-8,0.0,0.0,0.0,0.0,6.2223156116588964e-6
t35,3.1370636014003124e-6,0.0,1.7255412910511363e-7,1.683060497765811e-7,1.0159185444434059e-6,2236.2821436115337,2.512319933626128e-8,0.0,0.0,0.0,0.0,2236.282148130499
t36,1136.5062098743033,0.0,1.6633798371474361e-7,1.6438015396975592e-7,7.920714777193167e-7,4.600884437532136e-6,2.432765377671038e-8,0.0,0.0,0.0,0.0,1136.506215622305
t37,2.197822905646131e-6,0.0,1.5097828402088504e-7,1.5298770873737073e-7,5.049832473084346e-7,9.665179813574516e-7,2.2843184311614558e-8,0.0,0.0,0.0,0.0,3.996133311381888e-6
t38,9.679366008881052e-7,0.0,1.3966032769635845e-7,1.4566873291555345e-7,3.704630205332896e-7,5.361403141100414e-7,2.1426804718915344e-8,0.0,0.0,0.0,0.0,2.1812958008622632e-6
t39,4.5165670880036755e-7,0.0,1.305796126826676e-7,1.40221098557004e-7,2.9194381330247787e-7,3.485842421616707e-7,2.0119634415124508e-8,0.0,0.0,0.0,0.0,1.3831051099193123e-6
t40,2.819464014491188e-7,0.0,1.226986032925265e-7,1.3532701962954866e-7,2.4023441295047615e-7,2.5308855864214934e-7,1.8914687227162895e-8,0.0,0.0,0.0,0.0,1.0522096831909824e-6
t41,1.9979271875718036e-7,0.0,1.1535488786352136e-7,1.3001852210836617e-7,2.0341522032912413e-7,1.9651463747632746e-7,1.7802697654561664e-8,0.0,0.0,0.0,0.0,8.628986841890812e-7
t42,1.5128546813849288e-7,0.0,1.0808971287278613e-7,1.234647578851666e-7,1.7563745160248114e-7,1.5935486671604087e-7,1.6789802627118266e-8,0.0,0.0,0.0,0.0,7.346220598420859e-7
t43,1.3450184174273574e-7,0.0,1.065846659938037e-7,1.2265402916592571e-7,1.6649826250870182e-7,1.429513993214526e-7,1.6297296895431664e-8,0.0,0.0,0.0,0.0,6.894874956280512e-7
t44,1.1745872077206093e-7,0.0,1.0370256438376906e-7,1.1879733089807317e-7,1.5644612742322232e-7,1.2866819043128864e-7,1.5891249385786413e-8,0.0,0.0,0.0,0.0,6.409641832942006e-7
t45,1.2937897936006281e-7,0.0,1.1163958659831912e-7,1.2700472973601137e-7,1.7483673866965355e-7,1.4404049222932072e-7,1.6578144393777042e-8,0.0,0.0,0.0,0.0,7.034786709871445e-7
t46,1.3906874630923676e-7,0.0,1.1903381824462719e-7,1.3305752756283609e-7,1.957929636963432e-7,1.5923586962850333e-7,1.7361823382724978e-8,0.0,0.0,0.0,0.0,7.635507488242715e-7
t47,1.4616279655274658e-7,0.0,1.2600630535080567e-7,1.3763313647860725e-7,2.220188335902285e-7,1.7658005307202e-7,1.817636819490161e-8,0.0,0.0,0.0,0.0,8.265774932393096e-7
t48,1.5158514799114382e-7,0.0,1.3257706074566837e-7,1.412337753138973e-7,2.557011271125835e-7,1.9698824529381586e-7,1.9017677086156375e-8,0.0,0.0,0.0,0.0,8.971030335432652e-7
t49,1.5655987310600256e-7,0.0,1.3869297073695176e-7,1.442935287021244e-7,3.001462471975631e-7,2.2183779320904016e-7,1.9889541940690592e-8,0.0,0.0,0.0,0.0,9.814199548923725e-7
t50,1.6257156301802413e-7,0.0,1.4445723375061922e-7,1.4724326914529623e-7,3.607060855459625e-7,2.5300372732780675e-7,2.0782433784433165e-8,0.0,0.0,0.0,0.0,1.088764312572142e-6
t51,1.5718086905493462e-7,0.0,1.4428444173035774e-7,1.4497590782640356e-7,3.6070608730700153e-7,2.559737331321535e-7,2.1301035709301252e-8,0.0,0.0,0.0,0.0,1.0844220747601523e-6
t52,1.5429718121558022e-7,0.0,1.4362863239973116e-7,1.427855948349414e-7,3.6070608774013644e-7,2.597027603646404e-7,2.183265383589654e-8,0.0,0.0,0.0,0.0,1.0829529103909262e-6
t53,1.6793130838322397e-7,0.0,1.4809119313161202e-7,1.4555526761455242e-7,4.402425182594767e-7,3.0561075160751333e-7,2.2833783911450804e-8,0.0,0.0,0.0,0.0,1.2302648229078291e-6
t54,1.8881437124654602e-7,0.0,1.5275127732394488e-7,1.4832620467486426e-7,5.63231580457051e-7,3.728838355908924e-7,2.3929472596940283e-8,0.0,0.0,0.0,0.0,1.4499367418902389e-6
t55,2.214761764928694e-7,0.0,1.5807853088143825e-7,1.5154890378751572e-7,7.786646434746421e-7,4.823173559134514e-7,2.511993493703565e-8,0.0,0.0,0.0,0.0,1.8172055454869525e-6
t56,2.7817658924956395e-7,0.0,1.6468366446513035e-7,1.5578817547167458e-7,1.253525301222612e-6,6.950345892423814e-7,2.6425135136985226e-8,0.0,0.0,0.0,0.0,2.5736334547883478e-6
t57,3.9789850665346407e-7,0.0,1.73499932706886e-7,1.619258416969829e-7,3.1655419735150813e-6,1.3045768928230848e-6,2.7865299695277265e-8,0.0,0.0,0.0,0.0,5.2313084470907766e-6
t58,8.025466192054945e-7,0.0,1.8609944224811738e-7,1.7163339686148806e-7,2603.942710464086,3.149755761327457e-5,2.9388105157800963e-8,0.0,0.0,0.0,0.0,2603.9427431513113
t59,1.848694572578553e-6,0.0,1.8673737675811606e-7,1.7272928494660327e-7,4970.528105876271,4050.3263162760863,2.964929692122198e-8,0.0,0.0,0.0,0.0,9020.854424390169
t60,1.8789090643779298e-6,0.0,1.7244899215928657e-7,1.6288781893498342e-7,2.004535406642259e-6,2.518118129736035e-6,2.854127616634865e-8,0.0,0.0,0.0,0.0,6.765440688016843e-6
t61,1.9706501864585057e-6,0.0,1.6329376747129888e-7,1.583087438118346e-7,1.1369725205308499e-6,1.1647106807841279e-6,2.7392751537994723e-8,0.0,0.0,0.0,0.0,4.6213286505946125e-6
t62,1.2779461390094324e-6,0.0,1.5267263217538875e-7,1.5269542787343885e-7,7.038654962509683e-7,6.655065652716954e-7,2.5957426054114866e-8,0.0,0.0,0.0,0.0,2.978643686635039e-6
t63,5.60386972769773e-7,0.0,1.3990617846741617e-7,1.4462503236151424e-7,4.594365397276389e-7,4.2078496260921774e-7,2.427990749974879e-8,0.0,0.0,0.0,0.0,1.7494195934353088e-6
t64,3.469078619933588e-7,0.0,1.2982553494012332e-7,1.3834525221578223e-7,3.4040522480595815e-7,3.062238242425565e-7,2.27362563652811e-8,0.0,0.0,0.0,0.0,1.2844439545630602e-6
t65,2.447615944513953e-7,0.0,1.2121740777114844e-7,1.323682384297492e-7,2.6964437002273203e-7,2.397945214401909e-7,2.1341548361982705e-8,0.0,0.0,0.0,0.0,1.0291276804771987e-6
t66,2.033416392708879e-7,0.0,1.1674117943727441e-7,1.2974232911298893e-7,2.3462167433166412e-7,2.0587140825289754e-7,2.0347328626688204e-8,0.0,0.0,0.0,0.0,9.10665559032401e-7
t67,1.830444066847536e-7,0.0,1.1474314352795603e-7,1.288273845982948e-7,2.1602083027485146e-7,1.8680186764076192e-7,1.9673979817112843e-8,0.0,0.0,0.0,0.0,8.491116125437307e-7
t68,1.6188130991657298e-7,0.0,1.1191737776327652e-7,1.2577324650915787e-7,1.9960429456675845e-7,1.7084893798121015e-7,1.9093388955430945e-8,0.0,0.0,0.0,0.0,7.891185556924069e-7
t69,1.7582218713822478e-7,0.0,1.1750989619590889e-7,1.3167464591913054e-7,2.113967607794313e-7,1.829510125347006e-7,1.9400492878886256e-8,0.0,0.0,0.0,0.0,8.387549954462824e-7
t70,1.8659504311560727e-7,0.0,1.225093916730877e-7,1.3581590915180944e-7,2.237552125798809e-7,1.9549804375833983e-7,1.9767875882066288e-8,0.0,0.0,0.0,0.0,8.839414761607914e-7
t71,1.9468226525539005e-7,0.0,1.27002414801522e-7,1.3876735843252693e-7,2.3709911474569188e-7,2.097903578283546e-7,2.0137124756255685e-8,0.0,0.0,0.0,0.0,9.274786358197411e-7
t72,2.0079164214009172e-7,0.0,1.3099243031420416e-7,1.4092609422491758e-7,2.5163533347429145e-7,2.2621932576885266e-7,2.0500411555315214e-8,0.0,0.0,0.0,0.0,9.710652374776727e-7
t73,2.056808024954543e-7,0.0,1.34507619866117e-7,1.4259996816453817e-7,2.675866560259987e-7,2.4530278947897205e-7,2.0859037148035965e-8,0.0,0.0,0.0,0.0,1.016536873179116e-6
t74,2.1071117806506452e-7,0.0,1.3761335942239443e-7,1.440466192482999e-7,2.8524186898296684e-7,2.6774063754416236e-7,2.121123059829631e-8,0.0,0.0,0.0,0.0,1.0665648938611844e-6
t75,2.111181447391545e-7,0.0,1.3897273343058e-7,1.4407183379741323e-7,2.9873421920066373e-7,2.831747885017248e-7,2.1458902707742186e-8,0.0,0.0,0.0,0.0,1.0975306223772784e-6
t76,2.140277689999225e-7,0.0,1.4008119957799813e-7,1.4415576078064212e-7,3.1339292610686517e-7,3.0070156872231535e-7,2.1704727571472758e-8,0.0,0.0,0.0,0.0,1.134063951759216e-6
t77,2.2092520489869425e-7,0.0,1.410739566669749e-7,1.4430394223667013e-7,3.2946051082083484e-7,3.2077075102476026e-7,2.195724981736649e-8,0.0,0.0,0.0,0.0,1.1784916154653008e-6
t78,2.3388001963281513e-7,0.0,1.4207163357055866e-7,1.4453348469598873e-7,3.4720061598388864e-7,3.439711414312056e-7,2.2225040055233882e-8,0.0,0.0,0.0,0.0,1.2338819353696907e-6
t79,2.6109783058447295e-7,0.0,1.4450887681714233e-7,1.4618817433839205e-7,3.7547991686519533e-7,3.886203218441041e-7,2.2611858493823883e-8,0.0,0.0,0.0,0.0,1.3385069789431304e-6
