Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,623126.3273473376,0.0,0.0016455696273618237,32396.322954440693,319454.5275529835,327900.9530945781,0.00017924907933932868,0.0,0.0,0.0,0.0,1.3028781327741586e6
t1,1.7071500555860663e-7,0.0,1.4101626643527375e-7,1.4362489275666882e-7,1.8530694090366168e-7,2.1300984092233555e-7,1.61829002725476e-8,0.0,0.0,0.0,0.0,8.69855846849094e-7
t2,1.7078190138324224e-7,0.0,1.3996859246418838e-7,1.4352500919689076e-7,1.8530694090474165e-7,2.072817157183463e-7,1.6017182122055256e-8,0.0,0.0,0.0,0.0,8.628813417894646e-7
t3,1.710441052868421e-7,0.0,1.3846892844025683e-7,1.4321826138268308e-7,1.8530694088037783e-7,2.012905142305672e-7,1.5844016141848258e-8,0.0,0.0,0.0,0.0,8.551727663625753e-7
t4,1.7124155140106563e-7,0.0,1.3637017641553695e-7,1.4266372532410265e-7,1.8530694084024766e-7,1.9501289401538547e-7,1.5660074194093487e-8,0.0,0.0,0.0,0.0,8.462553621904318e-7
t5,1.710837615845928e-7,0.0,1.334562489359047e-7,1.4178193909989288e-7,1.8295505354595487e-7,1.8786682540230653e-7,1.5463608567814677e-8,0.0,0.0,0.0,0.0,8.326074371364665e-7
t6,1.7017022278505312e-7,0.0,1.297896494414465e-7,1.4045231178817923e-7,1.8028375839641113e-7,1.8032191676809562e-7,1.5251588188400014e-8,0.0,0.0,0.0,0.0,8.162694473675856e-7
t7,1.6566760996039185e-7,0.0,1.247243325341894e-7,1.3771719642015022e-7,1.749023961138143e-7,1.701800288588273e-7,1.4984740544384056e-8,0.0,0.0,0.0,0.0,7.881763044317572e-7
t8,1.591112292370409e-7,0.0,1.1905533428348582e-7,1.3401126739415025e-7,1.6969541859297277e-7,1.6031024672056018e-7,1.4702743809464818e-8,0.0,0.0,0.0,0.0,7.568862400376748e-7
t9,1.4988563016280027e-7,0.0,1.1278534742672502e-7,1.288836030778582e-7,1.6470170404814604e-7,1.5066421097891256e-7,1.4414435153479487e-8,0.0,0.0,0.0,0.0,7.213349308479215e-7
t10,1.3757981271300237e-7,0.0,1.0582883127987264e-7,1.21703031820036e-7,1.5973060672886504e-7,1.3958867363711915e-7,1.4172191795330571e-8,0.0,0.0,0.0,0.0,6.786031479742258e-7
t11,1.5676196509526896e-7,0.0,1.0802655289836823e-7,1.2480089238686428e-7,1.693523554810236e-7,1.52232999495208e-7,1.4700312427779598e-8,0.0,0.0,0.0,0.0,7.258750777845127e-7
t12,1.747851122902264e-7,0.0,1.0887232149941167e-7,1.250570645979814e-7,1.7795637205053926e-7,1.6602180123026042e-7,1.530643906558586e-8,0.0,0.0,0.0,0.0,7.679991107340049e-7
t13,2.299233105691991e-7,0.0,1.1493963295822177e-7,1.3068956054695975e-7,2.037099934184796e-7,1.9812213781560816e-7,1.6350665131232698e-8,0.0,0.0,0.0,0.0,8.93735300439701e-7
t14,3.2252712317420716e-7,0.0,1.208656981027626e-7,1.3501395853626778e-7,2.3679164856165141e-7,2.4337433616256203e-7,1.7493833559012662e-8,0.0,0.0,0.0,0.0,1.0760665980964638e-6
t15,5.10806313560464e-7,0.0,1.2708532050520684e-7,1.3871255553866735e-7,2.814459283874638e-7,3.1149805787445e-7,1.8732113371291574e-8,0.0,0.0,0.0,0.0,1.388280289237544e-6
