Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,6.50774693915325e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9234.732302443794,5712.325501255356
t2,0.0,6.508540594457233e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9234.732290085914,5668.231048784318
t3,0.0,6.509037227912092e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9234.732277728035,5634.09814545855
t4,0.0,6.510139586594452e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9234.732265370158,5609.655390863927
t5,0.0,6.510942801528641e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9234.732253012278,5602.642726388598
t6,0.0,6.511441959982729e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9199.773567966387,5583.326868333586
t7,0.0,6.51254651522789e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7915.444528621076,5568.374972948723
t8,0.0,6.513359718838843e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5528.301013337101,5556.801154156917
t9,0.0,6.513907131381609e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2077010190217253e-6,5547.84223316838
t10,0.0,6.515201336241594e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6688631961777946e-5,13781.434747537902
t11,0.0,6.516249206208206e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34732726301924e-6,54028.536269069074
t12,0.0,6.517086388324725e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10736.93570089308,98197.6438672315
t13,0.0,6.51855489836079e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28642.30448768314,142311.52073598557
t14,0.0,6.519737811668126e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48550.5692056329,186370.11357855645
t15,0.0,6.520632560811686e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67470.99413379114,230372.5981300342
t16,0.0,6.522141874109194e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84283.20424918109,274312.53778704087
t17,0.0,6.523358782444454e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92738.560851688,318142.7908570795
t18,0.0,6.524266494212763e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94697.32490376482,361524.4541945702
t19,0.0,6.525692472011635e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94697.3249039279,378344.15589909686
t20,0.0,6.526709421934789e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85581.41340130192,353315.0136899613
t21,0.0,6.52740816080508e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75643.90643520653,328356.01216253283
t22,0.0,6.528713084082544e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67611.63889340579,303487.95675187017
t23,0.0,6.52972522229212e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60075.76705260333,278742.56053321285
t24,0.0,6.530445573021348e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54118.473433764295,254167.7881383131
t25,0.0,6.531777932744729e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49797.44153285902,229835.36077318128
t26,0.0,6.532818881715037e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48306.48177342473,205850.71893989734
t27,0.0,6.533569673891511e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48306.481738857874,183291.87464375485
t28,0.0,6.534930340832769e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47437.11727340806,160480.65972692418
t29,0.0,6.535998388930257e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46576.20994941442,138637.51512642644
t30,0.0,6.536774040639482e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41737.02155669626,118089.08100374613
t31,0.0,6.538161104774796e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32985.85484729356,99187.3826973759
t32,0.0,6.539256819776994e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18602.857821448597,82252.01937496552
t33,0.0,6.54006573323484e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016988694761951726,67500.83389350289
t34,0.0,6.54151170677468e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6608794847676093e-6,62765.8988102939
t35,0.0,6.542772824363288e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.288443561656151e-6,90763.72166364144
t36,0.0,6.543833132987729e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3378.2377871556128,134886.89731961282
t37,0.0,6.545529312908634e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20813.11112072748,178954.81766905446
t38,0.0,6.546942857646607e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41411.01305820907,222966.9124816329
t39,0.0,6.54807023240969e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62113.11086697318,266918.59309970593
t40,0.0,6.549811920239056e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82546.48486955787,310776.10166467703
t41,0.0,6.55125133714271e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94697.32490376377,354295.8750372371
t42,0.0,6.552330925010863e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94697.32489422837,392647.45913708396
t43,0.0,6.553982250046741e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94697.32490423405,399790.09800529305
t44,0.0,6.555210203012142e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85848.48778744532,374714.4457645898
t45,0.0,6.55611705673173e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78124.1207321246,349694.4848283229
t46,0.0,6.557629751262847e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70216.7175760944,324747.1590136861
t47,0.0,6.558849736421768e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62957.99742867296,299894.59226167
t48,0.0,6.559779082828801e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58247.25126393798,275170.47512357926
t49,0.0,6.56132682593496e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56462.18370234882,250625.6922654336
t50,0.0,6.56261227088167e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56462.18375598605,226336.17473451945
t51,0.0,6.563605430614535e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56462.18380962332,202413.21002483516
t52,0.0,6.565179922158003e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56248.920506329996,179015.5937237094
t53,0.0,6.566454054987044e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55023.439951450375,156361.07867009836
t54,0.0,6.567432654714e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51124.23978905184,134731.30207911102
t55,0.0,6.56902090646728e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41563.38524041463,114460.78440525195
t56,0.0,6.570317787873013e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22299.004158936983,95900.58467203737
t57,0.0,6.571336198048196e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.713519044957274e-6,79356.60085899028
t58,0.0,6.573037407074121e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.728296257170637e-6,66337.89197399344
t59,0.0,6.574528510192895e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0165247202685697e-5,87369.27295444222
t60,0.0,6.575751432599239e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2987372299744759e-5,131265.82069500186
t61,0.0,6.577618549225684e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15194.006738695301,175338.28508548223
t62,0.0,6.579226624656716e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36974.39146102074,219355.02980723244
t63,0.0,6.580548820386702e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58754.77618334619,263312.16665649146
t64,0.0,6.582477490102747e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80535.16090567164,307181.015081776
t65,0.0,6.584081676747611e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94697.32490147487,350754.3266917648
t66,0.0,6.585360619711366e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94697.3248925377,390078.69929564337
t67,0.0,6.587226640647542e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94697.32490390717,397432.79347138695
t68,0.0,6.588722025856172e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79688.11211607543,372360.08787257853
t69,0.0,6.589904266965792e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64929.10210725838,347346.24253117427
t70,0.0,6.591689806640972e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51739.63171878704,322406.7351885571
t71,0.0,6.593177108892234e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42671.15267307436,297564.5881655007
t72,0.0,6.5952711849481e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37464.6366763465,272854.83734327066
t73,0.0,6.597069599110838e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35776.30911152897,248330.34934120515
t74,0.0,6.598577917476504e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35776.30910661434,226802.72285796783
t75,0.0,6.60069455774061e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35776.30910146081,210619.02534122957
t76,0.0,6.6025140914928e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35776.3090960596,195276.5907356548
t77,0.0,6.604035140992266e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35776.30909040123,178777.0378241165
t78,0.0,6.60615674934553e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35233.35625641223,156131.5725059395
t79,0.0,6.60797985869725e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28791.24105026482,134514.07342606242
