Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.47372959942292,-25.57200278613001
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.473729564195054,-25.591212983523327
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.47372952896718,-25.61602886241702
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.473729493739306,-25.64808697561838
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.473729458511436,-25.680187074902562
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.47372942547123,-25.52886343902919
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.47372939980835,-25.333368730392902
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.47372938102877,-25.080809786424254
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.599505098570376,-24.75452913859452
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.961285183001333,-22.529044461390964
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.711853848040695,-22.557241196874273
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826050657454,-22.585475644022967
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826049589381,-22.61376071743965
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260467604315,-22.64219361253701
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826043675563,-22.671485020674083
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826042261429,-22.70682132677537
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.47282604181852,-22.786011043412355
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826050858541,-23.186759263970224
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.011232351898723,-23.215778891722675
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.633452799743935,-23.2442520280936
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.633452806146586,-23.27249806272903
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.63345281131174,-23.300404760191814
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.633452813322236,-23.327816365517474
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.63345281243211,-23.35451978660499
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.633452809265826,-23.380228670496063
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.63345280407917,-23.40456696990474
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.633452796396476,-23.433859360085922
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.63345278761947,-23.454302100493116
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.633452774779094,-23.471791046510386
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.63345275843823,-23.485645519911984
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.63345274243268,-23.495198790842597
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.63345272801179,-23.49985842355823
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.51931421348433,-23.499128703378485
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.634676208845804,-23.528539539882402
