Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
ERC_REST_biomass_1,1,0,-9.94496856243609e-9,25887.198319247553,25887.1983192575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERC_REST_conventional_hydroelectric_1,1,0,-9.968798864863474e-9,8.136826390256222e-8,9.13370627674257e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,0,-9.832610446223919e-9,2.981813683768463e-5,2.9827969448130856e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CTAvgCF_Moderate,1,0,-9.756996816942649e-9,2822.0931135865826,2822.0931135963397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CCCCSAvgCF_Moderate,1,0,-9.865796224376915e-9,14342.561197498213,14342.56119750808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CCS100_Moderate,1,0,-9.893035052544684e-9,9021.338935482258,9021.338935492151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERC_nuclear_1,1,0,-9.967195721510887e-9,6.0832522308516615e-6,6.093219426573172e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,0,-9.784840339401188e-9,19367.216610394706,19367.21661040449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UtilityPV_Class1_Moderate_100_0.2,1,0,-9.646625910671381e-9,123444.48108632659,123444.48108633624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liion_Moderate,1,0,-8.821906971837458e-9,23281.179888611314,23281.179888620136,0.0,-8.00480339563467e-9,93124.71955447788,93124.71955448588,0.0,0.0,0.0,0.0
TEGS,1,0,-9.492788683535476e-9,11692.01608295566,11692.016082965154,0.1,2.1776543959032574e-8,420912.47898676724,420912.57898674544,0.0,-2.6691796549046086e-9,42516.42211987061,42516.42211987328
Total,n/a,0,-1.0697556359434411e-7,229858.08527008563,229858.08527019262,0.1,1.3771740563397904e-8,514037.19854124513,514037.2985412313,0.0,-2.6691796549046086e-9,42516.42211987061,42516.42211987328
