Resource,Zone,AnnualSum,Capacity,CapacityFactor
ERC_REST_biomass_1,1,2.2005469798785248e8,25887.1983192575,0.970379220025317
ERC_REST_conventional_hydroelectric_1,1,1.8503301788102696e-5,9.13370627674257e-8,0.0
NaturalGas_CCAvgCF_Moderate,1,0.0209878421067833,2.9827969448130856e-5,0.0
NaturalGas_CTAvgCF_Moderate,1,683284.298205068,2822.0931135963397,0.02763923354863331
NaturalGas_CCCCSAvgCF_Moderate,1,3.2312948045717377e7,14342.56119750808,0.2571850765345655
NaturalGas_CCS100_Moderate,1,4.5233181045828156e7,9021.338935492151,0.5723768033925588
ERC_nuclear_1,1,0.0402997713009031,6.093219426573172e-6,0.0
LandbasedWind_Class3_Moderate_130,1,4.48117661050735e7,19367.21661040449,0.2641318325046779
UtilityPV_Class1_Moderate_100_0.2,1,2.3551650585828182e8,123444.48108633624,0.21779382632285996
Liion_Moderate,1,3.1318559302415248e7,23281.179888620136,0.0
TEGS,1,3.5220233156688765e7,11692.016082965154,0.0
