Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.70020785709065e7,7.283996651380116e7,1.0984204508470765e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.94139431327613,9.62280276599591e-7,366.94139527555643
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9285013606042228e-6,7.209681083641045e-7,3.6494694689683274e-6
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92850130155973e-6,7.215005072868066e-7,3.6500018088465366e-6
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9285013542033854e-6,7.221894305787456e-7,3.650690784782131e-6
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9285013312036444e-6,7.23081330108628e-7,3.6515826613122723e-6
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.928501194885954e-6,7.239765596154248e-7,3.652477754501379e-6
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2894405267348874e-6,6.712097274191482e-7,2.9606502541540355e-6
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2894405242262536e-6,6.64704028608775e-7,2.954144552835029e-6
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.842865246969964e-7,6.564810459854276e-7,1.6407675706824239e-6
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5623555632366582e-5,7956.622228561906,7956.622254185461
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189390653746843e-6,38437.269624128734,38437.26962831812
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8925.675590526564,42481.74283237747,51407.41842290404
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16675.071636495428,41893.591525886986,58568.663162382414
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19689.284105801074,40955.410413752834,60644.69451955391
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19489.3250378295,39495.4676084739,58984.792646303395
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18763.549498494056,37307.86349542463,56071.41299391868
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11378.314575836675,34207.03541145213,45585.349987288806
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6301.30093006699,30137.402440541322,36438.70337060831
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2137699644831395e-5,16562.1697835905,16562.169795728198
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5087941498334426e-6,6.628302372664986e-7,3.1716243870999413e-6
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508794149588407e-6,6.631293118315385e-7,3.1719234614199453e-6
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508794149872253e-6,6.63269648667588e-7,3.172063798539841e-6
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5087941499332053e-6,6.63167271226754e-7,3.171961421159959e-6
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508794150277815e-6,6.626961286843068e-7,3.171490278962122e-6
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5087941508426264e-6,6.616692460497276e-7,3.170463396892354e-6
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5087941551586803e-6,6.59814128981686e-7,3.1686082841403665e-6
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.5790814511324,9.032961991666997e-7,698.5790823544286
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5087941575296576e-6,6.556052823353956e-7,3.1643994398650535e-6
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508794156218728e-6,6.485826293407937e-7,3.1573767855595216e-6
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5087941503655203e-6,6.383958552313174e-7,3.147190005596838e-6
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508794149506292e-6,6.241820665138764e-7,3.1329762160201687e-6
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508794148404666e-6,6.051356474577047e-7,3.1139297958623707e-6
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.573259382619059e-6,5.806525155645623e-7,2.153911898183621e-6
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4227357797598563e-6,1.1334529347965343e-6,3.556188714556391e-6
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0591974897952135e-6,25912.92042424293,25912.92042930213
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099.146953576233,42284.03448796124,44383.18144153747
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15164.600515045233,41576.186260431234,56740.78677547647
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20026.50147208009,40456.54854081007,60483.05001289016
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20849.267156635073,38736.730767940666,59585.99792457574
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20476.384556165158,36209.23033786386,56685.614894029015
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17611.050293081036,32723.766661729547,50334.81695481058
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4995.5704306244415,28311.874500104415,33307.44493072886
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0314843373064107e-5,6749.460236430739,6749.4602467455825
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015557606498956e-6,5.102613966474403e-7,2.5258190031463965e-6
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015557606582582e-6,5.104019656784735e-7,2.5259595722610555e-6
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0155576065128323e-6,5.103915152796582e-7,2.5259491217924904e-6
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015557606573704e-6,5.101501709744346e-7,2.5257077775481387e-6
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0155576071191325e-6,5.095580229371854e-7,2.525115630056318e-6
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015557610974781e-6,5.084373378354354e-7,2.5239949488102164e-6
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.140945493520022e-5,6.786004897112789e-7,6.20880554249115e-5
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.140945537920823e-5,6.777073299310021e-7,6.208716270913923e-5
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14094128672392e-5,6.760452025481421e-7,6.208545806978734e-5
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015557609596194e-6,5.002286232921255e-7,2.5157862328883196e-6
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015557606922358e-6,4.908053193223881e-7,2.5063629262447458e-6
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0155576060386077e-6,4.777783371957036e-7,2.4933359432343113e-6
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015557604054363e-6,4.6050722759694836e-7,2.4760648316513115e-6
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0155575984486153e-6,4.3859164274868595e-7,2.4541492411973012e-6
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.462300548815518e-7,4.119873826169998e-7,1.2582174374985516e-6
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463807193256137e-5,16763.20137621703,16763.201400855105
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944110901484316e-6,38688.431172450364,38688.43117639447
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11912.976793158283,41866.31637859579,53779.29317175407
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20784.44000658288,40912.340443736364,61696.780450319246
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22599.54999694334,39429.48906381154,62029.039060754876
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22594.91729070664,37211.31644175596,59806.2337324626
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18839.490188171607,34074.77780121182,52914.26798938343
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4491.147078741361,29971.60232253855,34462.749401279914
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1610075909158749e-5,4802.187446613304,4802.1874582233795
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4409731661087818e-6,6.520965794481296e-7,3.0930697455569114e-6
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4409731666664145e-6,6.523719452926993e-7,3.0933451119591136e-6
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.440973166898669e-6,6.524728602881471e-7,3.093446027186816e-6
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4409731675186224e-6,6.523077650755137e-7,3.093280932594136e-6
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4409731684557944e-6,6.517398847070782e-7,3.0927130531628724e-6
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4409731747597592e-6,6.505676969444824e-7,3.0915408717042415e-6
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8198091896939476e-5,8.744509605751005e-7,3.907254285751458e-5
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45261608179325e-5,8.73353056274956e-7,3.539951387420745e-5
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1494662813926134e-5,8.722565049907807e-7,3.236691931891691e-5
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8949489527093385e-5,8.711613053470065e-7,2.9820650832440393e-5
