Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,25887.19831763952,0.0,2.235208444461706e-6,1.427336687073264e-6,4196.435755812505,9021.338929805133,5.130734337819169e-6,0.0,0.0,0.0,0.0
t2,25887.19831763579,0.0,2.229155256699673e-6,1.4271166508007533e-6,4196.435752002233,9021.338929604948,5.121055004690697e-6,0.0,0.0,0.0,0.0
t3,25887.198317625,0.0,2.2200147083504373e-6,1.4253364525626292e-6,4196.4357481919615,9021.338929357424,5.110633202606957e-6,0.0,0.0,0.0,0.0
t4,25887.198317602655,0.0,2.206954502124516e-6,1.4217592365867146e-6,4196.43574438169,9021.338929048683,5.099376416984089e-6,0.0,0.0,0.0,0.0
t5,25887.198317559825,0.0,2.188697124592984e-6,1.4158365633515608e-6,4196.435740568743,9021.338928655903,5.087203852653482e-6,0.0,0.0,0.0,0.0
t6,25887.19831748365,0.0,2.163860512813823e-6,1.4066532777122353e-6,4196.43573675285,9021.33892814189,5.074021876980975e-6,0.0,0.0,0.0,0.0
t7,25887.19831735116,0.0,2.1307835468132544e-6,1.3927839726235612e-6,4196.435732933891,9021.338927434797,5.059712623784485e-6,0.0,0.0,0.0,0.0
t8,25887.198317096947,0.0,2.0852765795607032e-6,1.369863915961239e-6,4196.435726666666,9021.33892619444,5.043964729297388e-6,0.0,0.0,0.0,0.0
t9,25887.198316535116,0.0,2.0242299111168255e-6,1.3340229697584967e-6,4196.435710320033,9021.338922459443,5.0266524758344166e-6,0.0,0.0,0.0,0.0
t10,25887.198312525317,0.0,1.94242061830723e-6,1.2783211605805096e-6,1.4996341307229526e-5,4.4555980845206416e-5,5.007984704975126e-6,0.0,0.0,0.0,0.0
t11,25887.19830739511,0.0,1.8803040655751865e-6,1.2396543645609173e-6,1.3335326288620412e-5,3.932956022729926e-5,4.991563476080547e-6,0.0,0.0,0.0,0.0
t12,19406.955139225236,0.0,1.8310524156282024e-6,1.2093123083019962e-6,1.2494108857438533e-5,3.795843339855911e-5,4.977518366049869e-6,0.0,0.0,0.0,0.0
t13,16043.982602086997,0.0,1.799974487007858e-6,1.1918956129521791e-6,1.208591080813659e-5,3.742088176915988e-5,4.966437654961711e-6,0.0,0.0,0.0,0.0
t14,16043.982599937177,0.0,1.7837478915991347e-6,1.1834492261258609e-6,1.1885678058726522e-5,3.718596483068341e-5,4.958245451121081e-6,0.0,0.0,0.0,0.0
t15,16043.982599838127,0.0,1.780806793565819e-6,1.1821043661880869e-6,1.182878050167401e-5,3.714762174297144e-5,4.9528725497925856e-6,0.0,0.0,0.0,0.0
t16,16043.982601271126,0.0,1.7908120220374946e-6,1.1875645977731095e-6,1.1900409794666679e-5,3.729886342519955e-5,4.950286625984099e-6,0.0,0.0,0.0,0.0
t17,16043.982605267669,0.0,1.8145800331143664e-6,1.2010348544502874e-6,1.2119274460582217e-5,3.769665579219085e-5,4.95049362621459e-6,0.0,0.0,0.0,0.0
t18,19321.01482927532,0.0,1.8544412327229437e-6,1.2255132794941522e-6,1.255857794185954e-5,3.863584173664308e-5,4.95352454111015e-6,0.0,0.0,0.0,0.0
t19,25887.19831240461,0.0,1.9148542527750683e-6,1.2666817394719916e-6,1.3481592919086684e-5,4.3912168191528293e-5,4.959368988333847e-6,0.0,0.0,0.0,0.0
t20,25887.19831624782,0.0,1.9851571770739414e-6,1.3156824325346234e-6,1.49481398755019e-5,2421.452508710417,4.966904310865669e-6,0.0,0.0,0.0,0.0
t21,25887.19831687543,0.0,2.037790122902252e-6,1.3474887800816247e-6,1.577410012724917e-5,2421.452512119542,4.973607260405405e-6,0.0,0.0,0.0,0.0
t22,25887.198317165006,0.0,2.0769462665608776e-6,1.368213744328111e-6,1.6315818510859794e-5,2421.4525133151315,4.979239407244825e-6,0.0,0.0,0.0,0.0
t23,25887.198317321305,0.0,2.105253253059275e-6,1.3814251156092788e-6,1.6687625280789085e-5,2421.4525139561956,4.9838006106942756e-6,0.0,0.0,0.0,0.0
t24,25887.198317406433,0.0,2.124456967389104e-6,1.3893027967697801e-6,1.693996722291343e-5,2421.452514329781,4.987318608560436e-6,0.0,0.0,0.0,0.0
t25,25887.198317447775,0.0,2.1357595077681654e-6,1.3931196529631184e-6,1.709833932559428e-5,2421.452514531751,4.98981402490162e-6,0.0,0.0,0.0,0.0
t26,25887.198317459533,0.0,2.1400337047585084e-6,1.3934851225502463e-6,1.7176127616668406e-5,2421.4525145997995,4.99129950732417e-6,0.0,0.0,0.0,0.0
t27,25887.19831744823,0.0,2.137770011101874e-6,1.390415366723007e-6,1.7179406462822932e-5,2421.452514547293,4.991808907465493e-6,0.0,0.0,0.0,0.0
t28,25887.19831744932,0.0,2.137360412834153e-6,1.3923527946454678e-6,1.715632080143295e-5,2421.45251448439,4.9920048837682985e-6,0.0,0.0,0.0,0.0
t29,25887.19831742425,0.0,2.130152017723433e-6,1.390674440619245e-6,1.7057632766249824e-5,2421.4525142905363,4.991192496608048e-6,0.0,0.0,0.0,0.0
t30,25887.1983173635,0.0,2.1155493618796197e-6,1.385154201273204e-6,1.6875810082616086e-5,2421.452513927457,4.989304786177927e-6,0.0,0.0,0.0,0.0
t31,25887.198317247396,0.0,2.09256115033001e-6,1.3749055419228846e-6,1.659489709065222e-5,2421.452513303031,4.986293894325252e-6,0.0,0.0,0.0,0.0
t32,25887.198317034938,0.0,2.0597808102223947e-6,1.3582561108313137e-6,1.618439017576113e-5,2421.452512145233,4.982104820947238e-6,0.0,0.0,0.0,0.0
t33,25887.198316615053,0.0,2.015129208951136e-6,1.3324049009031306e-6,1.5582501070407924e-5,2421.45250896028,4.976687525067549e-6,0.0,0.0,0.0,0.0
t34,25887.198315363417,0.0,1.95533852264113e-6,1.2926459596883653e-6,1.464034506373607e-5,1600.3310844641292,4.970112105917296e-6,0.0,0.0,0.0,0.0
t35,25887.198310146072,0.0,1.8938997038639627e-6,1.2503175578230219e-6,1.372381098362379e-5,5.0844387371338616e-5,4.963940580374402e-6,0.0,0.0,0.0,0.0
t36,24483.46548766246,0.0,1.844641854481112e-6,1.2168567551027056e-6,1.3163249149648813e-5,4.899400866048283e-5,4.959617079989187e-6,0.0,0.0,0.0,0.0
t37,23040.20070710144,0.0,1.8147166340262756e-6,1.1979926501201265e-6,1.2892427192943129e-5,4.8395691429526e-5,4.957963847916279e-6,0.0,0.0,0.0,0.0
t38,23040.200705413496,0.0,1.801023873750809e-6,1.18940794289916e-6,1.279334337252796e-5,4.8151857961175005e-5,4.959005837756369e-6,0.0,0.0,0.0,0.0
t39,23040.200705347503,0.0,1.80241314991372e-6,1.1891994185257533e-6,1.2835129108863415e-5,4.8137641623364773e-5,4.96275100712856e-6,0.0,0.0,0.0,0.0
t40,23040.20070603439,0.0,1.8191839059482661e-6,1.1973210352223088e-6,1.3030297084223294e-5,4.8324935037489446e-5,4.9692376292770795e-6,0.0,0.0,0.0,0.0
t41,23040.200709225155,0.0,1.8531484248924405e-6,1.2155711627615856e-6,1.3450672430613603e-5,4.87894104994021e-5,4.978543129851194e-6,0.0,0.0,0.0,0.0
t42,23783.900867366596,0.0,1.908189186793053e-6,1.2480613864171134e-6,1.4370409841810305e-5,4.9936701382578445e-5,4.990771788172009e-6,0.0,0.0,0.0,0.0
t43,25887.198313793313,0.0,1.9917036077759427e-6,1.3026031693961789e-6,1.9014056680080742e-5,5753.766277491881,5.005959499579213e-6,0.0,0.0,0.0,0.0
t44,25887.198316899656,0.0,2.090073380121542e-6,1.3683180610390057e-6,8124.357571295607,9021.338927618634,5.022531846054316e-6,0.0,0.0,0.0,0.0
t45,25887.19831739114,0.0,2.162240195989929e-6,1.4107351047071255e-6,8124.357574385382,9021.33892956437,5.0366393289545965e-6,0.0,0.0,0.0,0.0
t46,25887.19831761326,0.0,2.2148853395452737e-6,1.4380094552858968e-6,8124.357575458466,9021.338930252065,5.048122318851183e-6,0.0,0.0,0.0,0.0
t47,25887.19831772767,0.0,2.2517317895014642e-6,1.4546150935707238e-6,8124.357576021353,9021.338930617685,5.057134189993589e-6,0.0,0.0,0.0,0.0
t48,25887.19831778366,0.0,2.275065754455454e-6,1.4631017993020059e-6,8124.357576332215,9021.338930822432,5.0638173895303265e-6,0.0,0.0,0.0,0.0
t49,25887.198317802657,0.0,2.286283579625581e-6,1.4647313883972238e-6,8124.357576473704,9021.338930919768,5.068278947732609e-6,0.0,0.0,0.0,0.0
t50,25887.19831779504,0.0,2.286225318749863e-6,1.4596902210681453e-6,8124.357576473704,9021.338930930895,5.070626174109212e-6,0.0,0.0,0.0,0.0
t51,25887.198317792267,0.0,2.2861463874132337e-6,1.458081568461542e-6,8124.357576473704,9021.338930932343,5.071769078931896e-6,0.0,0.0,0.0,0.0
t52,25887.198317794544,0.0,2.2861645607321766e-6,1.4596143649435807e-6,8124.357576473704,9021.338930924256,5.071752528661256e-6,0.0,0.0,0.0,0.0
t53,25887.19831780157,0.0,2.28615671298854e-6,1.4645683527222083e-6,8124.357576473704,9021.338930906337,5.070541815486635e-6,0.0,0.0,0.0,0.0
t54,25887.19831778165,0.0,2.2748622122765763e-6,1.4628279147281701e-6,8124.35757633186,9021.338930800628,5.06724497064373e-6,0.0,0.0,0.0,0.0
t55,25887.198317724935,0.0,2.251537236477081e-6,1.4541902828018745e-6,8124.357576021186,9021.33893058503,5.0617758744487054e-6,0.0,0.0,0.0,0.0
t56,25887.19831760979,0.0,2.2147598610818424e-6,1.4373702444710313e-6,8124.35757545882,9021.338930200909,5.054051892180565e-6,0.0,0.0,0.0,0.0
t57,25887.198317386334,0.0,2.162228862368405e-6,1.4097816293418074e-6,8124.357574386462,9021.338929466472,5.043960188149631e-6,0.0,0.0,0.0,0.0
t58,25887.198316887752,0.0,2.0902105687343256e-6,1.3668863717807412e-6,8124.357571297543,9021.338927182649,5.03138915969601e-6,0.0,0.0,0.0,0.0
t59,25887.198313058216,0.0,1.991974544977524e-6,1.3003520912638345e-6,1.7924385380698565e-5,0.00011487001577321661,5.016582553195852e-6,0.0,0.0,0.0,0.0
t60,25887.198308226714,0.0,1.9194049444377847e-6,1.2551462168861822e-6,1.5601488032695414e-5,9.949001950119891e-5,5.0038289776172505e-6,0.0,0.0,0.0,0.0
t61,25305.0986818503,0.0,1.8637069805556906e-6,1.2208346371175582e-6,1.465220753470721e-5,9.799688434609696e-5,4.99330343254767e-6,0.0,0.0,0.0,0.0
t62,25305.098679692637,0.0,1.8302749220647065e-6,1.2019634800964628e-6,1.4241267297493328e-5,9.748644004366025e-5,4.9856616117316604e-6,0.0,0.0,0.0,0.0
t63,25305.09867930782,0.0,1.815196920567194e-6,1.1942077036355121e-6,1.4065229351730457e-5,9.729730858150554e-5,4.980848914801037e-6,0.0,0.0,0.0,0.0
t64,25305.098679468214,0.0,1.8167697665728718e-6,1.1958453637007427e-6,1.4051449860456108e-5,9.7331826352477e-5,4.978812099309709e-6,0.0,0.0,0.0,0.0
t65,25305.09868092291,0.0,1.8349702524646684e-6,1.2072385372480947e-6,1.419510567959118e-5,9.763553602276367e-5,4.9795304769385815e-6,0.0,0.0,0.0,0.0
t66,25305.09868473051,0.0,1.8714617065686128e-6,1.2309280740027572e-6,1.4551946422422884e-5,9.844779586154451e-5,4.983008025520611e-6,0.0,0.0,0.0,0.0
t67,25887.198312745084,0.0,1.9303328521409456e-6,1.2724438146807415e-6,1.534800915064022e-5,0.00010362242139387111,4.9892052427824625e-6,0.0,0.0,0.0,0.0
t68,25887.198316341237,0.0,1.999556867553992e-6,1.3218748161611467e-6,1.662857195073301e-5,8482.832406375845,4.996917844384985e-6,0.0,0.0,0.0,0.0
t69,25887.198316939404,0.0,2.0506611714621615e-6,1.3535812993160471e-6,1.737974777893392e-5,8482.832409270915,5.00358799976681e-6,0.0,0.0,0.0,0.0
t70,25887.198317210175,0.0,2.087721222610855e-6,1.3736406959846298e-6,1.787427808768266e-5,8482.832410259489,5.009016907633263e-6,0.0,0.0,0.0,0.0
t71,25887.198317348273,0.0,2.113180426890961e-6,1.3854898378140965e-6,1.8209299121397205e-5,8482.832410763696,5.0132425007119e-6,0.0,0.0,0.0,0.0
t72,25887.19831741275,0.0,2.1285997323373674e-6,1.3910750719081684e-6,1.8429270273604383e-5,8482.832411026606,5.016324457166885e-6,0.0,0.0,0.0,0.0
t73,25887.1983174301,0.0,2.134980666435819e-6,1.391295484078996e-6,1.8556741387499305e-5,8482.832411124946,5.018314574759865e-6,0.0,0.0,0.0,0.0
t74,25887.19831741288,0.0,2.1328903933476144e-6,1.3861442457113125e-6,1.8602845757355632e-5,8482.832411081,5.019282856253983e-6,0.0,0.0,0.0,0.0
t75,25887.198317399838,0.0,2.1306465267862727e-6,1.383346792847716e-6,1.8619298483583738e-5,8482.832411002211,5.019913387639663e-6,0.0,0.0,0.0,0.0
t76,25887.19831738993,0.0,2.1281484511711435e-6,1.382344100379341e-6,1.86060777472932e-5,8482.832410886724,5.020244924106553e-6,0.0,0.0,0.0,0.0
t77,25887.198317380615,0.0,2.1250805538238546e-6,1.3829110347510983e-6,1.8562660147086778e-5,8482.832410732053,5.020273863738944e-6,0.0,0.0,0.0,0.0
t78,25887.19831736836,0.0,2.120986505703694e-6,1.3851185927548571e-6,1.8488098984456387e-5,8482.832410534906,5.019955330677832e-6,0.0,0.0,0.0,0.0
t79,25887.198317307553,0.0,2.1076341771476715e-6,1.380967351267566e-6,1.832934594759577e-5,8482.832410134062,5.018623493366889e-6,0.0,0.0,0.0,0.0
t80,25887.198317172846,0.0,2.0842038111015265e-6,1.3698239666418366e-6,1.8071862246335438e-5,8482.832409373674,5.016213767355098e-6,0.0,0.0,0.0,0.0
t81,25887.19831690341,0.0,2.049202350762351e-6,1.3498440855784548e-6,1.768694499967274e-5,8482.832407600587,5.012689245078711e-6,0.0,0.0,0.0,0.0
t82,25887.198316282407,0.0,2.0001992886349027e-6,1.3175184827255602e-6,1.71176572417038e-5,6487.80967609391,5.008079599497463e-6,0.0,0.0,0.0,0.0
t83,25887.198314705718,0.0,1.9445863984643185e-6,1.278474023386562e-6,1.6479348676336697e-5,2202.8633526830336,5.003374190779051e-6,0.0,0.0,0.0,0.0
t84,25887.198313116554,0.0,1.902186876035096e-6,1.2506549455495851e-6,1.607891435695426e-5,2202.863350919124,5.000320740650481e-6,0.0,0.0,0.0,0.0
t85,25887.198311004588,0.0,1.8692842219468603e-6,1.2282053685546333e-6,1.5827959114748227e-5,2202.8633501629374,4.999037551051474e-6,0.0,0.0,0.0,0.0
t86,25887.19831020016,0.0,1.8528271611688853e-6,1.2171169279470288e-6,1.5743299725461272e-5,2202.8633498639915,5.000153706690748e-6,0.0,0.0,0.0,0.0
t87,25887.198310085332,0.0,1.851423463801284e-6,1.214961488580518e-6,1.5800074267306038e-5,2202.863349826988,5.003708993218045e-6,0.0,0.0,0.0,0.0
t88,25887.198310347107,0.0,1.8651135785275288e-6,1.2212786400521839e-6,1.6014723772100995e-5,2202.8633500044607,5.009739615933103e-6,0.0,0.0,0.0,0.0
t89,25887.198311077966,0.0,1.895340985021626e-6,1.2374167581581377e-6,1.6464955486654363e-5,2202.863350470491,5.018305704258247e-6,0.0,0.0,0.0,0.0
t90,25887.19831239772,0.0,1.94535699820006e-6,1.2668688568374886e-6,1.7441726233502576e-5,2202.863351662409,5.029485808298258e-6,0.0,0.0,0.0,0.0
t91,25887.198315256544,0.0,2.0213518171886498e-6,1.3163700266436653e-6,2.2260951506747193e-5,5546.347444498303,5.043302407155886e-6,0.0,0.0,0.0,0.0
t92,25887.19831701627,0.0,2.1125853879724827e-6,1.3776816137875253e-6,758.7293452241064,9021.338927876139,5.058455447112285e-6,0.0,0.0,0.0,0.0
t93,25887.198317434148,0.0,2.1794920063916465e-6,1.4171811832765029e-6,758.7293482096455,9021.338929688522,5.071417683381308e-6,0.0,0.0,0.0,0.0
t94,25887.19831763231,0.0,2.2279810901271993e-6,1.442269676169792e-6,758.7293492397439,9021.338930348136,5.082053050671021e-6,0.0,0.0,0.0,0.0
t95,25887.19831773456,0.0,2.2613965247641234e-6,1.4570061576688856e-6,758.7293497737678,9021.338930699643,5.090482306828955e-6,0.0,0.0,0.0,0.0
t96,25887.198317782393,0.0,2.2817922771658158e-6,1.4636376848570296e-6,758.7293500611873,9021.338930895476,5.096816934033172e-6,0.0,0.0,0.0,0.0
t97,25887.19831779447,0.0,2.2903677799817606e-6,1.463128488261088e-6,758.729350180852,9021.338930987078,5.101149832881416e-6,0.0,0.0,0.0,0.0
t98,25887.198317790113,0.0,2.2917600224612194e-6,1.4593260318065897e-6,758.7293502051403,9021.33893101993,5.103864411628032e-6,0.0,0.0,0.0,0.0
t99,25887.19831779113,0.0,2.293808959182665e-6,1.4589594887184234e-6,758.7293502298523,9021.338931045853,5.10555653426114e-6,0.0,0.0,0.0,0.0
t100,25887.198317798106,0.0,2.2967094071663533e-6,1.4618642611211126e-6,758.7293502545645,9021.338931065027,5.106245329265809e-6,0.0,0.0,0.0,0.0
t101,25887.198317811213,0.0,2.30049049520893e-6,1.4684504799127102e-6,758.7293502783463,9021.338931077293,5.105882851418224e-6,0.0,0.0,0.0,0.0
t102,25887.19831779977,0.0,2.293860784433631e-6,1.468559364913922e-6,758.7293501590685,9021.338931008388,5.103581662619019e-6,0.0,0.0,0.0,0.0
t103,25887.198317756905,0.0,2.276411568434284e-6,1.4622616003090304e-6,758.7293498728008,9021.338930844602,5.099254970877923e-6,0.0,0.0,0.0,0.0
t104,25887.198317668746,0.0,2.2471344250607825e-6,1.448631823190493e-6,758.7293493403714,9021.338930548205,5.0928211797465296e-6,0.0,0.0,0.0,0.0
t105,25887.198317507777,0.0,2.2042724533568996e-6,1.425617105333948e-6,758.7293483121032,9021.338930016685,5.084170041861997e-6,0.0,0.0,0.0,0.0
t106,25887.198317205253,0.0,2.1449870850689335e-6,1.3895680488102539e-6,758.729345328507,9021.338928833502,5.07318223928354e-6,0.0,0.0,0.0,0.0
t107,25887.19831642101,0.0,2.064378982562994e-6,1.3339281282227265e-6,2.409511519926676e-5,8982.558991538861,5.059992327872084e-6,0.0,0.0,0.0,0.0
t108,25887.19831590715,0.0,2.0085558071412593e-6,1.2994467775554749e-6,2.1357545528593343e-5,8982.558989624176,5.0483929602624325e-6,0.0,0.0,0.0,0.0
t109,25887.198315540583,0.0,1.9712482973567665e-6,1.2786970699932617e-6,2.032340063545287e-5,8982.558988773882,5.0384998308619565e-6,0.0,0.0,0.0,0.0
t110,25887.198315325073,0.0,1.9488220224233775e-6,1.2674797030138338e-6,1.9751161571044678e-5,8982.558988299998,5.030261523742672e-6,0.0,0.0,0.0,0.0
t111,25887.1983152536,0.0,1.939191845887259e-6,1.2635540997189962e-6,1.9408272639043064e-5,8982.558988040064,5.023616410745244e-6,0.0,0.0,0.0,0.0
t112,25887.19831533396,0.0,1.941365628743305e-6,1.2661215919543574e-6,1.92138063878055e-5,8982.558987941615,5.018516690506699e-6,0.0,0.0,0.0,0.0
