Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14166.09750454482,16835.5326024115,0.0,0.0,31001.63010695632
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1637395042926073e-7,-1.1725179497883727e-10,0.0,0.0,4.162566986342819e-7
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.623463271651417e-7,-1.342591877255991e-10,0.0,0.0,3.622120679774161e-7
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.623472366598435e-7,-1.3425918805735332e-10,0.0,0.0,3.6221297747178614e-7
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.623472366598435e-7,-1.342591877427246e-10,0.0,0.0,3.6221297747210076e-7
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.623463271651417e-7,-1.3425918786587469e-10,0.0,0.0,3.6221206797727585e-7
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.623463271651417e-7,-1.342591886448387e-10,0.0,0.0,3.6221206797649684e-7
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49680249200901e-7,-1.3898548354006075e-10,0.0,0.0,3.4954126371736096e-7
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4967979445355013e-7,-1.389854835490917e-10,0.0,0.0,3.49540808970001e-7
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4967979445355013e-7,-1.3898548354240395e-10,0.0,0.0,3.4954080897000774e-7
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3051794667262584e-6,1.3051794667262584e-6,0.0,0.0,2.610358933452517e-6
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3035178199061193e-6,1.3035241863690317e-6,0.0,0.0,2.607042006275151e-6
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90536297345534e-6,3.905370249412954e-6,0.0,0.0,7.810733222868294e-6
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905364792444743e-6,3.905370249412954e-6,0.0,0.0,7.810735041857697e-6
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905364792444743e-6,3.905370249412954e-6,0.0,0.0,7.810735041857697e-6
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905364792444743e-6,3.905384801328182e-6,0.0,0.0,7.810749593772925e-6
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905365701939445e-6,3.905370249412954e-6,0.0,0.0,7.810735951352399e-6
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905364792444743e-6,3.905384801328182e-6,0.0,0.0,7.810749593772925e-6
