Segment,1,2,3,4,Total
Zone,1,1,1,1,0
AnnualSum,3.146719547386872e-7,9781.238566160428,101190.16286962818,33468.82190247034,144440.22333857365
t1,-2.1730097871412094e-10,8.974467242927363e-10,8.127011374047476e-9,4.385618638771925e-8,5.266334350734534e-8
t2,-1.8462416322778622e-10,9.380103891780437e-10,8.23952727070879e-9,4.4861678782784464e-8,5.385459227944351e-8
t3,-1.846241625883074e-10,9.380103899706603e-10,8.23952727290989e-9,4.4861678802236926e-8,5.385459230252917e-8
t4,-1.8462416319496134e-10,9.380103892159786e-10,8.239527270808816e-9,4.486167878282462e-8,5.385459227965445e-8
t5,-1.8462416295758128e-10,9.38010389510212e-10,8.239527271625905e-9,4.4861678790047964e-8,5.3854592288226496e-8
t6,-1.8462416145585104e-10,9.380103913748559e-10,8.239527276810403e-9,4.486167883687608e-8,5.385459234360549e-8
t7,-1.755038166615723e-10,9.493375298688643e-10,8.271046175092669e-9,4.5147827378366616e-8,5.4192707266666575e-8
t8,-1.7550381664398828e-10,9.493375298928587e-10,8.271046175163644e-9,4.514782737967672e-8,5.4192707268089233e-8
t9,-1.7550381665680438e-10,9.493375298784106e-10,8.271046175126265e-9,4.514782737979021e-8,5.419270726813808e-8
t10,-3.666718393209586e-10,7.124163470043657e-10,7.620742476259226e-9,3.962046610048104e-8,4.758695308442367e-8
t11,-3.6658261541447695e-10,7.125266796082775e-10,7.621041000964136e-9,3.9622833475071776e-8,4.758981854022971e-8
t12,-4.133047420304391e-10,6.547822894354455e-10,7.46534337426646e-9,3.84075762830803e-8,4.611439720475177e-8
t13,-4.133047420690799e-10,6.547822893876409e-10,7.465343374137875e-9,3.840757628207372e-8,4.6114397203530155e-8
t14,-4.133047420984863e-10,6.547822893509935e-10,7.4653433740388e-9,3.840757628123118e-8,4.6114397202522483e-8
t15,-4.1330474209743047e-10,6.547822893514941e-10,7.465343374038645e-9,3.840757628102875e-8,4.611439720232146e-8
t16,-4.133047420890669e-10,6.547822893608101e-10,7.465343374061776e-9,3.840757628095139e-8,4.611439720228491e-8
t17,-4.1330474205689516e-10,6.547822894000642e-10,7.465343374166352e-9,3.8407576281633306e-8,4.611439720314282e-8
t18,-4.133047420323111e-10,6.547822894308383e-10,7.465343374249806e-9,3.840757628237651e-8,4.611439720402484e-8
t19,-3.4004093198087945e-10,7.453577920887882e-10,7.710047988251118e-9,4.033523769706189e-8,4.845060254542091e-8
t20,-1.9924533841407464e-10,9.198564410808704e-10,8.189102876857944e-9,4.440800081699935e-8,5.331771479652409e-8
t21,-1.9924533840180768e-10,9.198564410968391e-10,8.189102876903677e-9,4.4408000817632284e-8,5.331771479723099e-8
t22,-1.9924533840217286e-10,9.198564410962974e-10,8.189102876902005e-9,4.440800081759052e-8,5.331771479718665e-8
t23,-1.9924533840146929e-10,9.198564410967021e-10,8.189102876902223e-9,4.440800081745098e-8,5.331771479704844e-8
t24,-1.9924533840588367e-10,9.198564410896089e-10,8.189102876879436e-9,4.4408000816760575e-8,5.3317714796323735e-8
t25,-1.9924533841439062e-10,9.198564410768036e-10,8.189102876839581e-9,4.440800081572688e-8,5.331771479522887e-8
t26,-1.992453384798712e-10,9.19856440993588e-10,8.189102876604983e-9,4.4408000813046236e-8,5.3317714792164935e-8
t27,-2.3723275640087006e-10,8.727193876661199e-10,8.058694659980544e-9,4.325759351379075e-8,5.1951774805036546e-8
t28,-1.9924533851702613e-10,9.198564409468709e-10,8.189102876474227e-9,4.4408000811697694e-8,5.331771479060177e-8
t29,-1.9924533849787409e-10,9.198564409713779e-10,8.189102876543626e-9,4.440800081253892e-8,5.331771479155605e-8
t30,-1.992453384110601e-10,9.198564410809441e-10,8.189102876851084e-9,4.440800081583119e-8,5.3317714795352155e-8
t31,-1.992453384011517e-10,9.198564410964883e-10,8.189102876900463e-9,4.440800081725208e-8,5.331771479684788e-8
t32,-1.9924533839269502e-10,9.198564411108155e-10,8.189102876947589e-9,4.440800081882869e-8,5.33177147984944e-8
t33,-1.9924533838539368e-10,9.198564411217629e-10,8.189102876981593e-9,4.4408000819701315e-8,5.3317714799419276e-8
t34,-2.771400081929834e-10,8.232449892268401e-10,7.922621415592705e-9,4.209123767622221e-8,5.055996407284877e-8
t35,-3.590182805161e-10,7.218814262266453e-10,7.646366380712633e-9,3.9824201739730087e-8,4.783343126615327e-8
t36,-4.133047418405134e-10,6.547822896807589e-10,7.465343374945589e-9,3.8407576290982836e-8,4.611439721376867e-8
t37,-4.133047419781506e-10,6.547822895095555e-10,7.465343374483364e-9,3.840757628713493e-8,4.61143972091497e-8
t38,-4.1330474202232495e-10,6.547822894535664e-10,7.465343374330267e-9,3.840757628560204e-8,4.611439720736355e-8
t39,-4.133047420444411e-10,6.547822894246045e-10,7.465343374249377e-9,3.840757628456796e-8,4.61143972061975e-8
t40,-4.133047420346603e-10,6.547822894352537e-10,7.46534337427532e-9,3.84075762844079e-8,4.6114397206083814e-8
t41,-4.133047419983545e-10,6.547822894793897e-10,7.465343374392584e-9,3.8407576285130255e-8,4.6114397207003877e-8
t42,-4.133047419455056e-10,6.54782289545147e-10,7.465343374570163e-9,3.8407576286614435e-8,4.611439720878424e-8
t43,-3.2194557242363953e-10,7.677527280822175e-10,7.770964441130594e-9,4.0830459816814656e-8,4.9047231413603826e-8
t44,-1.3841320125270062e-10,9.954275517867355e-10,8.39974726433494e-9,4.633723547753758e-8,5.5593997092406554e-8
t45,-1.3841320124421176e-10,9.954275517980913e-10,8.399747264368295e-9,4.6337235478106045e-8,5.5593997093028216e-8
t46,-1.3841320123797492e-10,9.954275518060413e-10,8.399747264390946e-9,4.6337235478382125e-8,5.5593997093341135e-8
t47,-1.384132012368565e-10,9.954275518067504e-10,8.399747264391596e-9,4.6337235478169864e-8,5.5593997093131356e-8
t48,-1.384132012480044e-10,9.954275517908615e-10,8.399747264343155e-9,4.63372354770677e-8,5.5593997091953715e-8
t49,-1.3841320133819649e-10,9.95427551676314e-10,8.399747264017681e-9,4.6337235473243884e-8,5.559399708759968e-8
t50,-1.8462416245182277e-10,9.380103901540494e-10,8.239527273446665e-9,4.486167881134163e-8,5.385459231249052e-8
t51,-1.8462416246249446e-10,9.38010390140495e-10,8.23952727340839e-9,4.486167881090352e-8,5.385459231198991e-8
t52,-1.8462416137607223e-10,9.380103914900627e-10,8.239527277161905e-9,4.486167884498842e-8,5.385459235226432e-8
t53,-1.3841320130285625e-10,9.954275517200212e-10,8.399747264139637e-9,4.6337235474314746e-8,5.559399708887155e-8
t54,-1.3841320123952912e-10,9.954275518010811e-10,8.399747264371162e-9,4.633723547722991e-8,5.559399709216262e-8
t55,-1.384132012206585e-10,9.954275518285065e-10,8.399747264455676e-9,4.6337235479287874e-8,5.55939970943514e-8
t56,-1.3841320118964043e-10,9.954275518717306e-10,8.399747264585779e-9,4.6337235481994826e-8,5.559399709726269e-8
t57,-1.3841320113297895e-10,9.95427551943269e-10,8.399747264788243e-9,4.633723548424364e-8,5.559399709984217e-8
t58,-1.3841320137612812e-10,9.954275516395973e-10,8.399747263935175e-9,4.6337235475800686e-8,5.559399708999933e-8
t59,-3.6351662807813077e-10,7.163181609285972e-10,7.631301945761168e-9,3.970429394252063e-8,4.768839742113227e-8
t60,-3.6342339537201316e-10,7.164334592006728e-10,7.63161405266589e-9,3.9706774425907145e-8,4.769139854240169e-8
t61,-4.133047417325299e-10,6.547822898158222e-10,7.465343375311644e-9,3.840757629421663e-8,4.611439721761157e-8
t62,-4.1330474180702013e-10,6.547822897220109e-10,7.465343375056226e-9,3.8407576291803836e-8,4.611439721477505e-8
t63,-4.1330474200701446e-10,6.547822894734686e-10,7.465343374385583e-9,3.840757628627466e-8,4.61143972081267e-8
t64,-4.133047420058355e-10,6.547822894735018e-10,7.46534337438302e-9,3.8407576285897885e-8,4.611439720774857e-8
t65,-4.133047417762661e-10,6.547822897563389e-10,7.465343375141632e-9,3.840757629154117e-8,4.6114397214662874e-8
t66,-4.1330474170971034e-10,6.547822898388976e-10,7.465343375364113e-9,3.84075762933371e-8,4.61143972168304e-8
t67,-3.3561309588147517e-10,7.5083683995839e-10,7.724936331244469e-9,4.045569253502789e-8,4.859585261034927e-8
t68,-1.9237045718873075e-10,9.283916628366698e-10,8.212796394407166e-9,4.4620550506983373e-8,5.3569368107038475e-8
t69,-1.9237045719114244e-10,9.283916628342426e-10,8.212796394401523e-9,4.46205505071056e-8,5.356936810715022e-8
t70,-1.923704571931959e-10,9.283916628315616e-10,8.212796394393828e-9,4.462055050699672e-8,5.356936810702891e-8
t71,-1.9237045720221586e-10,9.283916628190777e-10,8.212796394356676e-9,4.4620550506272336e-8,5.3569368106245877e-8
t72,-1.92370457218111e-10,9.283916627965418e-10,8.212796394288679e-9,4.462055050481014e-8,5.356936810467725e-8
t73,-1.9237045732078607e-10,9.28391662665719e-10,8.212796393918881e-9,4.4620550500469465e-8,5.356936809973328e-8
t74,-2.2896138259747283e-10,8.82979449353066e-10,8.087016226189908e-9,4.350467331411676e-8,5.224570760706226e-8
t75,-2.286957028941579e-10,8.833090392411363e-10,8.087926602237648e-9,4.3512640651196235e-8,5.225518058978086e-8
t76,-2.2842967615610255e-10,8.836390616887122e-10,8.088838209654371e-9,4.352062033907873e-8,5.2264667934265716e-8
t77,-2.28163301944545e-10,8.839695172480946e-10,8.08975105011183e-9,4.3528612399241615e-8,5.2274169664657e-8
t78,-1.923704574003155e-10,9.283916625655919e-10,8.21279639363813e-9,4.462055049752544e-8,5.356936809632885e-8
t79,-1.9237045722595157e-10,9.283916627861389e-10,8.212796394258491e-9,4.462055050433551e-8,5.356936810415419e-8
t80,-1.9237045721245788e-10,9.28391662808045e-10,8.212796394329278e-9,4.462055050653672e-8,5.3569368106461586e-8
t81,-1.923704572230002e-10,9.283916627960447e-10,8.212796394298047e-9,4.4620550506586624e-8,5.3569368106457714e-8
t82,-2.4075977634593234e-10,8.683449667978463e-10,8.046630378880088e-9,4.315280187009255e-8,5.182701743942455e-8
