Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,2.2005469798785248e8,1.8503301788102696e-5,0.0209878421067833,683284.298205068,3.2312948045717377e7,4.5233181045828156e7,0.0402997713009031,4.48117661050735e7,2.3551650585828182e8,3.1318559302415248e7,3.5220233156688765e7,6.451511758613687e8
t1,25887.198317171038,-4.5837604648065126e-11,1.1880365461282835e-6,7.418261093561477e-7,1913.5747075790036,9021.338925745373,4.755356963866878e-6,8666.829432739636,1.1725179497883727e-10,2.2894405351311243e-6,3.01311357587424e-6,45488.941395222886
t2,25887.198317234313,-3.904751463562743e-11,1.1925322459703868e-6,7.448974947708891e-7,2055.390554258371,9021.338927908533,4.775580045437478e-6,6970.26125772223,1.342591877255991e-10,1.0563185963202198e-5,17.81092919587544,43952.00000359561
t3,25887.198317223523,-3.92185985721562e-11,1.1884013441402175e-6,7.441652341294733e-7,2704.685223224239,9021.33892766101,4.768750985429298e-6,5333.73145414305,1.3425918805735332e-10,1.0563186731678331e-5,13.046064079733934,42960.00000359614
t4,25887.198317201175,-4.098099252409634e-11,1.1822438735463857e-6,7.425251839021678e-7,2064.235883353107,9021.338927352268,4.758086004488223e-6,5145.869453022126,1.342591877427246e-10,1.0563186054158574e-5,9.357405422026456,42128.00000359683
t5,25887.19831715835,-4.297843932358659e-11,1.1736291092651752e-6,7.398066331363574e-7,2203.6912612170327,9021.338926959488,4.746270593744337e-6,4671.372646067217,1.3425918786587469e-10,1.0563186355973144e-5,5.398834972666162,41789.00000359773
t6,25887.19831708217,-4.461069518436376e-11,1.1619629435370716e-6,7.356161261382974e-7,4104.204594983033,9021.338926445474,4.734249225370642e-6,2624.2578503474624,1.342591886448387e-10,1.0563188124884643e-5,0.0002975453724248735,41637.00000359862
t7,25887.198316965096,-4.425801190044335e-11,1.1485485050050496e-6,7.30188965188159e-7,4196.435722370704,9021.338925975513,4.728273081400034e-6,2122.646940150652,1.3898548354006075e-10,1067.5870546480157,3.793036189361195,42299.000002906454
t8,25887.19831671088,-4.974130698636892e-11,1.1270651838873958e-6,7.196694408371085e-7,4196.435716103479,9021.338924735153,4.708173114828933e-6,2504.1811073756207,1.389854835490917e-10,2069.651126483722,2.1948049360973574,43681.00000289994
t9,25887.19831614905,-6.94329403962156e-11,1.097054420767969e-6,7.026568931236814e-7,2685.718851346356,5773.656930679391,4.642050323790119e-6,5732.696116330049,1.3898548354240395e-10,4599.772132868474,0.9576477714114634,44680.000001586566
t10,25887.19831055492,-1.4825701239437296e-10,1.0220378852362843e-6,6.602442901979184e-7,7.376848283950074e-6,2.1827843643828976e-5,4.268414519363451e-6,6011.584034564375,22034.839872605837,1.0847255673790818e-6,1.7278411553496262e-7,53933.62225413789
t11,25887.198305428472,-1.720443412920346e-10,9.91984398492053e-7,6.420509529040743e-7,6.590356165822763e-6,1.8674698742465145e-5,4.0851278039398875e-6,6255.610963857133,53451.46030908007,1.7669037721364633e-5,1.251769838519997e-6,85594.26962827053
t12,14708.613430617012,-1.9705516031460642e-10,9.621635425287135e-7,6.24754350888637e-7,6.1004323299597035e-6,1.7843270981386993e-5,3.874173317962268e-6,10952.160989278376,73276.64396894383,3.861643623659053e-6,7.524667809171456e-7,98937.41842285793
t13,9305.857689698203,-2.044621195229855e-10,9.474150419444369e-7,6.166896740403859e-7,5.9137488585402755e-6,1.759800233335061e-5,3.790660693339245e-6,12220.71367725987,84510.09174780041,1.7970753655316512e-5,7.407425084296284e-7,106036.66316233629
t14,8499.244520313618,-2.0779801841905032e-10,9.397768043381114e-7,6.128153588796573e-7,5.822422881995251e-6,1.7490895537540334e-5,3.7585240580803346e-6,8478.967428129723,90867.48252374673,1.7970753560322827e-5,7.227375974642115e-7,107845.6945195078
t15,8510.19608925332,-2.1014258887333913e-10,9.383927513421538e-7,6.121987148649662e-7,5.796470802389446e-6,1.7473412657849298e-5,3.7502541965556835e-6,5692.024957892515,91336.5715518748,1.7970753582266622e-5,6.953708466163598e-7,105538.7926462573
t16,8686.13963554466,-2.1190606404920758e-10,9.431014674156102e-7,6.147021576652541e-7,5.8291422794427504e-6,1.754236986245185e-5,3.7611683444772027e-6,6054.191908507079,87090.08140250485,1.7970753626245785e-5,6.549556763118948e-7,101830.41299387257
t17,9893.171205957355,-2.1190668481749453e-10,9.542888877193884e-7,6.20880438840847e-7,5.9289678346502734e-6,1.772372752500587e-5,3.8046116302599e-6,5386.022935448124,75696.155798236,1.79707537695658e-5,5.981980656511496e-7,90975.3499872427
t18,14490.97993059518,-2.0450327625318357e-10,9.732499193002744e-7,6.322321144304054e-7,6.130412399685385e-6,1.8152654946900653e-5,3.925329781511463e-6,7789.494516799322,59858.22887485907,1.7970753808819797e-5,5.241944379467916e-7,82138.7033705622
t19,25887.198311150587,-1.6462170104536128e-10,1.012979673327639e-6,6.56829732946149e-7,6.772383653207072e-6,2.1627975296007747e-5,4.2351144945061155e-6,7624.87317857071,31577.09826093927,9.801138743602366e-6,9.129223429186074e-7,65089.16979567975
t20,25887.198315818892,-1.0464682972316877e-10,1.0730387202513998e-6,6.918342572110573e-7,9.994859911489559e-6,1549.7296248338487,4.554212970874193e-6,5814.038426058746,1.2666355404402036e-10,7947.670683139063,11657.36293695379,52856.00000311831
t21,25887.1983164465,-9.266316418070503e-11,1.0987276351768968e-6,7.068405537510344e-7,1.087068451527035e-5,2421.4525098255745,4.608566597341124e-6,4979.311390150311,1.2666355405037512e-10,8676.734520885195,11625.303248526177,53590.00000311861
t22,25887.198316736078,-9.168600839057587e-11,1.117249718120032e-6,7.163712914549609e-7,1.1253737343682783e-5,2421.452511021164,4.62030416011756e-6,6730.107771730878,1.2666355405018893e-10,6886.018870520349,11576.222515402584,53501.00000311875
t23,25887.198316892373,-9.322215140748607e-11,1.1306184165518444e-6,7.224385890951814e-7,1.1486886166218602e-5,2421.452511662228,4.625560995556474e-6,6768.842204951687,1.2666355405057168e-10,6457.028971124496,11501.47798052233,53036.00000311865
t24,25887.198316977505,-9.545348879567254e-11,1.1396846908224057e-6,7.260557327227086e-7,1.1637576990826901e-5,2421.4525120358135,4.629031574605705e-6,6751.411710002323,1.2666355404833e-10,5048.414733140464,11388.52271282969,51497.00000311818
t25,25887.198317018847,-9.82885569626584e-11,1.1450142206799874e-6,7.27805542127666e-7,1.1706205732404772e-5,2421.4525122377836,4.630865932067315e-6,6350.51032616695,1.2666355404398135e-10,3619.10015479345,11219.738674690188,49498.00000311714
