BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,5.786123834022651e8,6.653879245910402e7,-1.0984204508470763e8,0.0,0.0,144440.22333825886,3.146719547386872e-7,0.0,0.0,-5.35453571e8
t1,45488.941389920335,5.302554111005364e-6,-366.94139527555643,0.0,0.0,5.288064448605946e-8,-2.1730097871412094e-10,0.0,0.0,-45122.0
t2,43934.18906383655,17.8109397590614,-3.6494694689683274e-6,0.0,0.0,5.40392164426713e-8,-1.8462416322778622e-10,0.0,0.0,-43952.0
t3,42946.953928953226,13.046074642920667,-3.6500018088465366e-6,0.0,0.0,5.403921646511748e-8,-1.846241625883074e-10,0.0,0.0,-42960.0
t4,42118.64258761162,9.35741598521251,-3.650690784782131e-6,0.0,0.0,5.403921644284941e-8,-1.8462416319496134e-10,0.0,0.0,-42128.0
t5,41783.60115806188,5.398845535852518,-3.6515826613122723e-6,0.0,0.0,5.403921645118408e-8,-1.8462416295758128e-10,0.0,0.0,-41789.0
t6,41636.999695490056,0.00030810856054975817,-3.652477754501379e-6,0.0,0.0,5.403921650506134e-8,-1.8462416145585104e-10,0.0,0.0,-41637.0
t7,41227.61991206908,1071.3800908373769,-2.9606502541540355e-6,0.0,0.0,5.436821108332815e-8,-1.755038166615723e-10,0.0,0.0,-42299.0
t8,41609.15407148012,2071.845931419819,-2.954144552835029e-6,0.0,0.0,5.436821108473322e-8,-1.7550381664398828e-10,0.0,0.0,-43681.0
t9,40079.27022094668,4600.729780639886,-1.6407675706824239e-6,0.0,0.0,5.436821108479488e-8,-1.7550381665680438e-10,0.0,0.0,-44680.0
t10,53933.62225288038,1.2575096829140445e-6,-7956.622254185461,0.0,0.0,4.795362492374463e-8,-3.666718393209586e-10,0.0,0.0,-45977.0
t11,85594.26960934972,1.892080755988463e-5,-38437.26962831812,0.0,0.0,4.795640115564419e-8,-3.6658261541447695e-10,0.0,0.0,-47157.0
t12,98937.41841824382,4.614110404576198e-6,-51407.41842290404,0.0,0.0,4.652770194678221e-8,-4.133047420304391e-10,0.0,0.0,-47530.0
t13,106036.6631436248,1.871149616374614e-5,-58568.663162382414,0.0,0.0,4.652770194559923e-8,-4.133047420690799e-10,0.0,0.0,-47468.0
t14,107845.69450081431,1.8693491157787037e-5,-60644.69451955391,0.0,0.0,4.652770194462097e-8,-4.133047420984863e-10,0.0,0.0,-47201.0
t15,105538.79262759116,1.8666124428882983e-5,-58984.792646303395,0.0,0.0,4.6527701944418885e-8,-4.1330474209743047e-10,0.0,0.0,-46554.0
t16,101830.41297524686,1.862570930255768e-5,-56071.41299391868,0.0,0.0,4.652770194437398e-8,-4.133047420890669e-10,0.0,0.0,-45759.0
t17,90975.34996867375,1.856895183521695e-5,-45585.349987288806,0.0,0.0,4.6527701945199724e-8,-4.1330474205689516e-10,0.0,0.0,-45390.0
t18,82138.70335206726,1.849494824676659e-5,-36438.70337060831,0.0,0.0,4.652770194605715e-8,-4.133047420323111e-10,0.0,0.0,-45700.0
t19,65089.16978496569,1.0714061086520973e-5,-16562.169795728198,0.0,0.0,4.87906434774018e-8,-3.4004093198087945e-10,0.0,0.0,-48527.0
t20,33250.96638302546,19605.033620092854,-3.1716243870999413e-6,0.0,0.0,5.351696013493817e-8,-1.9924533841407464e-10,0.0,0.0,-52856.0
t21,33287.962233707236,20302.03776941137,-3.1719234614199453e-6,0.0,0.0,5.35169601356328e-8,-1.9924533840180768e-10,0.0,0.0,-53590.0
t22,35038.75861719582,18462.241385922935,-3.172063798539841e-6,0.0,0.0,5.351696013558883e-8,-1.9924533840217286e-10,0.0,0.0,-53501.0
t23,35077.49305147182,17958.506951646825,-3.171961421159959e-6,0.0,0.0,5.35169601354499e-8,-1.9924533840146929e-10,0.0,0.0,-53036.0
t24,35060.06255714802,16436.937445970154,-3.171490278962122e-6,0.0,0.0,5.351696013472962e-8,-1.9924533840588367e-10,0.0,0.0,-51497.0
t25,34659.161173633496,14838.838829483639,-3.170463396892354e-6,0.0,0.0,5.351696013364326e-8,-1.9924533841439062e-10,0.0,0.0,-49498.0
t26,35863.80204670437,12037.197956410926,-3.1686082841403665e-6,0.0,0.0,5.351696013064481e-8,-1.992453384798712e-10,0.0,0.0,-47901.0
t27,37417.05279208742,10615.526290215046,-698.5790823544286,0.0,0.0,5.2189007561437416e-8,-2.3723275640087006e-10,0.0,0.0,-47334.0
t28,36545.52807125214,10885.471931858941,-3.1643994398650535e-6,0.0,0.0,5.3516960129118793e-8,-1.9924533851702613e-10,0.0,0.0,-47431.0
t29,37639.77580968294,10372.224193421118,-3.1573767855595216e-6,0.0,0.0,5.3516960130053924e-8,-1.9924533849787409e-10,0.0,0.0,-48012.0
