Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,650041.6348554101,0.0,0.0016060650819835053,31346.136230819673,316608.41630862816,406850.530024608,0.0001792086654032719,0.0,0.0,0.0,0.0,1.4048467192047394e6
t1,1.8786322224286328e-7,0.0,1.491028101673353e-7,1.477168383744837e-7,1.0571219277122871e-5,4.403852465362859e-7,2.5469489607554368e-8,0.0,0.0,0.0,0.0,1.1521756884051394e-5
t2,1.7944917235167783e-7,0.0,1.4604892995883412e-7,1.444991459054934e-7,3.994994868943926e-6,4.118613524549033e-7,2.5646301498907856e-8,0.0,0.0,0.0,0.0,4.902499771113742e-6
t3,1.858922944243691e-7,0.0,1.47194507260565e-7,1.452680091410773e-7,3.994994835445309e-6,4.5236745313011574e-7,2.6213326189094788e-8,0.0,0.0,0.0,0.0,4.951930425590531e-6
t4,1.9700049123894255e-7,0.0,1.4860045104724143e-7,1.4613793781009436e-7,3.9949948525931274e-6,5.065529302160493e-7,2.6852562531500897e-8,0.0,0.0,0.0,0.0,5.020139225436955e-6
t5,2.166777526403986e-7,0.0,1.5044007571961455e-7,1.472679496778752e-7,3.994994821802653e-6,5.824117687201525e-7,2.755906796319163e-8,0.0,0.0,0.0,0.0,5.119351436523886e-6
t6,2.4822464369508777e-7,0.0,1.5293713330126738e-7,1.488514530808008e-7,3.994994808655874e-6,6.952579258754272e-7,2.8345099955162856e-8,0.0,0.0,0.0,0.0,5.26861106456362e-6
t7,3.009159973239095e-7,0.0,1.564141320194589e-7,1.511730982853048e-7,3.994995006680108e-6,8.79840004164558e-7,2.9231760364109344e-8,0.0,0.0,0.0,0.0,5.512569998837448e-6
t8,4.134946675178247e-7,0.0,1.627159141926873e-7,1.5591360703000255e-7,6.437065112497177e-6,1.4017157806965348e-6,3.0364704895125525e-8,0.0,0.0,0.0,0.0,8.601269786829352e-6
t9,7.098664254776615e-7,0.0,1.7159593264913975e-7,1.6305502613269678e-7,1.6510604122575495e-5,3.8855654088548676e-6,3.161967207340239e-8,0.0,0.0,0.0,0.0,2.1472306587763264e-5
t10,4.143910421840998e-6,0.0,1.850382849654358e-7,1.749502033192679e-7,4196.435695481861,9021.338878042083,3.273247723082243e-8,0.0,0.0,0.0,0.0,13217.774578060575
t11,5.290118341639991e-6,0.0,1.693980674493884e-7,1.6303244589470592e-7,1.833140238690575e-6,5.381090106395666e-6,3.118402118015921e-8,0.0,0.0,0.0,0.0,1.2867963221250486e-5
t12,6480.243168359816,0.0,1.594327162283444e-7,1.5724205782055805e-7,1.0275664591439845e-6,1.5446483327362226e-6,2.9596080496653042e-8,0.0,0.0,0.0,0.0,6480.243171278301
t13,3362.972537392231,0.0,1.4692219171498528e-7,1.492646761770695e-7,6.210947272656955e-7,7.443654207598459e-7,2.7694979289560047e-8,0.0,0.0,0.0,0.0,3362.972539081573
t14,2.51860789175575e-6,0.0,1.3763942630659823e-7,1.4411120035489995e-7,4.4717706257607663e-7,4.886257167489879e-7,2.595997162166637e-8,0.0,0.0,0.0,0.0,3.7621212693639793e-6
t15,7.350342385800845e-7,0.0,1.3026897143017755e-7,1.4033514270179158e-7,3.4967210972992424e-7,3.625440774920519e-7,2.438687103571123e-8,0.0,0.0,0.0,0.0,1.742241410969741e-6
t16,4.172149597024293e-7,0.0,1.2402263133087885e-7,1.370254301933002e-7,2.868171582564052e-7,2.873892384220167e-7,2.2950780988522314e-8,0.0,0.0,0.0,0.0,1.2754201988935527e-6
t17,2.85191709253466e-7,0.0,1.1838182783546125e-7,1.3348213478066364e-7,2.4261841724706147e-7,2.3744784854435544e-7,2.162910454096801e-8,0.0,0.0,0.0,0.0,1.0387510422019758e-6
t18,2.1238811996255444e-7,0.0,1.128255697195669e-7,1.2907422722524113e-7,2.095877409299164e-7,2.018164944955771e-7,2.0408020840697855e-8,0.0,0.0,0.0,0.0,8.861001731735538e-7
t19,1.658472386611231e-7,0.0,1.0696229499728736e-7,1.2316599925224827e-7,1.8369605586514597e-7,1.7505106507084977e-7,1.9295328330622477e-8,0.0,0.0,0.0,0.0,7.740179821772768e-7
t20,1.4775488338588602e-7,0.0,1.0526639365681152e-7,1.2124293183483195e-7,1.7387993983942115e-7,1.6409234842943123e-7,1.8721929473327753e-8,0.0,0.0,0.0,0.0,7.309584266197097e-7
t21,1.6219438920609393e-7,0.0,1.1192683492945316e-7,1.2843359240969173e-7,1.8886807408025828e-7,1.8082445611554884e-7,1.914795052551238e-8,0.0,0.0,0.0,0.0,7.913952972665583e-7
t22,1.7390413285686887e-7,0.0,1.1793060392017457e-7,1.3352679638522892e-7,2.0490331248246701e-7,1.9926903010020155e-7,1.965655300048284e-8,0.0,0.0,0.0,0.0,8.491904287454238e-7
t23,1.824069501656508e-7,0.0,1.2339937025871449e-7,1.371762151623685e-7,2.229148287912966e-7,2.2165083254375717e-7,2.017022102023495e-8,0.0,0.0,0.0,0.0,9.077184179420225e-7
t24,1.8870192974519672e-7,0.0,1.28383920197357e-7,1.3984620898361291e-7,2.435186444609878e-7,2.493725176731835e-7,2.0677860520864217e-8,0.0,0.0,0.0,0.0,9.70501081581202e-7
t25,1.941137261053107e-7,0.0,1.328916546215451e-7,1.419011070543187e-7,2.6742384536198013e-7,2.845745488237189e-7,2.1182415742547953e-8,0.0,0.0,0.0,0.0,1.0420872977094216e-6
t26,2.0020859783754116e-7,0.0,1.3686490808230912e-7,1.4363945728546675e-7,2.953930064653982e-7,3.3045674715531674e-7,2.1687657263765628e-8,0.0,0.0,0.0,0.0,1.1282503740897976e-6
t27,2.0899574189118236e-7,0.0,1.403607456395758e-7,1.4534862798977516e-7,3.2843639503467583e-7,3.8948916758061787e-7,2.2184098708432202e-8,0.0,0.0,0.0,0.0,1.2348147768442592e-6
t28,2.0369063796565716e-7,0.0,1.393439516533625e-7,1.4282624597178674e-7,3.4195451348099674e-7,3.9548569099010363e-7,2.2355142402832468e-8,0.0,0.0,0.0,0.0,1.2456561824647393e-6
t29,2.224622118318056e-7,0.0,1.424038502220106e-7,1.4463506662997366e-7,3.86092552570618e-7,4.820910185560295e-7,2.287279093177997e-8,0.0,0.0,0.0,0.0,1.4005574907422172e-6
t30,2.524478100862517e-7,0.0,1.4560715195586848e-7,1.4653853095885715e-7,4.426948595060053e-7,6.157389591864621e-7,2.343366127894924e-8,0.0,0.0,0.0,0.0,1.626460972972394e-6
t31,3.0205630161534214e-7,0.0,1.4930868643468834e-7,1.4888582982134118e-7,5.191293616039269e-7,8.490499886258552e-7,2.4031411926919964e-8,0.0,0.0,0.0,0.0,1.9924615800280736e-6
t32,3.911402266756621e-7,0.0,1.5395158028644729e-7,1.5212594626526916e-7,6.291252039768247e-7,1.3597828444388026e-6,2.4672969835230154e-8,0.0,0.0,0.0,0.0,2.710798771478236e-6
t33,5.885864799994569e-7,0.0,1.601812069015543e-7,1.5696962175621406e-7,8.032816899169222e-7,3.3682775132867067e-6,2.535831843004069e-8,0.0,0.0,0.0,0.0,5.102654830290895e-6
t34,1.4068623975868677e-6,0.0,1.6909800540423442e-7,1.64755922645776e-7,1.127890003723716e-6,821.1214246626776,2.6014453102210697e-8,0.0,0.0,0.0,0.0,821.1214275572984
