Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,650041.6348554097,0.0,0.001606065081983505,31346.13623081967,316608.41630862816,406850.53002460813,0.00017920866540327248,0.0,0.0,0.0,0.0,1.4048467192047394e6
t1,1.6585251060829424e-7,0.0,1.378925729806888e-7,1.4130092209530686e-7,1.79011808800191e-7,2.0188368903080833e-7,1.5944041757035002e-8,0.0,0.0,0.0,0.0,8.418855452723242e-7
t2,1.757211319981396e-7,0.0,1.3999574219680098e-7,1.442791096329826e-7,1.847232498155871e-7,2.116754182025049e-7,1.596696837043502e-8,0.0,0.0,0.0,0.0,8.723616202164502e-7
t3,1.7510222843559406e-7,0.0,1.3805395891132913e-7,1.4348781090295331e-7,1.8472324989401168e-7,2.0484444630122925e-7,1.5791524105355345e-8,0.0,0.0,0.0,0.0,8.620032185504728e-7
t4,1.746536685774333e-7,0.0,1.355402448213203e-7,1.4256072183417956e-7,1.8472324985349865e-7,1.9781126262662748e-7,1.5595776908632592e-8,0.0,0.0,0.0,0.0,8.508849246216919e-7
t5,1.7384974432859397e-7,0.0,1.3218269818808258e-7,1.4134527644272148e-7,1.8204773353642462e-7,1.896320086202195e-7,1.5386503632584793e-8,0.0,0.0,0.0,0.0,8.344439647486269e-7
t6,1.7204706689014068e-7,0.0,1.2810052152210634e-7,1.396681674414754e-7,1.7910142020589756e-7,1.8124382976557884e-7,1.5163124282656504e-8,0.0,0.0,0.0,0.0,8.153241301078554e-7
t7,1.6842790011270862e-7,0.0,1.2333716601889032e-7,1.3730379319663059e-7,1.760363464110225e-7,1.727489693767148e-7,1.492250716761908e-8,0.0,0.0,0.0,0.0,7.927766822835861e-7
t8,1.592804031995822e-7,0.0,1.1720894694013594e-7,1.329935503676804e-7,1.698395101239335e-7,1.6135722148177946e-7,1.4616810408027823e-8,0.0,0.0,0.0,0.0,7.552964425211394e-7
t9,1.4803544930514285e-7,0.0,1.1054926420526227e-7,1.2721407992995455e-7,1.6397142732593806e-7,1.5056964337645178e-7,1.4307418610430918e-8,0.0,0.0,0.0,0.0,7.146472827531805e-7
t10,1.341117321893568e-7,0.0,1.0322899215584017e-7,1.192483941412807e-7,1.581706605061683e-7,1.3862073194008858e-7,1.406470637153199e-8,0.0,0.0,0.0,0.0,6.674452173042666e-7
t11,1.5991086873353697e-7,0.0,1.0728151471734476e-7,1.243656498751137e-7,1.721252200814611e-7,1.5466948848850605e-7,1.4762792285579654e-8,0.0,0.0,0.0,0.0,7.331155341815423e-7
t12,1.8994403625669682e-7,0.0,1.1018106628136055e-7,1.2690000156163704e-7,1.863490279621056e-7,1.735215039960794e-7,1.5550970465975673e-8,0.0,0.0,0.0,0.0,8.024466065238552e-7
t13,2.539905390936772e-7,0.0,1.1584426309464064e-7,1.3184798082725225e-7,2.1289667796375162e-7,2.0681379136061983e-7,1.6614268201402007e-8,0.0,0.0,0.0,0.0,9.380075205413435e-7
t14,3.6878817971873066e-7,0.0,1.2141283089787517e-7,1.356648135285817e-7,2.469443131660103e-7,2.537087782725131e-7,1.7767767781036265e-8,0.0,0.0,0.0,0.0,1.144286683364747e-6
t15,6.359843043853915e-7,0.0,1.2732787339686175e-7,1.3899028276401768e-7,2.927745526774129e-7,3.242009897800806e-7,1.9013969707215724e-8,0.0,0.0,0.0,0.0,1.53829197271098e-6
t16,1.85021349143283e-6,0.0,1.340278598025546e-7,1.424856617783229e-7,3.5844645124907356e-7,4.386309206501295e-7,2.03648571800361e-8,0.0,0.0,0.0,0.0,2.9441692420929468e-6
t17,4.281735277726766e-6,0.0,1.4214983891233303e-7,1.4695239145784147e-7,4.614830831625987e-7,6.352402155356551e-7,2.183610477145817e-8,0.0,0.0,0.0,0.0,5.689396911566653e-6
t18,3277.0322242200377,0.0,1.5268676932814412e-7,1.5355265226910595e-7,6.488912222072396e-7,1.141002438947805e-6,2.3438935736258605e-8,0.0,0.0,0.0,0.0,3277.03222633961
t19,6566.183483295137,0.0,1.6737531504941194e-7,1.6433445923008768e-7,1.10671103309229e-6,5.451377519956061e-6,2.513977555431919e-8,0.0,0.0,0.0,0.0,6566.183490210075
t20,3.990965906024326e-6,0.0,1.755693179556845e-7,1.702436248974638e-7,1.6404268962546373e-6,2421.4524649623413,2.625725200514965e-8,0.0,0.0,0.0,0.0,2421.452470965804
t21,7.898037374736833e-7,0.0,1.6455978075776407e-7,1.6023993995669298e-7,1.0148283258275264e-6,3.589949300321075e-6,2.5850900065248317e-8,0.0,0.0,0.0,0.0,5.74523198440199e-6
t22,4.634824228425092e-7,0.0,1.570867475788e-7,1.5425176063171521e-7,7.466216960930939e-7,1.3948582711617663e-6,2.5288699839903185e-8,0.0,0.0,0.0,0.0,2.941589598147788e-6
