Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,6.583687706213926e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8409.793860891134,5437.336528685924
t2,0.0,6.584691511739825e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8409.793852103632,5394.918000347075
t3,0.0,6.58539427111881e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8409.793843316127,5362.082225401458
t4,0.0,6.586711538855946e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8409.793834528624,5336.664812490621
t5,0.0,6.587731504669754e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8409.79382574112,5319.196312245526
t6,0.0,6.588453235745487e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8409.793816953616,5312.546722481212
t7,0.0,6.58978448436356e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7249.37310748597,5298.319967363886
t8,0.0,6.590825373922142e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4999.752319936037,5287.307458190544
t9,0.0,6.591606259127542e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50628292636339e-6,5278.783028974899
t10,0.0,6.59316443036893e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4900904578380773e-5,13149.2405561194
t11,0.0,6.5944745422828e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.549668195735875e-6,51185.700930808154
t12,0.0,6.595540185065712e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8211.621548636667,93178.64420719341
t13,0.0,6.597238975948758e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23552.687434679032,134536.82651108105
t14,0.0,6.598651298759278e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41666.82879248259,174914.51178611204
