Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.92243020981329,-25.592704921985618
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.92243020566997,-25.60759647255491
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.92243020152664,-25.62683308803781
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.922430197383314,-25.65168342699128
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.92243019323998,-25.683786205765045
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.92243018909666,-25.71593063870307
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.92243018458898,-25.504253574875925
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.922430178526135,-25.230788754472382
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.05444342493341,-24.877499904694165
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.159539399309377,-14.841342870698082
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.039907662288615,-14.859917762735073
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086836174,-14.985052661572144
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826082578352,-15.18092847942537
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.47282608140458,-15.493938579483018
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826081033977,-16.000304089113918
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826081138619,-16.8243303839696
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826081993123,-18.166456211273378
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826085030464,-20.34474508990204
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.20870135193287,-20.370207850260424
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.58369213047105,-20.38738746487985
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.58369213237981,-20.40014530679831
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.58369213307682,-20.40612784928372
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.583692133403396,-20.401763757338898
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.58369213350502,-20.381663015721877
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.58369213346428,-20.337754566774002
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.58369213334156,-20.258090350756905
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.58369213319829,-20.277431115425
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.58369213306563,-20.075703419089546
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.583692132910414,-19.76619260044068
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.58369213269054,-19.305312646109577
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.583692132258555,-18.63749586357861
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.583692131209794,-17.694238631063907
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.70656346086317,-16.392374445014152
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.29741356625484,-16.412890555994554
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.58261288039063,-16.433432345186873
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826121128284,-16.60429985915585
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826101705417,-16.874799684320998
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.47282609971983,-17.310085886495063
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826099105509,-18.016926841788983
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826099048728,-19.168757094494254
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826099615519,-21.043621493839265
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826103521162,-24.07950186797153
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.93050341873142,-24.109638917014156
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.65888858042657,-24.126694089481386
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.658888582563954,-24.136724780383318
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.65888858355424,-24.135979251072023
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.658888584074006,-24.118753436810074
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.65888858434832,-24.076421398812723
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.658888584517754,-23.996040098138554
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.65888858466581,-23.98141159649603
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.65888858481385,-23.944973149025454
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.6588885849619,-23.87691060299976
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.65888858510353,-23.396503472125836
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.65888858519237,-22.684026056016563
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.65888858511473,-21.653748983677815
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.65888858451477,-20.19985382051266
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.658888574803704,-18.19382463904233
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.64204764054533,-15.478622228146369
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.833726895561373,-15.497994720218854
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.440309508428397,-15.51739145874181
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826155383438,-15.726844459521503
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826152302099,-16.06193798925801
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728261515103185,-16.604393430860156
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826151386984,-17.48743798716602
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826151919645,-18.925783841964176
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826156294643,-21.259912179832003
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.117024439426622,-21.286520330561803
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.842230065766095,-21.303678340172347
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.84223006654747,-21.315809112073165
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.84223006667646,-21.320252224457843
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.84223006648174,-21.31298266131075
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.84223006609684,-21.28794974693595
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.84223006562322,-21.23614203959291
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.84223006513349,-21.26272043995512
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.842230064643765,-21.289332104924373
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.84223006415404,-21.315977076061902
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.84223006366431,-21.342655395010272
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.84223006316703,-21.07895082577474
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.842230062542946,-20.68470409745585
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.84223006114726,-20.112363461507734
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.80738536355615,-19.303398901184654
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.53363528031457,-19.174019388857623
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.618270372145574,-19.1980169089588
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.635223386950996,-19.222044464171937
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.60844662665335,-19.457077574558117
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.608446623757468,-19.831542739473615
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.608446622965488,-20.435850187499597
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.608446622817032,-21.41681809875802
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.608446623233487,-23.009637363783987
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.608446626601665,-25.584351316566064
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.461531674644835,-25.616371781709645
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213417497,-25.638664420223503
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213661025,-25.65576482346577
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.9275821375475,-25.664906883225736
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213805933,-25.661891475022518
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213835954,-25.640377000261672
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213860356,-25.619623164008306
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213884756,-25.651687773268264
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213911688,-25.68379251357337
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213938618,-25.715937434643507
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213964997,-25.413778844673516
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213986116,-24.95781717230986
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213991063,-24.289595275620695
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213954067,-23.336302914378077
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.92758213746023,-22.009302082000616
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.86004503457243,-20.200756236256186
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.874142327753393,-20.22603878351895
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.874142325405014,-20.251352973519047
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.87414232482844,-20.276698846188836
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.874142324856038,-20.30207644113775
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.874142325814876,-20.327485798055722
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.87414233095201,-20.353637326886858
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.89180913322419,-20.37911121602791
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.924599219617026,-20.40461698730636
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.82907310291943,-20.430154680698312
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336901194619,-20.410437042509493
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336901343786,-20.367353551239546
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336901394724,-20.28940148948951
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336901403345,-20.1600402669699
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336901393295,-19.95611723430615
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.2533690137611,-19.646329695763907
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.2533690135738,-19.619703560156747
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336901338651,-19.57555892102122
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336901319922,-19.509342721304474
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336901301193,-19.41555319784757
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336901280571,-18.469893602585824
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336901248766,-17.215771359615097
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.253369011717666,-15.568303100823668
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.25336900701241,-13.417651875045884
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.836015028104566,-10.621359641088667
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.877153672129129,-10.634652953409432
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.492190883347291,-10.6479629058652
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826113370079,-10.744948535656185
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826110588188,-10.897417568291377
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826109824448,-11.141627599033107
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826109693185,-11.53690984754949
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826110169371,-12.179400803649068
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826113680493,-13.222637125402922
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.113460999501457,-13.23918610834357
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.70130664501767,-13.255259775057581
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.70130664646518,-13.271159074974607
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.701306647006817,-13.286819997980519
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.70130664720212,-13.302166574103062
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.70130664718986,-13.317116030771126
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.701306647059575,-13.331591565497558
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.70130664688705,-13.345547219787065
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.701306646714734,-13.362250031406873
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.70130664654242,-13.37897374784666
